base_mse,best_validation_mse,best_validation_nll,between_component_variance,continuation_field_weight,continuation_linear_weight,continuation_process_entropy,continuation_process_information_bits,continuation_process_weight_0,continuation_process_weight_1,continuation_process_weight_2,continuation_process_weight_3,cross_effective_ratio,cross_effective_ratio_max,cross_exact_spectral_norm,cross_gate,cross_spectral_norm,epoch,fenchel_primal,inducing_minimum_gap,latent_reconstruction_mse,latent_reconstruction_ratio,latent_variance_gain,mixture_base_weight,mixture_latent_weight,mixture_nll,mixture_routing_information_bits,mixture_weight_entropy,observation_noise_std,point_mse,point_regret,posterior_future_variance,posterior_past_variance,predictive_mean,predictive_second_moment,predictive_variance,process_axis_size_at_field_exit,process_energy_entropy,process_energy_innovation,process_energy_load_daily,process_energy_load_weekly,process_energy_thermal,process_fusion_after_future_decode,process_future_variance_innovation,process_future_variance_load_daily,process_future_variance_load_weekly,process_future_variance_thermal,process_signal_reconstruction_ratio,representation_gaussian_nll,representation_objective,representation_trace_correction,sample_dual_norm,selected_reference_only,sensor_group_entropy,sensor_group_prior_kl,soft_miscoverage_90,stage,standardized_error_second_moment,structural_reconstruction_ratio,total,train_nll,validation_mae,validation_mse,validation_nll,within_component_variance
,,0.29816228108635795,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reference,,,,0.2943691867258167,,,0.29816228108635795,
,,0.2664579819732656,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reference,,,,0.20928457754780538,,,0.2664579819732656,
0.15566165308700874,0.12650340074111546,,0.01114431783037162,0.7165288995020092,0.28347109991591424,1.3862943649291992,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,1,0.0,5.588230133056641,9.99999993922529e-09,9.99999993922529e-09,0.12692894914653152,0.9795233369804919,0.020476663106819615,0.1745245354159124,0.857045529410243,0.09908848261693493,9.99999993922529e-09,0.15529277792666107,-0.002521396614611149,9.99999993922529e-09,9.99999993922529e-09,0.022773839479896196,0.9825400225818157,0.09859774791402742,4.0,1.3862943649291992,0.25,0.25,0.25,0.25,1.0,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,0.0013208010923939084,9.99999993922529e-09,0.0026416121586945104,9.99999993922529e-09,0.0,0.0,9.99999993922529e-09,9.99999993922529e-09,0.10208485531620681,extension,1.3875560527667403,0.0013208010923939084,0.15878326899837703,,0.24794503360513656,0.12650340074111546,0.25731832056771964,0.0874534304603003
0.15566165221389383,0.12650340074111546,,0.04784859243227402,0.8058436359278858,0.19415636511985213,1.3862943649291992,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,2,0.0,5.588230133056641,9.99999993922529e-09,9.99999993922529e-09,0.1269310599891469,0.9591415049508214,0.040858495616703294,0.15155198899759625,0.7547522503882647,0.16999277868308127,9.99999993922529e-09,0.15312935318797827,-0.014204948209226131,9.99999993922529e-09,9.99999993922529e-09,0.019674806324474048,1.018172251060605,0.13303748361067846,4.0,1.3862943649291992,0.25,0.25,0.25,0.25,1.0,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,0.01530763986738748,9.99999993922529e-09,0.03061528949183412,9.99999993922529e-09,0.0,0.0,9.99999993922529e-09,9.99999993922529e-09,0.08513823983957991,extension,1.1790476911701262,0.01530763986738748,0.1561603929148987,,0.2488878657893529,0.1272760196810677,0.24484893991999948,0.0851888915640302
0.1556616512243636,0.12650340074111546,,0.0888192315469496,0.8426308599300683,0.1573691414669156,1.3862943649291992,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,3,0.0,5.588230133056641,9.99999993922529e-09,9.99999993922529e-09,0.1269329246133566,0.9357356000691652,0.06426439579809085,0.13044055022146495,0.6568948710337281,0.23782234662212431,9.99999993922529e-09,0.14858912851195782,-0.03884302964434028,9.99999993922529e-09,9.99999993922529e-09,0.016438330681921798,1.0803564847446978,0.19212259876076132,4.0,1.3862943649291992,0.25,0.25,0.25,0.25,1.0,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,0.05137164826737717,9.99999993922529e-09,0.10274330654647201,9.99999993922529e-09,0.0,0.0,9.99999993922529e-09,9.99999993922529e-09,0.060402524715755135,extension,0.86374700255692,0.05137164826737717,0.1511979399365373,,0.251789957048401,0.1297621981255592,0.24333653168287128,0.10330336604965851
0.15566165267955512,0.12650340074111546,,0.10997756184951868,0.8659936371259391,0.1340063619427383,1.3862943649291992,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,4,0.0,5.588230133056641,9.99999993922529e-09,9.99999993922529e-09,0.12693474465049803,0.9039956647902727,0.09600433736341074,0.11767440311541577,0.5453677237965167,0.3151270786765963,9.99999993922529e-09,0.1422435205313377,-0.06465415610000491,9.99999993922529e-09,9.99999993922529e-09,0.01757172505165272,1.1096525532193482,0.22245753079187125,4.0,1.3862943649291992,0.25,0.25,0.25,0.25,1.0,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,0.11051732837222517,9.99999993922529e-09,0.2210346672218293,9.99999993922529e-09,0.0,0.0,9.99999993922529e-09,9.99999993922529e-09,0.051931612826592755,extension,0.7570888977497816,0.11051732837222517,0.14459700853331015,,0.2554274404805804,0.1336378309698332,0.24841709852141017,0.11247996566817164
0.15566165233030915,0.12650340074111546,,0.1281469388923142,0.8789540356956422,0.1210459650028497,1.3862943649291992,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,5,0.0,5.588230133056641,9.99999993922529e-09,9.99999993922529e-09,0.12693660659715533,0.8483695243485272,0.1516304759425111,0.10681153571840696,0.3923023969400674,0.4212238781619817,9.99999993922529e-09,0.13068317848956212,-0.12068651942536235,9.99999993922529e-09,9.99999993922529e-09,0.018176610134365667,1.1214526421390474,0.22875458060298115,4.0,1.3862943649291992,0.25,0.25,0.25,0.25,1.0,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,0.16380438732448965,9.99999993922529e-09,0.32760878885164857,9.99999993922529e-09,0.0,0.0,9.99999993922529e-09,9.99999993922529e-09,0.056376915745204315,extension,0.8138240519911051,0.16380438732448965,0.13281940948218107,,0.2552500556385706,0.13305171496338314,0.2371711327068624,0.10060764022637159
0.1556616534362547,0.12650340074111546,,0.10493830223276746,0.8825452420860529,0.11745476024225354,1.3862943649291992,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,6,0.0,5.588230133056641,9.99999993922529e-09,9.99999993922529e-09,0.12693967577069998,0.7760143810883164,0.2239856185624376,0.07390221890545945,0.23808394756633788,0.528119963593781,9.99999993922529e-09,0.12194141396321356,-0.16028199205175042,9.99999993922529e-09,9.99999993922529e-09,0.01936355886482488,1.0812900364398956,0.1915590501157567,4.0,1.3862943649291992,0.25,0.25,0.25,0.25,1.0,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,0.23245185858104378,9.99999993922529e-09,0.46490372624248266,9.99999993922529e-09,0.0,0.0,9.99999993922529e-09,9.99999993922529e-09,0.07238454805337824,extension,1.0141908107325435,0.23245185858104378,0.12341945857042447,,0.25832900688761756,0.13728516702614132,0.2429613997665001,0.08662074926542118
0.1556616525631398,0.12650340074111546,,0.1151498679391807,0.8628066037781537,0.13719339680392295,1.3862943649291992,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,7,0.0,5.588230133056641,9.99999993922529e-09,9.99999993922529e-09,0.12694452540017664,0.737931028008461,0.2620689739705995,0.057839386067826126,0.17510828259401023,0.5717713683843613,9.99999993922529e-09,0.11272037128219381,-0.21824835054576397,9.99999993922529e-09,9.99999993922529e-09,0.016316901421532748,1.095508397789672,0.20040174626046792,4.0,1.3862943649291992,0.25,0.25,0.25,0.25,1.0,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,0.3088567506056279,9.99999993922529e-09,0.6177135012112558,9.99999993922529e-09,0.0,0.0,9.99999993922529e-09,9.99999993922529e-09,0.06952783616725355,extension,1.0181418186984956,0.3088567506056279,0.11387715867022052,,0.2549430526911266,0.13331540224571076,0.22948895837180316,0.08525187690975145
0.15566165186464787,0.12650340074111546,,0.10583997891808394,0.8385383202694356,0.16146167798433453,1.3862943649291992,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,8,0.0,5.588230133056641,9.99999993922529e-09,9.99999993922529e-09,0.1269525788957253,0.6968739605508745,0.3031260429415852,0.03369945906888461,0.12051391182467341,0.6096133030951023,9.99999993922529e-09,0.10659344427403994,-0.25581634510308504,9.99999993922529e-09,9.99999993922529e-09,0.01573195170493591,1.090913254301995,0.18961139174643904,4.0,1.3862943649291992,0.25,0.25,0.25,0.25,1.0,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,0.36478704237379134,9.99999993922529e-09,0.7295740847475827,9.99999993922529e-09,0.0,0.0,9.99999993922529e-09,9.99999993922529e-09,0.07165229515521787,extension,1.085814729332924,0.36478704237379134,0.10726743348641321,,0.25793979896439445,0.13650922264371598,0.23880424632807262,0.08377141208620742
0.15566165215568617,0.12650340074111546,,0.09321643509611022,0.8140000416897237,0.18599995726253837,1.3862943649291992,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,9,0.0,5.588230133056641,9.99999993922529e-09,9.99999993922529e-09,0.1269633744377643,0.6423747525550425,0.3576252500060946,0.007779086401569657,0.06568063942540903,0.6476208320818841,9.99999993922529e-09,0.10248821176355705,-0.2910824129357934,9.99999993922529e-09,9.99999993922529e-09,0.016605714588877163,1.0759007083252072,0.17586139927152544,4.0,1.3862943649291992,0.25,0.25,0.25,0.25,1.0,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,0.41388448677025735,9.99999993922529e-09,0.8277689735405147,9.99999993922529e-09,0.0,0.0,9.99999993922529e-09,9.99999993922529e-09,0.07313122539198957,extension,1.156758129131049,0.41388448677025735,0.10264379344880581,,0.2666719513280051,0.1460363297235398,0.25577671544548747,0.08264496439369395
0.15566165262134746,0.12650340074111546,,0.0837412128894357,0.7974015888758004,0.2025984087958932,1.3862943649291992,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,10,0.0,5.588230133056641,9.99999993922529e-09,9.99999993922529e-09,0.1269840660970658,0.605885264929384,0.394114735070616,-0.010053135462612772,0.03984133590711281,0.665531272534281,9.99999993922529e-09,0.09812288041575812,-0.3161602262407541,9.99999993922529e-09,9.99999993922529e-09,0.016291268324494013,1.0724953124299645,0.16802396858111024,4.0,1.3862943649291992,0.25,0.25,0.25,0.25,1.0,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,0.4593384894542396,9.99999993922529e-09,0.9186769789084792,9.99999993922529e-09,0.0,0.0,9.99999993922529e-09,9.99999993922529e-09,0.07063782442128286,extension,1.145904101897031,0.4593384894542396,0.09792181779630482,,0.260948568109482,0.13991124431292215,0.25787712982855737,0.08428275777259842
