best_validation_mse,epoch,learning_rate,stage,train_loss,validation_mae,validation_mse
0.8984105539069605,1,0.0001,model,0.8921091593801975,0.5785973675036556,0.8984105539069605
0.8728193333540013,2,0.0001,model,0.8402191270142794,0.564529138393503,0.8728193333540013
0.8292199785747225,3,0.0001,model,0.7953122882172465,0.5333025927266116,0.8292199785747225
0.8009497859490612,4,0.0001,model,0.7468201508745551,0.5123626022742539,0.8009497859490612
0.7886764536458979,5,0.0001,model,0.7279148939996958,0.5074093480589529,0.7886764536458979
0.7886764536458979,6,0.0001,model,0.7193024940788746,0.5044405901873553,0.7906525374720337
0.7817792054837343,7,0.0001,model,0.7100812969729304,0.49949453646543795,0.7817792054837343
0.7780744078298094,8,0.0001,model,0.7076346734538674,0.4979063952410663,0.7780744078298094
0.7780744078298094,9,0.0001,model,0.7029729643836617,0.4980841974732737,0.7782625662586676
0.7741138528894496,10,0.0001,model,0.6996702770702541,0.4949053718930199,0.7741138528894496
