best_validation_mse,epoch,learning_rate,stage,train_loss,validation_mae,validation_mse
0.23801327765393418,1,0.0001,model,0.49032515194267035,0.34396935076940627,0.23801327765393418
0.23460567200264962,2,0.0001,model,0.4849561848677695,0.3407695954348765,0.23460567200264962
0.229930911542607,3,0.0001,model,0.47230991581454873,0.3361118050659595,0.229930911542607
0.2255443490686871,4,0.0001,model,0.45996520132757723,0.3316697693195473,0.2255443490686871
0.22427200500656957,5,0.0001,model,0.454446044517681,0.3299891437802996,0.22427200500656957
0.22427200500656957,6,0.0001,model,0.4508991241455078,0.32981051352559304,0.22430825091543652
0.2224478121517467,7,0.0001,model,0.4487891539465636,0.32793491227286203,0.2224478121517467
0.2224478121517467,8,0.0001,model,0.4468933460302651,0.3283560389564151,0.22287780188378833
0.2211479520311161,9,0.0001,model,0.44372615311294794,0.32629799518455455,0.2211479520311161
0.2211479520311161,10,0.0001,model,0.44292660243809223,0.3273858553698274,0.22166814041786453
