base_mse,best_validation_mse,best_validation_nll,between_component_variance,continuation_field_weight,continuation_linear_weight,continuation_process_entropy,continuation_process_information_bits,continuation_process_weight_0,continuation_process_weight_1,continuation_process_weight_2,continuation_process_weight_3,continuation_process_weight_4,continuation_process_weight_5,cross_effective_ratio,cross_effective_ratio_max,cross_exact_spectral_norm,cross_gate,cross_spectral_norm,epoch,fenchel_primal,inducing_minimum_gap,latent_reconstruction_mse,latent_reconstruction_ratio,latent_variance_gain,mixture_base_weight,mixture_latent_weight,mixture_nll,mixture_routing_information_bits,mixture_weight_entropy,observation_noise_std,point_mse,point_regret,posterior_future_variance,posterior_past_variance,predictive_mean,predictive_second_moment,predictive_variance,process_axis_size_at_field_exit,process_energy_entropy,process_energy_humidity,process_energy_precipitation,process_energy_slow_state,process_energy_solar_daily,process_energy_thermodynamic,process_energy_wind,process_fusion_after_future_decode,process_future_variance_humidity,process_future_variance_precipitation,process_future_variance_slow_state,process_future_variance_solar_daily,process_future_variance_thermodynamic,process_future_variance_wind,process_signal_reconstruction_ratio,representation_gaussian_nll,representation_objective,representation_trace_correction,sample_dual_norm,selected_reference_only,sensor_group_entropy,sensor_group_prior_kl,soft_miscoverage_90,stage,standardized_error_second_moment,structural_reconstruction_ratio,total,train_nll,validation_mae,validation_mse,validation_nll,within_component_variance
,,0.4426900614829113,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reference,,,,0.4734060796909034,,,0.4426900614829113,
,,0.40064166734615964,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reference,,,,0.3955512651009485,,,0.40064166734615964,
0.3951222349423915,0.44759353648417843,,0.08185187031403984,0.7519531976431608,0.2480468035209924,1.7917596101760864,-1.7198264856688183e-07,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.0,0.0,0.0,0.0,0.0,1,0.0,2.8787765502929688,9.99999993922529e-09,9.99999993922529e-09,0.12693023413885385,0.9741312046535313,0.02586879530281294,0.35007639159448445,0.827448571100831,0.11960353184258565,9.99999993922529e-09,0.3924568786751479,-0.00930554699152708,9.99999993922529e-09,9.99999993922529e-09,-0.018895229901772836,0.8952548834495246,0.19900946179404855,6.0,1.7917594909667969,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,1.0,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,0.00015800208268756943,9.99999993922529e-09,0.0003160141675961278,9.99999993922529e-09,0.0,0.0,9.99999993922529e-09,9.99999993922529e-09,0.09849480414413847,extension,4.025535392109305,0.00015800208268756943,0.3994584077736363,,0.288930734313985,0.44759353648417843,0.3630412694183178,0.11715759098296985
0.39512223936617374,0.44759353648417843,,0.15533408429473639,0.8161531277000904,0.18384687160141766,1.7917596101760864,-1.7198264856688183e-07,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.0,0.0,0.0,0.0,0.0,2,0.0,2.8787765502929688,9.99999993922529e-09,9.99999993922529e-09,0.12693278898950666,0.9651292436756194,0.03487075546581764,0.31681282859062776,0.7820342984050512,0.15108230541227385,9.99999993922529e-09,0.3887901552952826,-0.02023525210097432,9.99999993922529e-09,9.99999993922529e-09,-0.01581475026591761,1.0002206349745393,0.3018067824887112,6.0,1.7917594909667969,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,1.0,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,0.003058413714825292,9.99999993922529e-09,0.006116837357694749,9.99999993922529e-09,0.0,0.0,9.99999993922529e-09,9.99999993922529e-09,0.06975150253856555,extension,3.523671115282923,0.003058413714825292,0.3951264083152637,,0.2883955082565388,0.44866936783941963,0.33845614205347374,0.1464726977283135
0.39512223296333104,0.44759353648417843,,0.2031413079239428,0.854152865242213,0.1458471353398636,1.7917596101760864,-1.7198264856688183e-07,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.0,0.0,0.0,0.0,0.0,3,0.0,2.8787765502929688,9.99999993922529e-09,9.99999993922529e-09,0.12693462253082544,0.9552666582167149,0.04473334099748172,0.2902289514313452,0.7366602285765111,0.18253321503289044,9.99999993922529e-09,0.38495617371518165,-0.0338620413094759,9.99999993922529e-09,9.99999993922529e-09,-0.014480242519994135,1.0859404192306101,0.38409172371029854,6.0,1.7917594909667969,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,1.0,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,0.011369250794814434,9.99999993922529e-09,0.022738511936040595,9.99999993922529e-09,0.0,0.0,9.99999993922529e-09,9.99999993922529e-09,0.051247653653263114,extension,2.8065516848582774,0.011369250794814434,0.3907607520231977,,0.28857039049188926,0.45030636210290215,0.31798469910669763,0.1809504188131541
0.39512223890051246,0.44759353648417843,,0.2520326660014689,0.8647310780361295,0.13526892027584836,1.7917596101760864,-1.7198264856688183e-07,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.0,0.0,0.0,0.0,0.0,4,0.0,2.8787765502929688,9.99999993922529e-09,9.99999993922529e-09,0.126936471555382,0.9479753011837602,0.05202469724463299,0.2676636430842336,0.7058318671770394,0.20390180603135377,9.99999993922529e-09,0.3823539090808481,-0.04383948212489486,9.99999993922529e-09,9.99999993922529e-09,-0.017813336361541587,1.1409398140385747,0.4338778853416443,6.0,1.7917594909667969,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,1.0,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,0.031192736059892923,9.99999993922529e-09,0.06238548277178779,9.99999993922529e-09,0.0,0.0,9.99999993922529e-09,9.99999993922529e-09,0.04757145105395466,extension,3.135479550343007,0.031192736059892923,0.3877071823226288,,0.2883088509872477,0.44856203990007837,0.29523892554667935,0.18184521747753024
0.3951222344767302,0.44759353648417843,,0.2988810120150447,0.8832294205203652,0.11677057790802792,1.7917596101760864,-1.7198264856688183e-07,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.0,0.0,0.0,0.0,0.0,5,0.0,2.8787765502929688,9.99999993922529e-09,9.99999993922529e-09,0.1269385003251955,0.9456130242906511,0.05438698353827931,0.25063736381707713,0.6957813161425292,0.21086832147557288,9.99999993922529e-09,0.37487003358546644,-0.06690169498324394,9.99999993922529e-09,9.99999993922529e-09,-0.015878621490514888,1.1987674976699054,0.4888610844500363,6.0,1.7917594909667969,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,1.0,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,0.04330591464531608,9.99999993922529e-09,0.08661184075754136,9.99999993922529e-09,0.0,0.0,9.99999993922529e-09,9.99999993922529e-09,0.03936845366843045,extension,2.934638167731464,0.04330591464531608,0.3798827793216333,,0.29038280879378947,0.4539333277593845,0.2801705351448618,0.18998007604386657
0.39512223470956087,0.44759353648417843,,0.36927350680343807,0.8971193954348564,0.10288060759194195,1.7917596101760864,-1.7198264856688183e-07,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.0,0.0,0.0,0.0,0.0,6,0.0,2.8787765502929688,9.99999993922529e-09,9.99999993922529e-09,0.12694046983961016,0.9352630842477083,0.06473691636347212,0.23419854123494588,0.6544218505732715,0.2395365129923448,9.99999993922529e-09,0.36823664751136675,-0.09105524327605963,9.99999993922529e-09,9.99999993922529e-09,-0.015646863007049205,1.2947190897539258,0.5810141421388835,6.0,1.7917594909667969,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,1.0,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,0.04745366843417287,9.99999993922529e-09,0.09490734781138599,9.99999993922529e-09,0.0,0.0,9.99999993922529e-09,9.99999993922529e-09,0.032177602137380745,extension,2.4199885805137455,0.04745366843417287,0.37292061804328114,,0.28868455609316546,0.45178106931782275,0.26171747738165624,0.21174063137732446
0.39512223470956087,0.44759353648417843,,0.3819209954235703,0.9028983735479414,0.09710162342526019,1.7917596101760864,-1.7198264856688183e-07,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.0,0.0,0.0,0.0,0.0,7,0.0,2.8787765502929688,9.99999993922529e-09,9.99999993922529e-09,0.1269424696220085,0.918710773345083,0.08128922578180209,0.22041838784571155,0.593765873927623,0.2815800349926576,9.99999993922529e-09,0.35961231077089906,-0.11796252243220806,9.99999993922529e-09,9.99999993922529e-09,-0.013130889282024327,1.3210453004576266,0.5991802960634232,6.0,1.7917594909667969,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,1.0,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,0.06476333228056319,9.99999993922529e-09,0.1295266739325598,9.99999993922529e-09,0.0,0.0,9.99999993922529e-09,9.99999993922529e-09,0.02864902985311346,extension,2.574054983444512,0.06476333228056319,0.36402067565359175,,0.2940903555148493,0.4676791314410154,0.25009391088193905,0.21725929796230048
0.3951222305186093,0.44759353648417843,,0.39207396446727216,0.9009798048064113,0.09902019443688914,1.7917596101760864,-1.7198264856688183e-07,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.0,0.0,0.0,0.0,0.0,8,0.0,2.8787765502929688,9.99999993922529e-09,9.99999993922529e-09,0.12694509467110038,0.9034561384469271,0.0965438600978814,0.20594580471515656,0.5427282764576375,0.3169566043652594,9.99999993922529e-09,0.3519101094570942,-0.1446223510429263,9.99999993922529e-09,9.99999993922529e-09,-0.011841962264725225,1.3319269623607397,0.6078921870794147,6.0,1.7917594909667969,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,1.0,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,0.07036316429730505,9.99999993922529e-09,0.14072633779142052,9.99999993922529e-09,0.0,0.0,9.99999993922529e-09,9.99999993922529e-09,0.027343209578248207,extension,2.7418208132730797,0.07036316429730505,0.3560290253954008,,0.292575080874105,0.46313448273946367,0.23257644113133816,0.21581821923609823
