bank,batch_size,best_epoch,best_stage,best_validation_mse,candidate,checkpoint,config_hash,continuation,continuation_unfreeze_blocks,cross_process_exchange,dataset,effective_batch_size,elapsed_seconds,enhancement_protocol,experiment,extension_epochs,final_candidate,gradient_clip,head_learning_rate,horizon,inducing_points,inference_ms_batch,inference_reference_only,latent_dim,learning_rate,mae,max_train_windows,max_validation_windows,model,mse,nll_weight,num_windows,parameters,patch_lens,pre_repair_mae,pre_repair_mse,primal_dual,reference_epochs,repair_mae_delta,repair_mse_delta,representation_weight,result_path,result_sha256,reused_source,rmse,scale,seed,selected_config,selected_patch_lens,selection_protocol,selector_repair_evaluation_only,selector_state_restored,seq_len,structural_only,trainable_parameters,training_ms_optimizer_step,validation_selected_stage,variant,weight_decay,wide_batch_size
off,16,8,extension,0.16794686811894483,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/no_linear_bank/seed43/Electricity/h336.pt,9f4367b6b18b8f37,preserved,2,False,Electricity,16,745.1058848369867,latentflow-factorial-2x2x2-all28-three-seed-no-exchange-v2-selector-safe,factorial,10,latentflow_process_preserving_unfreeze2,5.0,0.001,336,,38.22709850226794,False,,0.0007,0.28446376130878126,2048,1024,LatentFlow,0.1917910946794156,0.02,4927.0,1429253,,0.28915831019974875,0.19748390570684707,False,2,-0.004694548890967487,-0.005692811027431466,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/factorial/runs/scale-multiscale__bank-off__continuation-preserved/seed43/Electricity/h336.json,04397cbe890f99b617ff0b64bdb6eaf2fcb5aa9ba24909d164c821f63c4018f0,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/runs/no_linear_bank/seed43/Electricity/h336.json,0.43793960163407875,multiscale,43,"{'inducing_points': 32, 'latent_dim': 16, 'patch_lens': [8, 16, 32], 'representation_weight': 0.001}",8-16-32,,True,True,96,False,0,501.80512364131573,extension,scale-multiscale__bank-off__continuation-preserved,0.0001,4
off,16,3,extension,0.20540356786245292,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/no_linear_bank/seed43/Electricity/h720.pt,2258cd08e544e80b,preserved,2,False,Electricity,16,742.1481455550529,latentflow-factorial-2x2x2-all28-three-seed-no-exchange-v2-selector-safe,factorial,10,latentflow_process_preserving_unfreeze2,5.0,0.001,720,,41.349271844540326,False,,0.0007,0.319888780293773,2048,1024,LatentFlow,0.23775332023929907,0.02,4543.0,1597901,,0.3241261535948281,0.2428785076318873,False,2,-0.004237373301055114,-0.005125187392588243,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/factorial/runs/scale-multiscale__bank-off__continuation-preserved/seed43/Electricity/h720.json,6724b2ba25be8151f2730e89416512ec9deae7f5c03384e834a9a3fd8eb6eef7,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/runs/no_linear_bank/seed43/Electricity/h720.json,0.4875995490556765,multiscale,43,"{'inducing_points': 32, 'latent_dim': 16, 'patch_lens': [8, 16, 32], 'representation_weight': 0.001}",8-16-32,,True,True,96,False,0,495.6274280000798,extension,scale-multiscale__bank-off__continuation-preserved,0.0001,4
off,16,9,extension,0.13808207376352352,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/no_linear_bank/seed43/Electricity/h96.pt,a6fbfd280df648aa,preserved,2,False,Electricity,16,671.4671665001661,latentflow-factorial-2x2x2-all28-three-seed-no-exchange-v2-selector-safe,factorial,10,latentflow_process_preserving_unfreeze2,5.0,0.001,96,,36.63661882440134,False,,0.0007,0.2567861424039998,2048,1024,LatentFlow,0.1602915837744591,0.02,5167.0,1329979,,0.2629459618459666,0.16817525858293583,False,2,-0.006159819441966807,-0.007883674808476737,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/factorial/runs/scale-multiscale__bank-off__continuation-preserved/seed43/Electricity/h96.json,70689b9837cd1c6e2c758250202246995ae7c986939df67f8cc94a571b6bf001,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/runs/no_linear_bank/seed43/Electricity/h96.json,0.4003643138123815,multiscale,43,"{'inducing_points': 32, 'latent_dim': 16, 'patch_lens': [8, 16, 32], 'representation_weight': 0.001}",8-16-32,,True,True,96,False,0,450.5299247623043,extension,scale-multiscale__bank-off__continuation-preserved,0.0001,4
off,16,10,extension,0.38957796941316136,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/no_linear_bank/seed43/Traffic/h192.pt,5a761961d5c7713d,preserved,2,False,Traffic,16,1489.7654017368332,latentflow-factorial-2x2x2-all28-three-seed-no-exchange-v2-selector-safe,factorial,10,latentflow_process_preserving_unfreeze2,5.0,0.001,192,,86.77104047099174,False,,0.0007,0.30053839630721885,2048,1024,LatentFlow,0.4520034972957492,0.02,3319.0,1370734,,0.3131390828654499,0.4685487397926896,False,2,-0.012600686558231045,-0.016545242496940393,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/factorial/runs/scale-multiscale__bank-off__continuation-preserved/seed43/Traffic/h192.json,7aa25dc2e98107a0e941a9c0c55660bb68d70aff9907e009f43a48159c1a14bf,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/runs/no_linear_bank/seed43/Traffic/h192.json,0.6723120535106812,multiscale,43,"{'inducing_points': 32, 'latent_dim': 16, 'patch_lens': [8, 16, 32], 'representation_weight': 0.001}",8-16-32,,True,True,96,False,0,995.0625351644703,extension,scale-multiscale__bank-off__continuation-preserved,0.0001,4
off,16,7,extension,0.4039067835349982,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/no_linear_bank/seed43/Traffic/h336.pt,4b2386681ad21cae,preserved,2,False,Traffic,16,1534.7656557406299,latentflow-factorial-2x2x2-all28-three-seed-no-exchange-v2-selector-safe,factorial,10,latentflow_process_preserving_unfreeze2,5.0,0.001,336,,91.0561719792895,False,,0.0007,0.3094359131981871,2048,1024,LatentFlow,0.47254853447073103,0.02,3175.0,1430876,,0.3216683891891704,0.48278019169261327,False,2,-0.012232475990983316,-0.01023165722188224,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/factorial/runs/scale-multiscale__bank-off__continuation-preserved/seed43/Traffic/h336.json,6161686a39b298adb3415273e582ddacc03353b3e5ec5b92dff47c28e090ae10,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/runs/no_linear_bank/seed43/Traffic/h336.json,0.6874216569695277,multiscale,43,"{'inducing_points': 32, 'latent_dim': 16, 'patch_lens': [8, 16, 32], 'representation_weight': 0.001}",8-16-32,,True,True,96,False,0,1022.9006810859573,extension,scale-multiscale__bank-off__continuation-preserved,0.0001,4
off,16,7,extension,0.44448132899717807,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/no_linear_bank/seed43/Traffic/h720.pt,eac8b345a72219c0,preserved,2,False,Traffic,16,1677.103979669977,latentflow-factorial-2x2x2-all28-three-seed-no-exchange-v2-selector-safe,factorial,10,latentflow_process_preserving_unfreeze2,5.0,0.001,720,,100.08531322585011,False,,0.0007,0.32007977316546327,2048,1024,LatentFlow,0.5008862604821814,0.02,2791.0,1599524,,0.33464495692066093,0.5128350406112727,False,2,-0.014565183755197664,-0.011948780129091285,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/factorial/runs/scale-multiscale__bank-off__continuation-preserved/seed43/Traffic/h720.json,d29376e555bc7cf786dee7fa5cb6ca1579997ba6b45d172507974c96b3871020,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/runs/no_linear_bank/seed43/Traffic/h720.json,0.7077331845280264,multiscale,43,"{'inducing_points': 32, 'latent_dim': 16, 'patch_lens': [8, 16, 32], 'representation_weight': 0.001}",8-16-32,,True,True,96,False,0,1112.4950367859128,extension,scale-multiscale__bank-off__continuation-preserved,0.0001,4
off,16,10,extension,0.3971416913347473,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/no_linear_bank/seed43/Traffic/h96.pt,ed8ec65ff69bd708,preserved,2,False,Traffic,16,1432.5186869297177,latentflow-factorial-2x2x2-all28-three-seed-no-exchange-v2-selector-safe,factorial,10,latentflow_process_preserving_unfreeze2,5.0,0.001,96,,86.47959654442441,False,,0.0007,0.2965177982410567,2048,1024,LatentFlow,0.44050283724171974,0.02,3415.0,1331602,,0.3137063777611741,0.4589426666652778,False,2,-0.01718857952011743,-0.01843982942355804,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/factorial/runs/scale-multiscale__bank-off__continuation-preserved/seed43/Traffic/h96.json,93ed9011c14c72550fbd3539b4272170bc8a87aadf98882aadbcf7a2f364848a,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/runs/no_linear_bank/seed43/Traffic/h96.json,0.6637038776756693,multiscale,43,"{'inducing_points': 32, 'latent_dim': 16, 'patch_lens': [8, 16, 32], 'representation_weight': 0.001}",8-16-32,,True,True,96,False,0,954.7664041339885,extension,scale-multiscale__bank-off__continuation-preserved,0.0001,4
off,16,3,extension,0.47506769994894665,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/no_linear_bank/seed43/Weather/h192.pt,cc63a4f0331e2910,preserved,2,False,Weather,16,226.45697798102628,latentflow-factorial-2x2x2-all28-three-seed-no-exchange-v2-selector-safe,factorial,10,latentflow_process_preserving_unfreeze2,5.0,0.001,192,,40.49755086898515,False,,0.0007,0.2548199643317702,2048,1024,LatentFlow,0.2138773048639513,0.02,10349.0,1371328,,0.256249009137202,0.2158285317509315,False,2,-0.0014290448054318228,-0.0019512268869802118,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/factorial/runs/scale-multiscale__bank-off__continuation-preserved/seed43/Weather/h192.json,1bbeb7a3daeb72153f8998a3817f4ca4ab325862544030c039157e30461850f6,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/runs/no_linear_bank/seed43/Weather/h192.json,0.4624687069023712,multiscale,43,"{'inducing_points': 32, 'latent_dim': 16, 'patch_lens': [8, 16, 32], 'representation_weight': 0.001}",8-16-32,,True,True,96,False,0,142.89095829371945,extension,scale-multiscale__bank-off__continuation-preserved,0.0001,4
off,16,3,extension,0.5575835292571797,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/no_linear_bank/seed43/Weather/h336.pt,b5740e2efa978abb,preserved,2,False,Weather,16,247.48576007969677,latentflow-factorial-2x2x2-all28-three-seed-no-exchange-v2-selector-safe,factorial,10,latentflow_process_preserving_unfreeze2,5.0,0.001,336,,42.013400509578624,False,,0.0007,0.2959482041934151,2048,1024,LatentFlow,0.2703325066968474,0.02,10205.0,1431470,,0.2981265712778558,0.27329123324999927,False,2,-0.002178367084440691,-0.0029587265531518803,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/factorial/runs/scale-multiscale__bank-off__continuation-preserved/seed43/Weather/h336.json,eaa502dd5afb47362650295f0f0760152090c8ca5b6abc4aa68cad88304c124d,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/runs/no_linear_bank/seed43/Weather/h336.json,0.519935098542931,multiscale,43,"{'inducing_points': 32, 'latent_dim': 16, 'patch_lens': [8, 16, 32], 'representation_weight': 0.001}",8-16-32,,True,True,96,False,0,156.4684516408306,extension,scale-multiscale__bank-off__continuation-preserved,0.0001,4
off,16,2,extension,0.6799522102194488,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/no_linear_bank/seed43/Weather/h720.pt,4a2624b6da178900,preserved,2,False,Weather,16,244.64405142399482,latentflow-factorial-2x2x2-all28-three-seed-no-exchange-v2-selector-safe,factorial,10,latentflow_process_preserving_unfreeze2,5.0,0.001,720,,39.43641374825068,False,,0.0007,0.34674436203933345,2048,1024,LatentFlow,0.3486751644506735,0.02,9821.0,1600118,,0.3503502951151505,0.3520486265763272,False,2,-0.003605933075817025,-0.0033734621256537034,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/factorial/runs/scale-multiscale__bank-off__continuation-preserved/seed43/Weather/h720.json,48d0c1e5d88767d2def4f309835934946d007f742fa1b483e6b5889afec44e0a,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/runs/no_linear_bank/seed43/Weather/h720.json,0.590487226323037,multiscale,43,"{'inducing_points': 32, 'latent_dim': 16, 'patch_lens': [8, 16, 32], 'representation_weight': 0.001}",8-16-32,,True,True,96,False,0,154.7951717140677,extension,scale-multiscale__bank-off__continuation-preserved,0.0001,4
