clustered_ci95_high,clustered_ci95_low,contrast_plus_minus,dataset,effect,interpretation,metric,paired_dataset_horizon_seed_cells
0.0038587648373610817,-0.0031871077704555503,0.0002716259962442932,ALL,scale,negative contrast favors the +1 level(s),mse,84
0.008053961348129355,0.008053961348129355,0.008053961348129355,ETTh1,scale,negative contrast favors the +1 level(s),mse,12
0.005233842304493558,0.005233842304493558,0.005233842304493558,ETTh2,scale,negative contrast favors the +1 level(s),mse,12
-0.0009259176206678245,-0.0009259176206678245,-0.0009259176206678245,ETTm1,scale,negative contrast favors the +1 level(s),mse,12
-0.0007196433182177428,-0.0007196433182177428,-0.0007196433182177428,ETTm2,scale,negative contrast favors the +1 level(s),mse,12
0.001184953864517789,0.001184953864517789,0.001184953864517789,Weather,scale,negative contrast favors the +1 level(s),mse,12
-0.005463527774839813,-0.005463527774839813,-0.005463527774839813,Electricity,scale,negative contrast favors the +1 level(s),mse,12
-0.00546228682970527,-0.00546228682970527,-0.00546228682970527,Traffic,scale,negative contrast favors the +1 level(s),mse,12
0.0004685698309067207,-0.004503491293333381,-0.0020182343607868035,ALL,bank,negative contrast favors the +1 level(s),mse,84
-0.007363514079031825,-0.007363514079031825,-0.007363514079031825,ETTh1,bank,negative contrast favors the +1 level(s),mse,12
-0.0032952319096799265,-0.0032952319096799265,-0.0032952319096799265,ETTh2,bank,negative contrast favors the +1 level(s),mse,12
0.0033291157172324914,0.0033291157172324914,0.0033291157172324914,ETTm1,bank,negative contrast favors the +1 level(s),mse,12
-0.004444271226914455,-0.004444271226914455,-0.004444271226914455,ETTm2,bank,negative contrast favors the +1 level(s),mse,12
0.0014537535061588142,0.0014537535061588142,0.0014537535061588142,Weather,bank,negative contrast favors the +1 level(s),mse,12
-0.0005858029855314502,-0.0005858029855314502,-0.0005858029855314502,Electricity,bank,negative contrast favors the +1 level(s),mse,12
-0.0032216895477412744,-0.0032216895477412744,-0.0032216895477412744,Traffic,bank,negative contrast favors the +1 level(s),mse,12
-0.00043233864707934897,-0.026757810020962305,-0.012937115299457532,ALL,continuation,negative contrast favors the +1 level(s),mse,84
0.0019215373566822379,0.0019215373566822379,0.0019215373566822379,ETTh1,continuation,negative contrast favors the +1 level(s),mse,12
-0.002709110372509005,-0.002709110372509005,-0.002709110372509005,ETTh2,continuation,negative contrast favors the +1 level(s),mse,12
-0.0029720839500024915,-0.0029720839500024915,-0.0029720839500024915,ETTm1,continuation,negative contrast favors the +1 level(s),mse,12
-0.0004513451720655666,-0.0004513451720655666,-0.0004513451720655666,ETTm2,continuation,negative contrast favors the +1 level(s),mse,12
-0.0003108942100192447,-0.0003108942100192447,-0.0003108942100192447,Weather,continuation,negative contrast favors the +1 level(s),mse,12
-0.04004534572825428,-0.04004534572825428,-0.04004534572825428,Electricity,continuation,negative contrast favors the +1 level(s),mse,12
