best_validation_mse,epoch,learning_rate,stage,train_loss,validation_mae,validation_mse
0.22249550809493812,1,0.0001,model,0.4002873674617149,0.3122350962857715,0.22249550809493812
0.2051156430291486,2,0.0001,model,0.2396137070900295,0.2940978817603051,0.2051156430291486
0.1975382065104547,3,0.0001,model,0.22621938106021844,0.2845879987516631,0.1975382065104547
0.1950186349892542,4,0.0001,model,0.21915950631955639,0.28243441435654465,0.1950186349892542
0.18917986633002695,5,0.0001,model,0.21478980148094706,0.27447601159413654,0.18917986633002695
0.18765479666669296,6,0.0001,model,0.21143541624769568,0.2717426321464412,0.18765479666669296
0.18586058439619196,7,0.0001,model,0.20891556653077714,0.27025511492573706,0.18586058439619196
0.1831533792481863,8,0.0001,model,0.207004403375322,0.2675705870240153,0.1831533792481863
0.1831533792481863,9,0.0001,model,0.20531790898530744,0.2704034705152145,0.18363301182090308
0.1804083690650738,10,0.0001,model,0.20353824066114612,0.26709807339982206,0.1804083690650738
