mean_across_tasks,metric,model,task_ci95_high,task_ci95_low,tasks
0.34775158481828194,mse,LatentFlow,0.38922281450982504,0.3048241596555807,28
0.37106073718176186,mse,VPNet,0.415274267870648,0.32514637104904875,28
0.40363197994780925,mse,xCPD,0.4628824347037237,0.34642703104671785,28
0.3512354271082832,mse,TimePro,0.39147869067451374,0.3094074162125713,28
0.3692074776905125,mse,iTransformer,0.4118580404311598,0.32637858248671187,28
0.38392743475121,mse,TimeMixer,0.43563570241198124,0.33406748874907305,28
0.41846459563424415,mse,DLinear,0.47945916216247875,0.35903508746407065,28
0.3505140757767743,mae,LatentFlow,0.37836916530098685,0.3226143724755641,28
0.36870360496342125,mae,VPNet,0.3974399272426411,0.3399092003311579,28
0.39280194173503213,mae,xCPD,0.429229870478015,0.35941804171641967,28
0.3523809011778417,mae,TimePro,0.3798025190497983,0.3249834494787275,28
0.3670227601463299,mae,iTransformer,0.3907231430282977,0.342812025766853,28
0.3729463657075402,mae,TimeMixer,0.39654140105917357,0.3486036131851366,28
0.4058600734553584,mae,DLinear,0.43921923992224465,0.3740257169212028,28
