dataset,gflops_per_sample,gpu,horizon,inference_ms_batch,model,parameters_total,parameters_trainable,peak_inference_gpu_mb,peak_training_gpu_mb,profile_batch_size,training_ms_iter
ETTh2,0.352231023,NVIDIA GH200 120GB,720,62.814919801894575,LatentFlow,2067058.0,660981.0,55.8349609375,150.16943359375,1,197.90557540836744
ETTm1,0.049122562,NVIDIA GH200 120GB,96,8.016364322975278,LatentFlow,1440690.0,649613.0,38.8251953125,95.7177734375,1,186.52498563751578
ETTm1,0.316944415,NVIDIA GH200 120GB,192,65.6358739361167,LatentFlow,1535482.0,650497.0,40.953125,101.14794921875,1,191.0479037091136
ETTm1,0.375290095,NVIDIA GH200 120GB,336,65.65235974267125,LatentFlow,1678900.0,652438.0,43.65771484375,112.205078125,1,191.34704782627523
ETTm1,0.565031023,NVIDIA GH200 120GB,720,64.98509360826574,LatentFlow,2068564.0,661222.0,55.83984375,159.8681640625,1,215.62967819627374
ETTm2,0.320316863,NVIDIA GH200 120GB,96,59.37541970051825,LatentFlow,1415614.0,633715.0,39.71337890625,97.33154296875,1,180.73637150228024
ETTm2,0.358470047,NVIDIA GH200 120GB,192,63.18309232592583,LatentFlow,1510618.0,634705.0,40.8583984375,102.81640625,1,181.15539206191897
ETTm2,0.076499442,NVIDIA GH200 120GB,336,8.158882986754179,LatentFlow,1654568.0,636912.0,39.970703125,113.99853515625,1,186.91208357922733
ETTm2,0.116223858,NVIDIA GH200 120GB,720,7.554452866315842,LatentFlow,2046704.0,646932.0,42.00048828125,161.89111328125,1,184.4335140194744
Electricity,15.405521054,NVIDIA GH200 120GB,96,62.6945732627064,LatentFlow,1429207.0,646994.0,150.52099609375,1538.71044921875,1,210.71665678173304
Electricity,17.280010238,NVIDIA GH200 120GB,192,60.49542613327503,LatentFlow,1524211.0,647984.0,153.587890625,1641.57470703125,1,189.40040413290262
Electricity,20.421169934,NVIDIA GH200 120GB,336,61.78635875694454,LatentFlow,1668161.0,650191.0,176.99755859375,1803.09423828125,1,199.55004584044218
Electricity,30.411713678,NVIDIA GH200 120GB,720,64.91666880901903,LatentFlow,2060297.0,660211.0,280.55615234375,2218.30859375,1,188.14183920039795
Traffic,41.351528322,NVIDIA GH200 120GB,96,62.128006713464856,LatentFlow,1430830.0,648076.0,341.39990234375,4030.28271484375,1,194.49632824398577
Traffic,46.380506274,NVIDIA GH200 120GB,192,63.80904186517,LatentFlow,1525834.0,649066.0,349.013671875,4286.98583984375,1,193.40682039037347
Traffic,54.808075602,NVIDIA GH200 120GB,336,64.80820691213012,LatentFlow,1669784.0,651273.0,411.93310546875,4693.88330078125,1,204.3669258709997
Traffic,81.613003218,NVIDIA GH200 120GB,720,66.58013339620084,LatentFlow,2061920.0,661293.0,685.28076171875,5762.05078125,1,203.3680299995467
Weather,1.607684305,NVIDIA GH200 120GB,96,74.67994460021146,LatentFlow,1436212.0,654299.0,48.46240234375,201.71875,1,233.40073471190408
Weather,1.799808625,NVIDIA GH200 120GB,192,79.10845433361828,LatentFlow,1531216.0,655289.0,49.00244140625,217.42919921875,1,249.0982346702367
