dataset,gflops_per_sample,gpu,horizon,inference_ms_batch,model,parameters_total,parameters_trainable,peak_inference_gpu_mb,peak_training_gpu_mb,profile_batch_size,training_ms_iter
ETTm2,0.012714506,NVIDIA GH200 120GB,96,2.7258276008069515,xCPD,131782.0,113158.0,33.75634765625,66.99267578125,1,13.014708459377289
ETTm2,0.013705706,NVIDIA GH200 120GB,192,3.08421952649951,xCPD,182262.0,145014.0,33.9541015625,67.44091796875,1,13.231743313372135
ETTm2,0.015676346,NVIDIA GH200 120GB,336,2.920830948278308,xCPD,292542.0,227358.0,34.38232421875,68.6298828125,1,14.235702669247985
ETTm2,0.023769914,NVIDIA GH200 120GB,720,2.934849791927263,xCPD,789374.0,649694.0,36.2978515625,76.98876953125,1,13.902283605420962
Electricity,10.732760832,NVIDIA GH200 120GB,96,3.453832771629095,xCPD,1639882.0,1621258.0,74.623046875,214.86572265625,1,15.255774138495326
Electricity,10.825547808,NVIDIA GH200 120GB,192,3.2160487957298756,xCPD,1719050.0,1681802.0,75.16064453125,216.1513671875,1,15.035896748304367
Electricity,10.986915792,NVIDIA GH200 120GB,336,3.1005613040179014,xCPD,1872362.0,1807178.0,76.09765625,218.60498046875,1,14.175197528675199
Electricity,11.5473972,NVIDIA GH200 120GB,720,3.018429968506098,xCPD,2483946.0,2344266.0,79.166015625,228.17626953125,1,14.543327409774065
Traffic,68.499354096,NVIDIA GH200 120GB,96,3.560124896466732,xCPD,25611332.0,25592708.0,212.86181640625,611.7822265625,1,15.886986401164904
Traffic,69.256948656,NVIDIA GH200 120GB,192,3.474745526909828,xCPD,26051012.0,26013764.0,216.17041015625,621.9326171875,1,13.863184116780758
Traffic,70.452921936,NVIDIA GH200 120GB,336,3.5078519955277443,xCPD,26745092.0,26679908.0,219.62548828125,629.47607421875,1,14.879263006150723
Traffic,73.991728464,NVIDIA GH200 120GB,720,3.6307017086073756,xCPD,28798724.0,28659044.0,230.12255859375,662.57568359375,1,16.319465212291107
Weather,0.043673574,NVIDIA GH200 120GB,96,3.0921040568500757,xCPD,448642.0,430018.0,35.1845703125,72.31884765625,1,14.859326742589474
Weather,0.047679366,NVIDIA GH200 120GB,192,2.833901531994343,xCPD,519634.0,482386.0,35.47119140625,73.404296875,1,14.377172756940126
Weather,0.055139574,NVIDIA GH200 120GB,336,2.892226306721568,xCPD,660682.0,595498.0,36.03271484375,75.6923828125,1,14.485435653477907
Weather,0.083549046,NVIDIA GH200 120GB,720,2.9331909026950598,xCPD,1239562.0,1099882.0,38.30224609375,85.6572265625,1,14.730959618464112
