bootstrap_task_ci95_high,bootstrap_task_ci95_low,competitor,losses,mean_relative_gain_percent,metric,reference,tasks,ties,wilcoxon_holm_p,wilcoxon_one_sided_p,wins
7.308353030484748,5.138122135017989,VPNet,0,6.236496171992284,mse,LatentFlow,28,0,2.2351741790771484e-08,3.725290298461914e-09,28
16.12360810269082,7.678213787165758,xCPD,5,11.693020053571958,mse,LatentFlow,28,0,1.4092773199081421e-05,4.697591066360474e-06,23
2.4694428387023053,0.45341034872765906,TimePro,13,1.4220076658770253,mse,LatentFlow,28,0,0.03870784863829613,0.03870784863829613,15
8.982661244206628,4.152559265020898,iTransformer,7,6.53852965881498,mse,LatentFlow,28,0,5.529820919036865e-05,2.7649104595184326e-05,21
12.476371072935189,5.38307604026108,TimeMixer,1,8.77752982947849,mse,LatentFlow,28,0,4.917383193969727e-07,1.2293457984924316e-07,27
19.122324715834417,10.433860628008208,DLinear,2,14.668108673605001,mse,LatentFlow,28,0,4.6566128730773926e-07,9.313225746154785e-08,26
5.849448051050782,4.032870143473758,VPNet,0,4.942010487927369,mae,LatentFlow,28,0,2.2351741790771484e-08,3.725290298461914e-09,28
13.181803488221716,7.153622364549291,xCPD,3,10.07097687463906,mae,LatentFlow,28,0,1.043081283569336e-06,2.60770320892334e-07,25
1.263551617280485,-0.008613599607606107,TimePro,10,0.6250069810330768,mae,LatentFlow,28,0,0.0818995051085949,0.0818995051085949,18
7.238320828217338,3.0139175528679067,iTransformer,3,5.031268631631948,mae,LatentFlow,28,0,4.14624810218811e-06,1.3820827007293701e-06,25
9.576641777929378,3.5019521110043805,TimeMixer,3,6.3435813668738685,mae,LatentFlow,28,0,1.2949109077453613e-05,6.474554538726807e-06,25
16.547041748560662,10.005121061441407,DLinear,1,13.242594987874169,mae,LatentFlow,28,0,1.30385160446167e-07,2.60770320892334e-08,27
