average_rank,metric,model,rank_std,tasks
2.0,mse,LatentFlow,1.186342028003479,28
4.607142857142857,mse,VPNet,1.7286107827082526,28
4.285714285714286,mse,xCPD,1.8430478552727263,28
2.2857142857142856,mse,TimePro,1.1818736805705579,28
4.107142857142857,mse,iTransformer,1.749905515211982,28
5.0,mse,TimeMixer,1.699673171197595,28
5.714285714285714,mse,DLinear,1.462041770116756,28
1.7142857142857142,mae,LatentFlow,1.0837911120705754,28
4.5,mae,VPNet,1.6887426837300736,28
4.928571428571429,mae,xCPD,1.7411909808364021,28
2.142857142857143,mae,TimePro,1.0079052613579393,28
3.9642857142857144,mae,iTransformer,1.1700630833624395,28
4.5,mae,TimeMixer,1.8358568490953673,28
6.25,mae,DLinear,0.7515416254704823,28
