variable,level_correlation,best_change_lag_hours,change_correlation
HUFL,0.060752136066093046,1.75,-0.03965004903330432
HULL,0.22454165287341415,-27.25,-0.021068991447007353
MUFL,0.051530163928265885,1.75,-0.038613831170606586
MULL,0.22005362266369485,-28.0,-0.023126126193913084
LUFL,0.12006097904256884,-22.25,-0.021596298361181963
LULL,0.06860458399170923,-14.75,0.01435486620241503
