base_mse,best_validation_mse,best_validation_nll,between_component_variance,continuation_field_weight,continuation_linear_weight,continuation_process_entropy,continuation_process_information_bits,continuation_process_weight_0,continuation_process_weight_1,continuation_process_weight_2,continuation_process_weight_3,cross_effective_ratio,cross_effective_ratio_max,cross_exact_spectral_norm,cross_gate,cross_spectral_norm,epoch,fenchel_primal,inducing_minimum_gap,latent_reconstruction_mse,latent_reconstruction_ratio,latent_variance_gain,mixture_base_weight,mixture_latent_weight,mixture_nll,mixture_routing_information_bits,mixture_weight_entropy,observation_noise_std,point_mse,point_regret,posterior_future_variance,posterior_past_variance,predictive_mean,predictive_second_moment,predictive_variance,process_axis_size_at_field_exit,process_energy_baseline,process_energy_congestion,process_energy_daily,process_energy_entropy,process_energy_weekly,process_fusion_after_future_decode,process_future_variance_baseline,process_future_variance_congestion,process_future_variance_daily,process_future_variance_weekly,process_signal_reconstruction_ratio,representation_gaussian_nll,representation_objective,representation_trace_correction,sample_dual_norm,selected_reference_only,sensor_group_entropy,sensor_group_irregular_high_variability_process_0,sensor_group_irregular_high_variability_process_1,sensor_group_irregular_high_variability_process_2,sensor_group_irregular_high_variability_process_3,sensor_group_low_activity_process_0,sensor_group_low_activity_process_1,sensor_group_low_activity_process_2,sensor_group_low_activity_process_3,sensor_group_mass_irregular_high_variability,sensor_group_mass_low_activity,sensor_group_mass_strongly_periodic,sensor_group_prior_kl,sensor_group_strongly_periodic_process_0,sensor_group_strongly_periodic_process_1,sensor_group_strongly_periodic_process_2,sensor_group_strongly_periodic_process_3,soft_miscoverage_90,stage,standardized_error_second_moment,structural_reconstruction_ratio,total,train_nll,validation_mae,validation_mse,validation_nll,within_component_variance
,,0.40493325470015407,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reference,,,,0.3447718490206171,,,0.40493325470015407,
,,0.3776823962107301,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reference,,,,0.2918695713742636,,,0.3776823962107301,
0.2654676287493203,0.3804675529039407,,0.03802261044461375,0.6703699813224375,0.3296300178626552,1.3862943649291992,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,1,0.0,2.8787841796875,0.003736496401415934,0.05975231279444415,0.13221202162094414,0.9625189920188859,0.03748100452503422,0.2574391662928974,0.7721621558303013,0.15792515463544987,0.09916852653259411,0.2635710581380408,-0.0069737862795591354,0.7855873458320275,0.12060344099882059,-0.0025330489367760833,0.9198508323170245,0.16380375719745643,4.0,0.07846548831730615,0.18216233627754264,0.6906339536653832,0.8788223136216402,0.048738222703832434,1.0,0.1170059649302857,0.3252971491892822,0.28326245601056144,0.1408844012185,0.059812162719026674,-0.3608468017191626,5.054276347160339,5.354983488097787,0.0,0.0,1.0068221871042624,0.171560941147618,0.09573388518765569,0.12214060535188764,0.6105645690113306,0.154557611560449,0.09844921017065644,0.5904164109379053,0.156576762907207,0.4475224026828073,0.1514140812359983,0.4010634822770953,0.01221478096424855,0.5019877357408404,0.28833851404488087,0.1597707336768508,0.04990301447105594,0.08658185036620125,extension,1.7319597593741491,0.00020533118604282308,0.26871984158060513,,0.28014952081108435,0.3804675529039407,0.3280993233978127,0.12578114714415278
0.26546762901125476,0.37813155384953717,,0.04015240753869875,0.6905631063273177,0.30943689483683556,1.3862943649291992,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,2,0.0,2.8787841796875,0.0041147322472170345,0.059127796746906824,0.1371858607744798,0.9316656353184953,0.0683343640921521,0.23437239586928627,0.6410522380610928,0.24880362531985156,0.09875383879989386,0.2624208682391327,-0.011262138490565121,0.8245833265827969,0.12301522115012631,-0.004796441772491278,1.079543365049176,0.32670872315065935,4.0,0.06402444454943179,0.16600335262774024,0.7156812017783523,0.8395306984893978,0.05429099980756291,1.0,0.1033552198932739,0.3122037530411035,0.3371415244182572,0.15182876534527168,0.06084402774285991,-0.3256710612331517,5.13621832523495,5.395726719871163,0.0,0.0,0.8212731808889657,0.17807264032308012,0.09511645487509668,0.11291175539372489,0.6138991490006447,0.16917779971845448,0.1008014878607355,0.5733953109011054,0.1566253969212994,0.42760516685666516,0.07998769152618479,0.4924071070854552,0.14388053998845862,0.5300539014860988,0.277639004169032,0.14306713419500738,0.04923996076104231,0.048526202441280475,extension,0.7793822661042213,0.0038798185196355917,0.2671083158638794,,0.2773380859760502,0.37813155384953717,0.31825265594913316,0.2865563140658196
0.2654676274978556,0.3762402613158692,,0.0519765747958445,0.7339153161738068,0.2660846834478434,1.3862943649291992,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,3,0.0,2.8787841796875,0.0069433874768947135,0.08838586609635968,0.13639899296686053,0.9005056830355898,0.09949431651330087,0.22657512976729777,0.5334552993881516,0.3233841401524842,0.11312163231195882,0.2593222394643817,-0.02303831314202398,0.8401571166468784,0.11967606816324405,-0.002082657783631703,1.0828056436730549,0.3305528002092615,4.0,0.06536062652958208,0.2583212954341434,0.616109884576872,0.9627215499058366,0.06020819472905714,1.0,0.0887214165268233,0.37394198949914426,0.3070249535376206,0.1423968965827953,0.07053745409211842,-0.1875692883913871,4.511183243244886,4.611871086992323,0.0,0.0,0.43304003862431273,0.1295012480695732,0.10081227880436927,0.10896089620655403,0.6607255730777979,0.1522481357678771,0.10547348263207823,0.5879754642955959,0.15430291928350925,0.5002692487323657,0.027652477863739477,0.4720782393706031,0.4933836894342676,0.589694291818887,0.24284817930310965,0.12676963646663353,0.0406878937210422,0.0461772536218632,extension,0.7327623086748645,0.011410125652218994,0.2638537421298679,,0.2788207589366074,0.3762402613158692,0.30943269034226734,0.2785762253624853
0.26546762842917815,0.3742940673572435,,0.057562929861887824,0.7712818327127025,0.22871816891711205,1.3862943649291992,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,4,0.0,2.8787841796875,0.007873854125136859,0.09443601276143454,0.13520198175683618,0.8670136084547266,0.13298639094864484,0.2208912291098386,0.4348740481073037,0.39171545795397833,0.12475087202619761,0.2563134228112176,-0.03432216076180339,0.8225105793680996,0.11563060540356673,-0.00012870720103563826,1.0509938749019057,0.2998245103517547,4.0,0.07381609291041968,0.287800467107445,0.5785518364282325,1.0043353798100725,0.05983160227697226,1.0,0.09019475504464936,0.38463326886994764,0.28377772559178993,0.13171395269455388,0.07881318894942524,-0.1514381476881681,3.7547737075947225,3.803942508995533,0.0,0.0,0.6219338425435126,0.10396801738534123,0.10410059278365225,0.11229646689025685,0.679634926840663,0.1466074613854289,0.11102351755835116,0.604271971154958,0.13809705176390707,0.5049270357121713,0.058059546834556386,0.4370133830816485,0.32739573530852795,0.6409606784582138,0.21080742008052766,0.11434425140032545,0.03388765233103186,0.04863260273850756,extension,0.786003606102895,0.020182195972665795,0.2607312473410275,,0.27670696747306084,0.3742940673572435,0.3030041084663632,0.242261579958722
0.26546762767247856,0.37369782496248516,,0.05809961348131765,0.7973162435228005,0.2026837560115382,1.3862943649291992,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,5,0.0,2.8787841796875,0.008225562828556576,0.0941073138237698,0.13283108384348452,0.8447146746329963,0.1552853265311569,0.21645915662884363,0.3775161405210383,0.43147293088259175,0.1319815773749724,0.2543923221237492,-0.041371522238478065,0.8082140674814582,0.1124283199897036,0.00030438668417787085,1.040582170127891,0.2893315259134397,4.0,0.07493949755007634,0.2883187742845621,0.5783329243422486,1.00303175940644,0.058408801291079726,1.0,0.09030892059672624,0.3740865971776657,0.28279897826723754,0.12648269477358554,0.0876023668970447,-0.13679448293987662,3.3013933622278273,3.315836479421705,0.0,0.0,0.7045184726594016,0.0931552040274255,0.10535036528017372,0.11400849052006379,0.6874859393574297,0.1501214737072587,0.11760830081766471,0.607778562232852,0.12449166632723063,0.4872981740627438,0.0761775847277022,0.4365242050262168,0.25828391482355073,0.6730202827602625,0.19209942559245974,0.10457820171723142,0.03030209374264814,0.04988854536350118,extension,0.8109275687020272,0.03216614844131982,0.2587215054372791,,0.2738093766824398,0.37369782496248516,0.30591508831518394,0.23123191308695823
0.2654676279926207,0.37324764520183423,,0.05804667159827659,0.8152347825234756,0.1847652180294972,1.3862943649291992,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,6,0.0,2.8787841796875,0.008732341465474747,0.09582546785532031,0.12795477028703317,0.8221546887652948,0.17784531172947027,0.21169295882282313,0.3249644434545189,0.4678989917738363,0.1382854877738282,0.25258420215686783,-0.04775049816817045,0.7973339963937178,0.11006365255161654,0.0006470650131120692,1.029269000631757,0.2768229412904475,4.0,0.07449763620752492,0.2916006312298123,0.5769899696460925,1.0009322048863396,0.05691176146865473,1.0,0.09012938206433319,0.3662204862339422,0.28089610673487186,0.12347683640837204,0.09723651641979814,-0.11805356555851176,2.9919413570314646,2.9654073077253997,0.0,0.0,0.7480452314484864,0.08560361305717379,0.10549433273263276,0.11534561717417091,0.6935564391314983,0.14887914876453578,0.12309194140834734,0.6130737727507949,0.11495513381669298,0.4741040294757113,0.09112571782316081,0.434770219551865,0.22588440185063519,0.6955410214141011,0.18106736917980015,0.09580208209808916,0.027589531906414777,0.051525660215702374,extension,0.8479340404737741,0.0450922482777969,0.25681806102511473,,0.2748518454779605,0.37324764520183423,0.3010059585406755,0.21877627132926136
0.2654676285746973,0.37324764520183423,,0.0567785530583933,0.8240747986128554,0.17592520141624846,1.3862943649291992,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,7,0.0,2.8787841796875,0.0092500232058228,0.09750812176207546,0.12053522712085396,0.797459622612223,0.20254037508857436,0.20659509366305429,0.27368742745602503,0.5034415111294948,0.14296277042012662,0.25064578087767586,-0.05505883716978133,0.7846935981651768,0.1077820426580729,0.0006952469542227391,1.025967488414608,0.27105101564666256,4.0,0.07371410569976433,0.2873410739703104,0.5845187567174435,0.991023771231994,0.05442606245924253,1.0,0.09170752314093988,0.35417686199070886,0.2803549538948573,0.12066204502480105,0.10689977597212419,-0.10170821926294593,2.762933243997395,2.6972493585199118,0.0,0.0,0.7814710447564721,0.08077267312910408,0.10475782671710476,0.1154877552180551,0.6989817395806313,0.14538037357851863,0.1278198875952512,0.6179901389405131,0.10880960104987025,0.45280037343036383,0.11466672152164392,0.4325328714912757,0.20997777406591922,0.7119669048115611,0.1725564943626523,0.08959828811930493,0.0258783114986727,0.05222168916952796,extension,0.8657062457641587,0.05839255558385048,0.25477768245036714,,0.2779195981715321,0.37396622072885133,0.29768610051056993,0.21427246273378842
0.2654676297970582,0.3708696586626588,,0.054038926486100536,0.8244186569936574,0.175581342773512,1.3862943649291992,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,8,0.0,2.8787841796875,0.009741403146108496,0.09931269167282153,0.11012331419624388,0.7750233416445553,0.2249766591412481,0.20085465144802583,0.23122331433114596,0.5328753921203315,0.14693827973678708,0.24935716067557223,-0.06014222605153918,0.7737739949952811,0.10588912520324811,0.0015354508291895996,1.014463834813796,0.2583201687957626,4.0,0.0737969710098696,0.2875665300525725,0.5858792133512907,0.9875176138011739,0.05275728360720677,1.0,0.09359281991783064,0.34570372372400016,0.2768349983962253,0.11866356710379478,0.11651620586053468,-0.08740224041684996,2.599971587769687,2.4976771576330066,0.0,0.0,0.7984316438669339,0.07632270845351741,0.10427363315830007,0.11591143696568906,0.7034922242164612,0.14046408887952566,0.13080768787767738,0.6253731115721166,0.10335511266021058,0.43812162248650566,0.13586939011292998,0.42600895586656407,0.20883497831528075,0.7258241013623774,0.1655311087379232,0.08440206473460421,0.024242720668553375,0.054116008526762016,extension,0.9122162144631147,0.07109211686474737,0.25337425325415097,,0.2730006780720273,0.3708696586626588,0.28770982307226706,0.2042812417494133
