best_validation_mse,epoch,learning_rate,stage,train_loss,validation_mae,validation_mse
0.6499681185398783,1,0.0001,backbone,0.46728251921013,0.562908003727595,0.6499681185398783
0.5796780188878378,2,0.0001,backbone,0.41320446389727294,0.5254384836270696,0.5796780188878378
0.5507950491848446,3,0.0001,backbone,0.39577131043188274,0.508739594902311,0.5507950491848446
0.5392103319366773,4,0.0001,backbone,0.38756595295853913,0.5003282885466304,0.5392103319366773
0.5302705606889158,5,0.0001,backbone,0.382354331901297,0.4951773072992052,0.5302705606889158
0.524470047226974,6,0.0001,backbone,0.3784979614429176,0.4912617075301352,0.524470047226974
0.5242918798966067,7,0.0001,backbone,0.37603288353420794,0.4877889873016448,0.5242918798966067
0.5202544147060031,8,0.0001,backbone,0.3739940484520048,0.4856660873407409,0.5202544147060031
0.517195150965736,9,0.0001,backbone,0.372370631666854,0.48439327379067737,0.517195150965736
0.5159580704002154,10,0.0001,backbone,0.3712413441389799,0.4830003363035974,0.5159580704002154
0.5161123882446971,1,0.0001,model,0.370109970215708,0.48305395600341616,0.5161123882446971
0.5155048599200589,2,0.0001,model,0.36979105474893004,0.4825207952942167,0.5155048599200589
0.5148751418150607,3,0.0001,model,0.3695309907197952,0.48196167889095487,0.5148751418150607
0.5141134104203611,4,0.0001,model,0.36922862473875284,0.4807139663469224,0.5141134104203611
0.5140726894495034,5,0.0001,model,0.36908259987831116,0.48143566861039117,0.5140726894495034
0.513805783930279,6,0.0001,model,0.36890137707814574,0.4811848763908659,0.513805783930279
0.5132783475731101,7,0.0001,model,0.36884855828247964,0.4800594402920632,0.5132783475731101
0.5130919731621232,8,0.0001,model,0.3685554335825145,0.4793026110246068,0.5130919731621232
0.5130712473321528,9,0.0001,model,0.3684033767785877,0.48024423065639676,0.5130712473321528
0.5123919008211011,10,0.0001,model,0.36809356743469834,0.47886088738838833,0.5123919008211011
