base_mse,best_validation_mse,best_validation_nll,between_component_variance,continuation_field_weight,continuation_linear_weight,continuation_process_entropy,continuation_process_information_bits,continuation_process_weight_0,continuation_process_weight_1,continuation_process_weight_2,continuation_process_weight_3,cross_effective_ratio,cross_effective_ratio_max,cross_exact_spectral_norm,cross_gate,cross_spectral_norm,epoch,fenchel_primal,inducing_minimum_gap,latent_reconstruction_mse,latent_reconstruction_ratio,latent_variance_gain,mixture_base_weight,mixture_latent_weight,mixture_nll,mixture_routing_information_bits,mixture_weight_entropy,observation_noise_std,point_mse,point_regret,posterior_future_variance,posterior_past_variance,predictive_mean,predictive_second_moment,predictive_variance,process_axis_size_at_field_exit,process_energy_entropy,process_energy_innovation,process_energy_load_daily,process_energy_load_weekly,process_energy_thermal,process_fusion_after_future_decode,process_future_variance_innovation,process_future_variance_load_daily,process_future_variance_load_weekly,process_future_variance_thermal,process_signal_reconstruction_ratio,representation_gaussian_nll,representation_objective,representation_trace_correction,sample_dual_norm,selected_reference_only,sensor_group_electrical_load_process_0,sensor_group_electrical_load_process_1,sensor_group_electrical_load_process_2,sensor_group_electrical_load_process_3,sensor_group_entropy,sensor_group_mass_electrical_load,sensor_group_mass_oil_temperature,sensor_group_oil_temperature_process_0,sensor_group_oil_temperature_process_1,sensor_group_oil_temperature_process_2,sensor_group_oil_temperature_process_3,sensor_group_prior_kl,soft_miscoverage_90,stage,standardized_error_second_moment,structural_reconstruction_ratio,total,train_nll,validation_mae,validation_mse,validation_nll,within_component_variance
,,0.29816228108635795,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reference,,,,0.2943691867258167,,,0.29816228108635795,
,,0.2664579819732656,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reference,,,,0.20928457754780538,,,0.2664579819732656,
0.15566165308700874,0.12617006909752648,,0.00719638235864295,0.6588349379599094,0.34116506529971957,1.3862943649291992,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,1,0.0,5.391412056982517,0.01960979972500354,0.18583735753782094,0.13100045477040112,0.9817837891168892,0.018216210533864796,0.1730972448385728,0.869186295196414,0.09067314211279154,0.10406778642209247,0.15548360062530264,-0.0013931826688349247,0.5664540566504002,0.11538359906990081,0.02294635473208473,0.9781239023432136,0.0951984561397694,4.0,0.9378499332815409,0.23199023120105267,0.6141470498405397,0.12946784094674513,0.024394880470936187,1.0,0.16312260553240776,0.32205865578725934,0.15107223845552653,0.07156444038264453,0.20514964719768614,0.03473803185579527,1.514796119183302,1.2694702446460724,0.0,0.0,0.4897569199092686,0.27554800803773105,0.051015129167353734,0.1836799377342686,0.0,0.8571429252624512,0.1428571492433548,0.16695488267578185,0.0719859751407057,0.6685392553918064,0.09251988760661334,0.0,0.10425315742031671,extension,1.4121859781444073,0.0054381874195996716,0.1604603425366804,,0.24754888978269365,0.12617006909752648,0.25851488711001974,0.08800207450985909
0.15566165221389383,0.1256989390840606,,0.03247066841140622,0.7124231839552522,0.2875768168596551,1.3862943649291992,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,2,0.0,5.109653297811747,0.013743872827035375,0.15166418883018196,0.14557589602191,0.9540719478391111,0.04592805297579616,0.0313982093116465,0.7359794313088059,0.1830051087308675,0.11113711848156527,0.154437676013913,-0.006948076654225588,0.5264383172616363,0.10905543190892786,0.020161124737114733,1.0042556554544717,0.11998318549012765,4.0,0.8880338123999536,0.19281829870305955,0.6582771260291338,0.12368583225179464,0.025218741538992617,1.0,0.13314600120065734,0.3138248051982373,0.15178095339797437,0.07281851710285991,0.19520944415125996,-0.26225009001791477,0.88223060593009,0.9327797363512218,0.0,0.0,0.5059817617293447,0.28454701020382345,0.05247393294121139,0.15699729230254889,0.0,0.8571429252624512,0.1428571492433548,0.14952764322515577,0.0740023895050399,0.6967922602780163,0.07967771141557023,0.0,0.08934588756528683,extension,1.244476804509759,0.01649151575838914,0.15594787144800648,,0.2472409343435651,0.1256989390840606,0.21810995494403565,0.08751251810463145
0.1556616512243636,0.1251288042182014,,0.029456892720190808,0.6907624108716846,0.30923758656717837,1.3862943649291992,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,3,0.0,4.969779551029205,0.012238599054398946,0.14142031187657267,0.1660907028708607,0.8854907201603055,0.11450927704572678,-0.20491599198430777,0.4903155183419585,0.35328635782934725,0.11704995424952358,0.15271517005749047,-0.015567056834697723,0.5005887302104384,0.10438713623443618,0.01665311421493243,1.0070294700562954,0.12240627536084503,4.0,0.8361559542827308,0.15826988901244476,0.6959250452928245,0.12013422907330096,0.025670837552752346,1.0,0.11354515247512609,0.30890447413548827,0.1527631909120828,0.07209720113314688,0.19768512540031224,-0.3468160011107102,0.6100410197395831,0.7402760037221014,0.0,0.0,0.5193880600854754,0.29005173640325665,0.05167144860024564,0.13888875441625714,0.0,0.8571429252624512,0.1428571492433548,0.14257745805662125,0.07501651806524023,0.7117006019689143,0.07070542307337746,0.0,0.08582868429948576,extension,1.1718979482538998,0.01889589112397516,0.1492268912261352,,0.2469591855529755,0.1251288042182014,0.20056297950213775,0.09294938197126612
0.15566165267955512,0.1251288042182014,,0.031536923204839695,0.6966351186856627,0.30336488294415176,1.3862943649291992,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,4,0.0,4.9399314522743225,0.012301241695240606,0.13804194884141907,0.18571271712426096,0.845888951793313,0.15411104599479586,-0.23912070740698255,0.38350036670453846,0.42732498119585216,0.12189014250179753,0.1500237049185671,-0.02579770376905799,0.4870702363550663,0.1012762786122039,0.01717398650441737,1.009399229194969,0.1271263438393362,4.0,0.7972560967318714,0.1353287985548377,0.7199472817592323,0.11972229846287519,0.02500162117939908,1.0,0.10208640608470887,0.3047531123738736,0.15651968924794346,0.06974488933337852,0.20390059507917613,-0.35312751412857324,0.5048745416570455,0.6297415266744792,0.0,0.0,0.526577724609524,0.2964342802297324,0.049068280204664916,0.12791971454862505,0.0,0.8571429252624512,0.1428571492433548,0.13907009095419198,0.07658886356512085,0.7179881944321096,0.0663528527948074,0.0,0.08313904353417456,extension,1.1343364715576172,0.024359934352105483,0.14574616562458687,,0.2481290146945015,0.126555540731975,0.200971064613744,0.09558941912837327
0.15566165233030915,0.1251288042182014,,0.041467022558208555,0.7167787374928594,0.28322126099374145,1.3862943649291992,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,5,0.0,4.909360468387604,0.012348711738013662,0.13550838531227782,0.20636354270391166,0.7802702342160046,0.2197297610109672,-0.2786352569291921,0.24660755437798798,0.522211849456653,0.1259572654380463,0.14434266329044476,-0.05044248979538679,0.4837585431523621,0.10000933439005166,0.0193113627465209,1.0223359260708094,0.13573430821998045,4.0,0.7619189801625907,0.11794379574712366,0.7392581538297236,0.11887266725534573,0.023925378169224132,1.0,0.09396774502238259,0.3081623073667288,0.16066628403495997,0.0681371160899289,0.20918249478563666,-0.3549036493059248,0.44549437635578215,0.5590061047114432,0.0,0.0,0.5348183703608811,0.2984858602285385,0.0469980631605722,0.11969770141877234,0.0,0.8571429252624512,0.1428571492433548,0.1425133862067014,0.08059319527819753,0.7120521133765578,0.0648413056624122,0.0,0.08306304816505872,extension,1.1231490229256451,0.03220942599000409,0.13921545221819542,,0.24680442445807987,0.12581878179122533,0.1861913406852788,0.09426728531252593
0.1556616534362547,0.1251288042182014,,0.042358270766271744,0.7423521620221436,0.2576478406554088,1.3862943649291992,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,6,0.0,4.892087399959564,0.012775286340911407,0.13494342373451218,0.2232889444567263,0.7512898240238428,0.24871017562691122,-0.2974037454750942,0.1993676135316491,0.554956081090495,0.12964942341204733,0.1408995051169768,-0.06414891313761473,0.4823369241785258,0.09915040072519332,0.018642669493601716,1.0215493692085147,0.14029665233101696,4.0,0.7354468652047217,0.10815799585543573,0.7529419255442917,0.11606940836645663,0.02283067108510295,1.0,0.08955908962525427,0.3117745036724955,0.1620568245416507,0.06627047737129033,0.21829921298194677,-0.3410188197158277,0.43289945367723703,0.5122815927024931,0.0,0.0,0.5413300367072225,0.2984663820825517,0.0450117631116882,0.11519181553740054,0.0,0.8571429252624512,0.1428571492433548,0.14614499337039888,0.08385284268297255,0.7057714578695595,0.0642307085217908,0.0,0.08100703376112506,extension,1.1443862030282617,0.04333746795600746,0.13538432930363342,,0.2498810395361885,0.12771132659344447,0.1919554715277627,0.09793838154291734
0.1556616525631398,0.1251288042182014,,0.05123917252058163,0.7499162792228162,0.25008372182492167,1.3862943649291992,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,7,0.0,4.811785161495209,0.012878629793704022,0.13339194987202063,0.23625683854334056,0.7046284009702504,0.29537160135805607,-0.3194559494040732,0.13539224755368195,0.5993004268966615,0.13179010665044188,0.1322069801390171,-0.10382731398567557,0.48221286945044994,0.09863488399423659,0.018546550485666558,1.0307760927826166,0.15111376222921535,4.0,0.7194584254175425,0.1017800759873353,0.7607079683803022,0.11534726992249489,0.022164686484757112,1.0,0.08722455723909661,0.3121310437563807,0.16457849054131657,0.06514772196533158,0.22446278494317085,-0.3375400616787374,0.4248908283188939,0.4872137224301696,0.0,0.0,0.5420104768127203,0.3015209340956062,0.04375410621287301,0.11271448287880048,0.0,0.8571429252624512,0.1428571492433548,0.14789754804223776,0.08560095523716882,0.7023538341745734,0.06414766050875187,0.0,0.07730298832757398,extension,1.125010155607015,0.050754383293678984,0.12624275157577358,,0.2526206341054704,0.13097372615621203,0.19621140426412845,0.09987458784598857
0.15566165186464787,0.1251288042182014,,0.05843952001305297,0.7561260196380317,0.24387397966347635,1.3862943649291992,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,8,0.0,4.7431594133377075,0.012752890164847486,0.13116601738147438,0.24705071630887687,0.6700592678971589,0.32994073373265564,-0.3406736511124109,0.09762076020706445,0.6254816264845431,0.13245666364673525,0.12560815375763923,-0.13788884924724698,0.4847083028871566,0.09841630881419405,0.017195318067138032,1.0443917110096663,0.1609213234623894,4.0,0.7094617672264576,0.09741524694254622,0.7654538117349148,0.11542636738158762,0.021704572460294003,1.0,0.08558531722519547,0.31565912952646613,0.16577345540281385,0.06433075858512893,0.22682679642457515,-0.3402098930673674,0.421129125286825,0.4789972179569304,0.0,0.0,0.545158083550632,0.3013525640126318,0.042724829545477405,0.11076452536508441,0.0,0.8571429252624512,0.1428571492433548,0.14877259521745145,0.08694766566623002,0.6999147590249777,0.06436497601680458,0.0,0.07529916582279839,extension,1.132735916879028,0.055515005835331976,0.11921581049682572,,0.251395691718374,0.1300281234203823,0.18448945703494246,0.10248180310009047
0.15566165215568617,0.1251288042182014,,0.059271052334224805,0.7487710206769407,0.25122897524852306,1.3862943649291992,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,9,0.0,4.745208501815796,0.013215433311415836,0.1325657733832486,0.2534379833377898,0.6335764531977475,0.3664235428441316,-0.35704645163787063,0.06824815356230829,0.6458411663770676,0.13298677850980312,0.11885511624859646,-0.18230540584772825,0.48564180731773376,0.09852304239757359,0.017571850365584396,1.0511884849984199,0.16444038198096678,4.0,0.7111697406508029,0.09763942885911092,0.7643056376837194,0.11686738196294755,0.021187556398217566,1.0,0.08588737162062898,0.31456238636747,0.16781476396135986,0.06367949570994824,0.22572878981009126,-0.32416661852039397,0.43435963382944465,0.47554965619929135,0.0,0.0,0.543082223739475,0.3036405339371413,0.04207194232731126,0.11120530311018229,0.0,0.8571429252624512,0.1428571492433548,0.14937485859263688,0.0888619851320982,0.6979151829145849,0.06384797464124858,0.0,0.0729150866100099,extension,1.16287428047508,0.05724780750460923,0.11214854702120647,,0.2602695472656734,0.13937912018053114,0.20216162284971992,0.10516932921018451
0.15566165262134746,0.1251288042182014,,0.06048104340879945,0.7370465891435742,0.26295341295190156,1.3862943649291992,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,10,0.0,4.760902106761932,0.013451003636873793,0.13329739059554413,0.25637481664307415,0.6084099733270705,0.3915900248102844,-0.3717512144212378,0.04707228290499188,0.6605191617272794,0.13329698354937136,0.11468590429285541,-0.2097406485117972,0.4848133211489767,0.09854562266264111,0.013528362250781356,1.0536760343238711,0.16757731995312497,4.0,0.7136161029338837,0.09704455110477284,0.762837266549468,0.11900325500755571,0.021114925479196245,1.0,0.08551546017406508,0.31192688667215407,0.17004556360188872,0.06346258270787075,0.23126283357851207,-0.3177145292283967,0.44702437380328774,0.47057517291978,0.0,0.0,0.5403861491940916,0.3071139531675726,0.04170611861627549,0.11079378076829016,0.0,0.8571429252624512,0.1428571492433548,0.14919865981210023,0.0895455835852772,0.6972089819610119,0.06404677435057238,0.0,0.07049289374845102,extension,1.1349279386922717,0.06290089784306474,0.10769790518679656,,0.253383885536875,0.13299059974295752,0.19030588593886932,0.10709627799224108
