best_validation_mse,epoch,learning_rate,stage,train_loss,validation_mae,validation_mse
0.6119169564605905,1,0.0001,model,0.5761916227056645,0.42217462105772635,0.6119169564605905
0.5605417747232034,2,0.0001,model,0.430328831251245,0.38616342632010053,0.5605417747232034
0.5368104686448356,3,0.0001,model,0.3999631332117133,0.36893065860028845,0.5368104686448356
0.5234469546624777,4,0.0001,model,0.385520386043936,0.3588195468243835,0.5234469546624777
0.5147914526120376,5,0.0001,model,0.3773241041926667,0.35192348769772397,0.5147914526120376
0.5100669527880962,6,0.0001,model,0.3721190433134325,0.3480763918470248,0.5100669527880962
0.5059244999660601,7,0.0001,model,0.3688742534723133,0.3441812231611539,0.5059244999660601
0.5038656495629247,8,0.0001,model,0.36652301537105814,0.34188871243529234,0.5038656495629247
0.5025779312980094,9,0.0001,model,0.3649024259648286,0.34088742679001255,0.5025779312980094
0.5011778809249553,10,0.0001,model,0.3637393208919093,0.33932668171512687,0.5011778809249553
