best_validation_mse,epoch,learning_rate,stage,train_loss,validation_mae,validation_mse
0.5718285982127532,1,0.0001,backbone,0.5207593513478059,0.39723195281954393,0.5718285982127532
0.531324756486602,2,0.0001,backbone,0.40209166824934073,0.36778639170520544,0.531324756486602
0.5142365923613794,3,0.0001,backbone,0.38046270003542304,0.3545125528351798,0.5142365923613794
0.5073739325271867,4,0.0001,backbone,0.37104297350742854,0.3487008455089147,0.5073739325271867
0.5017933592903273,5,0.0001,backbone,0.3662626742734574,0.3435492058272336,0.5017933592903273
0.5000355011349211,6,0.0001,backbone,0.3635496433416847,0.3419658303813979,0.5000355011349211
0.49663766838281725,7,0.0001,backbone,0.3619392817345215,0.33863796181947986,0.49663766838281725
0.4954308310130356,8,0.0001,backbone,0.3607772000832483,0.3370313026235718,0.4954308310130356
0.4954308310130356,9,0.0001,backbone,0.3600096048467094,0.3375594257294256,0.4962399370524649
0.49538586569311815,10,0.0001,backbone,0.3594080817565555,0.3367550884303619,0.49538586569311815
0.4658074420455437,1,0.0001,model,0.3471347645390779,0.31722221688899715,0.4658074420455437
0.4414245446154247,2,0.0001,model,0.31797756932792254,0.30389692146282093,0.4414245446154247
0.43184217425712945,3,0.0001,model,0.3022387882519979,0.2956802154453983,0.43184217425712945
0.4315289375584714,4,0.0001,model,0.2914741198765114,0.29121908188234996,0.4315289375584714
0.4315289375584714,5,0.0001,model,0.28291177180653904,0.28973013337785114,0.4430893152053284
0.4315289375584714,6,0.0001,model,0.2785594919259893,0.2875253628227753,0.44370666236169376
0.4315289375584714,7,0.0001,model,0.27380364858254325,0.28046504499740776,0.4360637358243578
