best_validation_mse,epoch,learning_rate,stage,train_loss,validation_mae,validation_mse
0.19057331074561393,1,4.877641290737884e-05,model,0.4039166389266029,0.307866965730985,0.19057331074561393
0.1837608116191058,2,4.522542485937368e-05,model,0.372103106463328,0.3009964135431108,0.1837608116191058
0.18090019135602883,3,3.969463130731183e-05,model,0.3601966061978601,0.2982735970900172,0.18090019135602883
0.17914293032316936,4,3.2725424859373684e-05,model,0.3538597725564614,0.2963702730124905,0.17914293032316936
0.17854124396329835,5,2.4999999999999998e-05,model,0.3495414712233469,0.29577751812480746,0.17854124396329835
0.17710976621934346,6,1.7274575140626315e-05,model,0.346051522763446,0.2941867320665291,0.17710976621934346
0.17632763185316608,7,1.0305368692688173e-05,model,0.34376811829861253,0.2933128089422271,0.17632763185316608
0.17630145734264738,8,4.774575140626316e-06,model,0.34228830598294735,0.293269570207312,0.17630145734264738
0.17623810416885785,9,1.2235870926211614e-06,model,0.341592512850184,0.2931879849306175,0.17623810416885785
0.17623810416885785,10,0.0,model,0.34090672683669254,0.29326883898604483,0.17629688712103025
