base_mse,best_validation_mse,best_validation_nll,between_component_variance,continuation_field_weight,continuation_linear_weight,continuation_process_entropy,continuation_process_information_bits,continuation_process_weight_0,continuation_process_weight_1,continuation_process_weight_2,continuation_process_weight_3,continuation_process_weight_4,continuation_process_weight_5,cross_effective_ratio,cross_effective_ratio_max,cross_exact_spectral_norm,cross_gate,cross_spectral_norm,epoch,fenchel_primal,inducing_minimum_gap,latent_reconstruction_mse,latent_reconstruction_ratio,latent_variance_gain,mixture_base_weight,mixture_latent_weight,mixture_nll,mixture_routing_information_bits,mixture_weight_entropy,observation_noise_std,point_mse,point_regret,posterior_future_variance,posterior_past_variance,predictive_mean,predictive_second_moment,predictive_variance,process_axis_size_at_field_exit,process_energy_entropy,process_energy_humidity,process_energy_precipitation,process_energy_slow_state,process_energy_solar_daily,process_energy_thermodynamic,process_energy_wind,process_fusion_after_future_decode,process_future_variance_humidity,process_future_variance_precipitation,process_future_variance_slow_state,process_future_variance_solar_daily,process_future_variance_thermodynamic,process_future_variance_wind,process_signal_reconstruction_ratio,representation_gaussian_nll,representation_objective,representation_trace_correction,sample_dual_norm,selected_reference_only,sensor_group_atmospheric_composition_process_0,sensor_group_atmospheric_composition_process_1,sensor_group_atmospheric_composition_process_2,sensor_group_atmospheric_composition_process_3,sensor_group_atmospheric_composition_process_4,sensor_group_atmospheric_composition_process_5,sensor_group_entropy,sensor_group_humidity_process_0,sensor_group_humidity_process_1,sensor_group_humidity_process_2,sensor_group_humidity_process_3,sensor_group_humidity_process_4,sensor_group_humidity_process_5,sensor_group_mass_atmospheric_composition,sensor_group_mass_humidity,sensor_group_mass_precipitation,sensor_group_mass_pressure_density,sensor_group_mass_radiation,sensor_group_mass_thermodynamic,sensor_group_mass_wind,sensor_group_precipitation_process_0,sensor_group_precipitation_process_1,sensor_group_precipitation_process_2,sensor_group_precipitation_process_3,sensor_group_precipitation_process_4,sensor_group_precipitation_process_5,sensor_group_pressure_density_process_0,sensor_group_pressure_density_process_1,sensor_group_pressure_density_process_2,sensor_group_pressure_density_process_3,sensor_group_pressure_density_process_4,sensor_group_pressure_density_process_5,sensor_group_prior_kl,sensor_group_radiation_process_0,sensor_group_radiation_process_1,sensor_group_radiation_process_2,sensor_group_radiation_process_3,sensor_group_radiation_process_4,sensor_group_radiation_process_5,sensor_group_thermodynamic_process_0,sensor_group_thermodynamic_process_1,sensor_group_thermodynamic_process_2,sensor_group_thermodynamic_process_3,sensor_group_thermodynamic_process_4,sensor_group_thermodynamic_process_5,sensor_group_wind_process_0,sensor_group_wind_process_1,sensor_group_wind_process_2,sensor_group_wind_process_3,sensor_group_wind_process_4,sensor_group_wind_process_5,soft_miscoverage_90,stage,standardized_error_second_moment,structural_reconstruction_ratio,total,train_nll,validation_mae,validation_mse,validation_nll,within_component_variance
,,0.9712382294237614,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reference,,,,0.889379199128598,,,0.9712382294237614,
,,0.9308891780674458,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reference,,,,0.85011240048334,,,0.9308891780674458,
0.5831939857453108,0.7119335914625272,,0.0542007057219962,0.7825627876445651,0.217437211307697,1.7917596101760864,-1.7198264856688183e-07,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.0,0.0,0.0,0.0,0.0,1,0.0,2.8787841796875,0.003921331690435181,0.06494874143390916,0.1319697753060609,0.9790060357190669,0.020993957194150425,0.8153742295689881,0.8532994231209159,0.10168508830247447,0.09933166013797745,0.5805621272884309,-0.004621170926839113,0.897876987233758,0.0011283384419584763,-0.03508784678433585,0.9830790036357939,0.36258444329723716,6.0,5.869232514416667e-15,2.3195219478138668e-17,1.9459349660510242e-16,4.195096046653357e-17,1.0,3.725240483426104e-17,2.1629825340698326e-17,1.0,1.000000171558213e-08,1.000000171558213e-08,1.000000171558213e-08,0.8978770370595157,1.000000171558213e-08,1.000000171558213e-08,0.06618803655146621,-0.7438500192947686,-0.4499109780881554,0.2264314800268039,0.0,0.0,1.0,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,0.0,1.0,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,0.0476190485060215,0.2857142984867096,0.095238097012043,0.095238097012043,0.1428571492433548,0.190476194024086,0.1428571492433548,1.0,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,1.0,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,0.0,1.0,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,1.0,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,1.0,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,0.11146033642580733,extension,2.116335028782487,0.0013195279278566119,0.5968696109484881,,0.4826821907487496,0.7132106579170026,0.9057593333224455,0.30838373489677906
0.5831939848139882,0.7109109437865134,,0.3023903266293928,0.8623872301541269,0.1376127670519054,1.7917596101760864,-1.7198264856688183e-07,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.0,0.0,0.0,0.0,0.0,2,0.0,2.8787841796875,0.004163431567576481,0.06336197120253928,0.14695704344194382,0.9692236962728202,0.030776306652114727,0.7775375018827617,0.8018952417187393,0.13731574930716306,0.09433382202405483,0.5731098984833807,-0.016630989965051413,0.9451591856777668,0.0011440446760389023,-0.03166497445272398,1.237624088767916,0.6122308785561472,6.0,6.3838164582009975e-15,2.6923417140009467e-17,2.0570935409359888e-16,4.850217940011102e-17,1.0,4.312125966845317e-17,2.230081692158257e-17,1.0,1.000000171558213e-08,1.000000171558213e-08,1.000000171558213e-08,0.9451592373661697,1.000000171558213e-08,1.000000171558213e-08,0.07255535022704862,-0.7333936761133373,-0.38212811457924545,0.2652866970747709,0.0,0.0,1.0,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,0.0,1.0,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,0.0476190485060215,0.2857142984867096,0.095238097012043,0.095238097012043,0.1428571492433548,0.190476194024086,0.1428571492433548,1.0,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,1.0,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,0.0,1.0,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,1.0,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,1.0,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,0.09138919849647209,extension,2.1825536703690886,0.013423513391899178,0.5886606457643211,,0.4816799527122861,0.7109109437865134,0.8291341165701548,0.30984054133296013
0.5831939838826656,0.7109109437865134,,0.35684466460952535,0.8934959936887026,0.10650400375016034,1.7917596101760864,-1.7198264856688183e-07,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.0,0.0,0.0,0.0,0.0,3,0.0,2.8787841796875,0.00420842911262298,0.0620669309864752,0.16939368029125035,0.958299080375582,0.04170092273852788,0.608972143381834,0.750495919957757,0.1729430468985811,0.09023538453038782,0.567152189090848,-0.026894670445472002,0.9868215736933053,0.0011613171618591878,-0.03234513852294185,1.3143506785854697,0.688668676186353,6.0,6.893571569723427e-15,3.148680679437519e-17,2.1350170296824112e-16,5.63450506829598e-17,1.0,5.0178325512323215e-17,2.2718119834168072e-17,1.0,1.000000171558213e-08,1.000000171558213e-08,1.000000171558213e-08,0.9868216216564178,1.000000171558213e-08,1.000000171558213e-08,0.08187116065528244,-0.7296071397140622,-0.31422617728821933,0.3036996559239924,0.0,0.0,1.0,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,0.0,1.0,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,0.0476190485060215,0.2857142984867096,0.095238097012043,0.095238097012043,0.1428571492433548,0.190476194024086,0.1428571492433548,1.0,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,1.0,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,0.0,1.0,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,1.0,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,1.0,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,0.0777147255721502,extension,2.24313234584406,0.02981014492979739,0.5793316308408976,,0.4850453297717651,0.7205315571403167,0.513581509857128,0.3318240095395595
0.5831939822528511,0.7109109437865134,,0.3171033403777983,0.8915587901137769,0.10844120988622308,1.7917596101760864,-1.7198264856688183e-07,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.0,0.0,0.0,0.0,0.0,4,0.0,2.8787841796875,0.004299371001252439,0.0631378477846738,0.19356174382846802,0.9440863532945514,0.055913648015121,0.46742896805517375,0.6895703133195639,0.21517345728352666,0.08934604318346828,0.5644503198564053,-0.03251328133046627,1.011671676300466,0.0011789928403231897,-0.03447708545445494,1.286276767961681,0.6626332104206085,6.0,6.9950080995835394e-15,3.262266887765647e-17,2.1422022182680673e-16,5.830687567845955e-17,1.0,5.1944242072596973e-17,2.2642665905031148e-17,1.0,1.000000171558213e-08,1.000000171558213e-08,1.000000171558213e-08,1.0116717033088207,1.000000171558213e-08,1.000000171558213e-08,0.08241728928987868,-0.7218916858546436,-0.2849022300215438,0.3176224445924163,0.0,0.0,1.0,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,0.0,1.0,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,0.0476190485060215,0.2857142984867096,0.095238097012043,0.095238097012043,0.1428571492433548,0.190476194024086,0.1428571492433548,1.0,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,1.0,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,0.0,1.0,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,1.0,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,1.0,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,0.07548992207739502,extension,2.4530051173642278,0.036949720699340105,0.5737988997716457,,0.4836053252850891,0.7170631502881463,0.47835675968478125,0.3455298605840653
0.5831939862109721,0.7109109437865134,,0.34628947207238525,0.9105200860649347,0.08947991317836568,1.7917596101760864,-1.7198264856688183e-07,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.0,0.0,0.0,0.0,0.0,5,0.0,2.8787841796875,0.004333936807597638,0.06343036939506419,0.21516157849691808,0.9289275854825974,0.071072414284572,0.4411763802636415,0.6307063698768616,0.2559748347848654,0.0888087775092572,0.553698691772297,-0.05098065081983805,1.0268411207944155,0.0011890913256138447,-0.027900621905246226,1.3279415890574455,0.7025609598495066,6.0,7.077957328041549e-15,3.3102638922363153e-17,2.1644288560104604e-16,5.919012228273869e-17,1.0,5.2728509201205603e-17,2.277556399926758e-17,1.0,1.000000171558213e-08,1.000000171558213e-08,1.000000171558213e-08,1.026841158978641,1.000000171558213e-08,1.000000171558213e-08,0.09338983712950721,-0.7185183372348547,-0.24322815431514755,0.3262145263142884,0.0,0.0,1.0,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,0.0,1.0,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,0.0476190485060215,0.2857142984867096,0.095238097012043,0.095238097012043,0.1428571492433548,0.190476194024086,0.1428571492433548,1.0,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,1.0,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,0.0,1.0,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,1.0,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,1.0,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,0.06617625450599007,extension,2.661264438647777,0.05568581959232688,0.5625222194939852,,0.48991371100962267,0.7295214927175478,0.44214139847705763,0.35627148393541574
0.5831939829513431,0.7109109437865134,,0.372309198603034,0.9180748639628291,0.08192513324320316,1.7917596101760864,-1.7198264856688183e-07,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.0,0.0,0.0,0.0,0.0,6,0.0,2.8787841796875,0.004473377077374607,0.06517224942217581,0.23843663360457867,0.9076477903872728,0.09235220798291266,0.41029714443720877,0.5568343764171004,0.30717899929732084,0.0871893972507678,0.5442174475174397,-0.0672899391502142,1.0502302832901478,0.0012005361313640606,-0.02840012127103364,1.369665496982634,0.7475815447978675,6.0,7.443418249490673e-15,3.5395428729564537e-17,2.255318258169996e-16,6.326900168542353e-17,1.0,5.637272949042432e-17,2.3510445924990865e-17,1.0,1.000000171558213e-08,1.000000171558213e-08,1.000000171558213e-08,1.0502303410321474,1.000000171558213e-08,1.000000171558213e-08,0.09515754604944959,-0.7079638610593975,-0.19572526239790022,0.34620650857686996,0.0,0.0,1.0,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,0.0,1.0,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,0.0476190485060215,0.2857142984867096,0.095238097012043,0.095238097012043,0.1428571492433548,0.190476194024086,0.1428571492433548,1.0,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,1.0,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,0.0,1.0,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,1.0,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,1.0,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,0.06207409070339054,extension,3.0224877116270363,0.07087454368593171,0.5524233898613602,,0.48657896859305244,0.72070690605796,0.41117287590168417,0.3752723520155996
0.5831939862109721,0.7109109437865134,,0.3437736622290686,0.9184015323407948,0.08159846923081204,1.7917596101760864,-1.7198264856688183e-07,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.0,0.0,0.0,0.0,0.0,7,0.0,2.8787841796875,0.004809395486518042,0.06999871283187531,0.2603047883603722,0.8798103951849043,0.12018960964633152,0.3763482094509527,0.4709604806266725,0.3667022492736578,0.08677791431546211,0.5346252624876797,-0.0854766252450645,1.0642774887382984,0.001211511554174649,-0.025726402540840354,1.3761570076458156,0.7543293349444866,6.0,7.60620800284604e-15,3.671753675746612e-17,2.2854460268957976e-16,6.552747732662983e-17,1.0,5.840704113725801e-17,2.3720107000457677e-17,1.0,1.000000171558213e-08,1.000000171558213e-08,1.000000171558213e-08,1.0642775492742658,1.000000171558213e-08,1.000000171558213e-08,0.10199522174661979,-0.6835288959555328,-0.12224820622941479,0.35445621074177325,0.0,0.0,1.0,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,0.0,1.0,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,0.0476190485060215,0.2857142984867096,0.095238097012043,0.095238097012043,0.1428571492433548,0.190476194024086,0.1428571492433548,1.0,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,1.0,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,0.0,1.0,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,1.0,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,1.0,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,0.056715097394771874,extension,3.5269618495367467,0.10482925741234794,0.5421522257383913,,0.48945253631215035,0.7277223240551284,0.3866246908631486,0.41055566538125277
0.5831939806230366,0.7109109437865134,,0.31898068147711456,0.9193724845536053,0.0806275163195096,1.7917596101760864,-1.7198264856688183e-07,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.0,0.0,0.0,0.0,0.0,8,0.0,2.8787841796875,0.005139461618455243,0.07448122723144479,0.2783095915801823,0.8526869802735746,0.14731302321888506,0.3473474846687168,0.3978826047386974,0.4173559723421931,0.0859649827471003,0.5270666249562055,-0.09873114293441176,1.0784279480576515,0.001220291333993373,-0.026086142695930903,1.3926091259345412,0.7711471999064088,6.0,7.867969479742013e-15,3.8630804170132775e-17,2.3411402360917456e-16,6.883576474446323e-17,1.0,6.137884016730126e-17,2.4167526628568045e-17,1.0,1.000000171558213e-08,1.000000171558213e-08,1.000000171558213e-08,1.078427997417748,1.000000171558213e-08,1.000000171558213e-08,0.11614410014590248,-0.6586377830244601,-0.023162145807873458,0.36636317800730467,0.0,0.0,1.0,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,0.0,1.0,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,0.0476190485060215,0.2857142984867096,0.095238097012043,0.095238097012043,0.1428571492433548,0.190476194024086,0.1428571492433548,1.0,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,1.0,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,0.0,1.0,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,1.0,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,1.0,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,2.061153470123145e-09,0.05434791441075504,extension,4.1667280327528715,0.15296835923800245,0.5340135723818094,,0.4897072174771963,0.7308438444053474,0.3692696945605955,0.45216651470400393
