bank,continuation,dataset,mae_mean,mae_std,mse_mean,mse_std,runs,scale,variant
on,early,ETTm1,0.41530168831951,0.0346195136298215,0.40886419009735303,0.05594890032037223,12,single,scale-single__bank-on__continuation-early
on,early,ETTm2,0.3274736088644801,0.055515983019497665,0.28434403044443074,0.09035309299555923,12,single,scale-single__bank-on__continuation-early
on,early,Electricity,0.2815138006356767,0.02303886295253913,0.1933531944186722,0.02631065129884681,12,single,scale-single__bank-on__continuation-early
on,early,Traffic,0.3148911170557276,0.008599229999067039,0.4762486579771173,0.01986299202149425,12,single,scale-single__bank-on__continuation-early
on,early,Weather,0.2804481276553805,0.05169300087743275,0.2530782203700442,0.07102671835506935,12,single,scale-single__bank-on__continuation-early
on,preserved,ETTh1,0.44178904102595357,0.030010066657110198,0.455526814494751,0.041947108150213644,12,single,scale-single__bank-on__continuation-preserved
on,preserved,ETTh2,0.4015692749865918,0.0411125643895491,0.3803978753638248,0.05618852733703492,12,single,scale-single__bank-on__continuation-preserved
on,preserved,ETTm1,0.41530168831951,0.0346195136298215,0.40886419009735303,0.05594890032037223,12,single,scale-single__bank-on__continuation-preserved
on,preserved,ETTm2,0.32675566865471656,0.05472966765782368,0.28350989390346004,0.089327720502311,12,single,scale-single__bank-on__continuation-preserved
on,preserved,Electricity,0.2817114149915911,0.023427437922407986,0.19384812657710038,0.027318109638865728,12,single,scale-single__bank-on__continuation-preserved
on,preserved,Traffic,0.3148911170557276,0.008599229999067039,0.4762486579771173,0.01986299202149425,12,single,scale-single__bank-on__continuation-preserved
on,preserved,Weather,0.2804481276553805,0.05169300087743275,0.2530782203700442,0.07102671835506935,12,single,scale-single__bank-on__continuation-preserved
