batch_size,best_epoch,best_stage,best_validation_mse,candidate,checkpoint,config_hash,continuation_unfreeze_blocks,cross_process_exchange,dataset,effective_batch_size,elapsed_seconds,enhancement_protocol,experiment,extension_epochs,final_candidate,gradient_clip,head_learning_rate,horizon,inducing_points,inference_ms_batch,latent_dim,learning_rate,mae,max_train_windows,max_validation_windows,model,mse,nll_weight,num_windows,parameters,patch_lens,primal_dual,provenance,reference_epochs,representation_weight,result_path,result_sha256,rmse,seed,selected_config,selection_protocol,seq_len,training_ms_optimizer_step,variant,weight_decay,wide_batch_size
,9,,1.0314762322675615,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/results/final/checkpoints/iTransformer/seed42/ETTh1/h192.pt,,,,ETTh1,,,,,,,,,192,,2.053676924881447,,,0.44066409022341657,,,iTransformer,0.4481602027355473,,2689.0,302400,,,repository-native matched implementation,,,physics_modal_v4/results/final/headline/runs/iTransformer/seed42/ETTh1/h192.json,e1ab8c0ce297023006ca690aac0d3915418d21fff2bb158f8fa51f28481e8155,0.66944768483844,42,,validation MSE only; test evaluated once,,8.790830887301126,,,
16,10,,1.0294003642740703,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/strongest_comparator/checkpoints/iTransformer/seed43/ETTh1/h192.pt,12badc4829f6ab57,,False,ETTh1,16,,strongest-nontimepro-by-dataset-seeds43-46-v1,strongest_comparator,10,latentflow_process_preserving_unfreeze2,5.0,0.001,192,,2.0643820234361185,,0.0007,0.44000378888562247,2048,1024,iTransformer,0.446958477508205,0.02,2689.0,302400,,False,repository-native matched implementation,2,,physics_modal_v4/enhancements/results/strongest_comparator/runs/iTransformer/seed43/ETTh1/h192.json,4de96b2ea6f240c8247b23682fc5076515f3cba2195974de23c15eab05bdad33,0.6685495325764614,43,"{'inducing_points': 32, 'latent_dim': 16, 'patch_lens': [16, 32, 48], 'representation_weight': 0.05}",,96,8.87119995750254,iTransformer,0.0001,4
16,10,,1.028654552641369,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/strongest_comparator/checkpoints/iTransformer/seed44/ETTh1/h192.pt,8ca7ee3b891fa326,,False,ETTh1,16,,strongest-nontimepro-by-dataset-seeds43-46-v1,strongest_comparator,10,latentflow_process_preserving_unfreeze2,5.0,0.001,192,,1.8890870353543614,,0.0007,0.43902163612035927,2048,1024,iTransformer,0.44530861903242647,0.02,2689.0,302400,,False,repository-native matched implementation,2,,physics_modal_v4/enhancements/results/strongest_comparator/runs/iTransformer/seed44/ETTh1/h192.json,f0203dc3c8eef4c1369487a270a3fb0c6825558c1d52030bd02b4429365eaae8,0.6673144828582895,44,"{'inducing_points': 32, 'latent_dim': 16, 'patch_lens': [16, 32, 48], 'representation_weight': 0.05}",,96,8.312142387148924,iTransformer,0.0001,4
16,10,,1.032799970536005,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/strongest_comparator/checkpoints/iTransformer/seed45/ETTh1/h192.pt,362aa35d12af5aa1,,False,ETTh1,16,,strongest-nontimepro-by-dataset-seeds43-46-v1,strongest_comparator,10,latentflow_process_preserving_unfreeze2,5.0,0.001,192,,2.1917602238077,,0.0007,0.4397225044116867,2048,1024,iTransformer,0.44674795913405807,0.02,2689.0,302400,,False,repository-native matched implementation,2,,physics_modal_v4/enhancements/results/strongest_comparator/runs/iTransformer/seed45/ETTh1/h192.json,c79b6cd7784c3d79c77ae149906ee10d23eda82dcaf9fb1e8d67b14ce7fc4a42,0.6683920699215828,45,"{'inducing_points': 32, 'latent_dim': 16, 'patch_lens': [16, 32, 48], 'representation_weight': 0.05}",,96,9.389385707618203,iTransformer,0.0001,4
16,10,,1.0299482601029533,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/strongest_comparator/checkpoints/iTransformer/seed46/ETTh1/h192.pt,51e4da7fc0abd34d,,False,ETTh1,16,,strongest-nontimepro-by-dataset-seeds43-46-v1,strongest_comparator,10,latentflow_process_preserving_unfreeze2,5.0,0.001,192,,2.041363718369639,,0.0007,0.43957114400794234,2048,1024,iTransformer,0.4458276748015465,0.02,2689.0,302400,,False,repository-native matched implementation,2,,physics_modal_v4/enhancements/results/strongest_comparator/runs/iTransformer/seed46/ETTh1/h192.json,80593b62120c73b6c4e7d877b1d3904ab09cfddae767fcd5d240a41dd88db5ff,0.6677032835036432,46,"{'inducing_points': 32, 'latent_dim': 16, 'patch_lens': [16, 32, 48], 'representation_weight': 0.05}",,96,8.7147777172504,iTransformer,0.0001,4
,2,extension,1.0223425460003672,latentflow_process_preserving_unfreeze2,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/results/final/checkpoints/LatentFlow/seed42/ETTh1/h192.pt,,2,False,ETTh1,,148.53247457323596,,,,,,,192,32,30.60323074683101,16,,0.4382346060930079,,,LatentFlow,0.4491692546255481,0.02,2689.0,1535526,16-32-48,False,,,0.05,physics_modal_v4/results/final/headline/runs/LatentFlow/seed42/ETTh1/h192.json,e076a630d8a561e74fec0a827cdef36fa97d6e5f1f4810092f10773f37ae8d81,0.6702009061658661,42,,validation MSE only; test evaluated once,,102.23439767396485,,,
,1,extension,1.0238703198376156,latentflow_process_preserving_unfreeze2,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/results/final/checkpoints/LatentFlow/seed43/ETTh1/h192.pt,,2,False,ETTh1,,140.0709184333682,,,,,,,192,32,29.193845817339636,16,,0.4383906808759351,,,LatentFlow,0.44969086306815714,0.02,2689.0,1535526,16-32-48,False,,,0.05,physics_modal_v4/results/final/headline/runs/LatentFlow/seed43/ETTh1/h192.json,8c30afe4ce93bbb501ef547df042329ccef338ce5f4bbe6f0f5f0581f4caa2ed,0.6705899365992284,43,,validation MSE only; test evaluated once,,98.97498082136735,,,
,1,extension,1.025974528420539,latentflow_process_preserving_unfreeze2,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/results/final/checkpoints/LatentFlow/seed44/ETTh1/h192.pt,,2,False,ETTh1,,144.89135006582364,,,,,,,192,32,29.862601834232223,16,,0.43321985592889645,,,LatentFlow,0.44695659733310056,0.02,2689.0,1535526,16-32-48,False,,,0.05,physics_modal_v4/results/final/headline/runs/LatentFlow/seed44/ETTh1/h192.json,44ddc658a095432490915d1e1b6a57b0c483ffb1ceec50ad7b237a43d03cb55f,0.6685481264150701,44,,validation MSE only; test evaluated once,,102.56517605630506,,,
,2,extension,1.0219778294364612,latentflow_process_preserving_unfreeze2,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/results/final/checkpoints/LatentFlow/seed45/ETTh1/h192.pt,,2,False,ETTh1,,147.02104245312512,,,,,,,192,32,30.897102123516763,16,,0.44599827970414135,,,LatentFlow,0.4645301582105257,0.02,2689.0,1535526,16-32-48,False,,,0.05,physics_modal_v4/results/final/headline/runs/LatentFlow/seed45/ETTh1/h192.json,7891b8c6c641b458e5978d499b30088d714970892c7856240f73087f36e3c78c,0.6815644930676228,45,,validation MSE only; test evaluated once,,104.02921751810936,,,
,1,extension,1.0222430449156534,latentflow_process_preserving_unfreeze2,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/results/final/checkpoints/LatentFlow/seed46/ETTh1/h192.pt,,2,False,ETTh1,,146.0064693633467,,,,,,,192,32,30.801555208727986,16,,0.4362631963314301,,,LatentFlow,0.4480188745654268,0.02,2689.0,1535526,16-32-48,False,,,0.05,physics_modal_v4/results/final/headline/runs/LatentFlow/seed46/ETTh1/h192.json,c774c7a79d2076c2646f3148df77b350fa45f6b17b7c4f55268f45030288da7c,0.6693421207166234,46,,validation MSE only; test evaluated once,,103.23094589839457,,,
