dataset,horizon,mae,mae_change_vs_2048_percent,mse,mse_change_vs_2048_percent,num_training_windows,train_budget_label
ETTh1,96,0.44846160792790796,9.006130486981814,0.46212230162854134,14.606825016817917,128,0128
ETTh1,192,0.47141439055207535,7.571237870709277,0.503940139848465,12.193818846433933,128,0128
ETTh1,336,0.4893661569787772,7.7529123197479946,0.5369931850813427,11.474592283522604,128,0128
ETTh1,720,0.5066394040323683,5.254888238361294,0.5361975638415639,7.7025029679014105,128,0128
ETTh2,96,0.35757881747338166,4.347592402600541,0.31507571459203804,7.356785187079005,128,0128
ETTh2,192,0.41087230804037495,5.284439269937724,0.4144430075911288,12.206088062200267,128,0128
ETTh2,336,0.4425914096680601,3.7620174525276235,0.44410775767889044,6.644779920104239,128,0128
ETTh2,720,0.46389404997593725,5.719507324625576,0.463543827103986,12.069599485076381,128,0128
ETTm1,96,0.432047788632516,14.04793431372298,0.4409446453608435,27.40859782513111,128,0128
ETTm1,192,0.4445265467047074,11.64510423772649,0.47041270598883245,23.3216887749925,128,0128
ETTm1,336,0.46374244119312746,9.604972082013143,0.4976202567810658,16.044095221400024,128,0128
ETTm1,720,0.4924714852184701,3.3869323933396993,0.5571077042957633,9.035261434054762,128,0128
ETTm2,96,0.2699819612716702,4.700932450290932,0.18619540135736476,7.678195322021108,128,0128
ETTm2,192,0.31031548210911025,3.486856220574677,0.25350920769921265,5.511405075576169,128,0128
ETTm2,336,0.34971214479507995,1.0707478307560925,0.31659075287674393,2.7772726056159875,128,0128
ETTm2,720,0.4066302636000173,-0.3461341996377695,0.41849327613864795,0.8109291224919135,128,0128
Weather,96,0.23633031840382626,10.379435364223262,0.19495687618871702,16.408504901749012,128,0128
Weather,192,0.2776265087572674,8.766038766330114,0.24513194525486146,14.770270105034834,128,0128
Weather,336,0.30934352734154535,3.6406075274501073,0.29367540761934724,7.813687097334948,128,0128
Weather,720,0.35978509025911537,2.8395612264167225,0.3705169739372297,5.556431885311608,128,0128
Electricity,96,0.3660313902905263,46.151228480003866,0.2819254490145673,81.42091687044422,128,0128
Electricity,192,0.35109574300422225,34.37810982779911,0.2646087286206981,57.348754147670846,128,0128
Electricity,336,0.3621752237002602,28.648388994601415,0.2778146443282577,47.43041930552974,128,0128
Electricity,720,0.38003784588838496,24.177948414395882,0.30668486830121305,41.259441133582726,128,0128
Traffic,96,0.4908819917772,67.99786838653439,0.826517691884177,91.6532580093124,128,0128
Traffic,192,0.46633752527654004,55.63964174354586,0.7513733725742396,66.39743809911208,128,0128
Traffic,336,0.4693823474991235,57.007201047180125,0.7535074116179575,63.96936465441213,128,0128
Traffic,720,0.47347132943736536,48.86725652689544,0.7600949331096971,54.66239296700983,128,0128
ETTh1,96,0.4206969249428893,2.257457684468128,0.4159984129437465,3.168051296170908,512,0512
ETTh1,192,0.4463412755143955,1.8498469332810057,0.4603000568856757,2.4780864107466303,512,0512
ETTh1,336,0.4647408208485959,2.3306908460329177,0.5029113135303352,4.399525334893741,512,0512
ETTh1,720,0.49850998623618065,3.5659928331274577,0.5236125426305974,5.17463194473927,512,0512
ETTh2,96,0.34888127607352265,1.809501608212835,0.3012631580158412,2.650387325996085,512,0512
ETTh2,192,0.40222025953709417,3.06738531575713,0.394226880237281,6.732784074452985,512,0512
ETTh2,336,0.4392716224148039,2.9837198728945307,0.43468538493357345,4.382160431083587,512,0512
ETTh2,720,0.4564503179091361,4.023112023156298,0.44206614878720124,6.877005676052534,512,0512
ETTm1,96,0.3972107182938295,4.851970315748581,0.3775104782036522,9.07963436739632,512,0512
ETTm1,192,0.40926066493948354,2.7878985772303015,0.40003078346601506,4.870619247651598,512,0512
ETTm1,336,0.4350555513561122,2.824859932656469,0.4400196153267217,2.611735443726356,512,0512
ETTm1,720,0.458030292795442,-3.8434745225165234,0.4917822900066354,-3.7500107321358875,512,0512
ETTm2,96,0.2685680320022677,4.152600583125063,0.18501414073883674,6.995063457964247,512,0512
ETTm2,192,0.3084360219992652,2.8600766063643395,0.24970250469445857,3.927042178534666,512,0512
ETTm2,336,0.35030619564860715,1.2424352168223551,0.3149541587484243,2.245972561812932,512,0512
ETTm2,720,0.4085617723510557,0.12722533874016714,0.42052455638969294,1.3002446290764713,512,0512
Weather,96,0.2288574342112371,6.889181793326092,0.18686400912230786,11.576264182743197,512,0512
Weather,192,0.2632065283544704,3.1167073875617506,0.22807614413832142,6.784779274911241,512,0512
Weather,336,0.30561803529750464,2.3924409273558505,0.2839482984671571,4.242684979734535,512,0512
Weather,720,0.35595755536798845,1.7455136423469988,0.362226397677993,3.1945329447616904,512,0512
Electricity,96,0.28645039922583015,14.375648799447209,0.19686046958243958,26.68103220914613,512,0512
Electricity,192,0.29250155292973856,11.951815388207415,0.20526333867674795,22.059203342740044,512,0512
Electricity,336,0.3093634245984739,9.889091202397237,0.22169247684241541,17.64755920908197,512,0512
Electricity,720,0.33867978931640347,10.664140063257273,0.2611614993169239,20.291319371139956,512,0512
Traffic,96,0.36637498657324563,25.38699281188268,0.5403895395748531,25.305745866824278,512,0512
Traffic,192,0.3637699485365559,21.407824587402768,0.5382576719669904,19.201319772148285,512,0512
Traffic,336,0.3632620838447072,21.510242843399755,0.5338297399328129,16.16570977379268,512,0512
Traffic,720,0.3658116163104804,15.017253083778543,0.5577228008080608,13.484170500040369,512,0512
ETTh1,96,0.4114095289177025,0.0,0.4032240676423306,0.0,2048,2048
ETTh1,192,0.4382346060930079,0.0,0.4491692546255481,0.0,2048,2048
ETTh1,336,0.45415585197978037,0.0,0.4817180077371921,0.0,2048,2048
ETTh1,720,0.4813452491489303,0.0,0.4978506061287795,0.0,2048,2048
ETTh2,96,0.34268046750302417,0.0,0.2934846773242975,0.0,2048,2048
ETTh2,192,0.3902497946414888,0.0,0.36935875294162884,0.0,2048,2048
ETTh2,336,0.42654472275517485,0.0,0.41643647069421075,0.0,2048,2048
ETTh2,720,0.43879702215362193,0.0,0.4136213828137338,0.0,2048,2048
ETTm1,96,0.3788299991861661,0.0,0.34608704034718446,0.0,2048,2048
ETTm1,192,0.3981603579841484,0.0,0.3814517224517801,0.0,2048,2048
ETTm1,336,0.42310347093207323,0.0,0.4288199721249567,0.0,2048,2048
ETTm1,720,0.4763382313587202,0.0,0.5109426959394284,0.0,2048,2048
ETTm2,96,0.257860130710727,0.0,0.17291838965217707,0.0,2048,2048
ETTm2,192,0.29985980195175266,0.0,0.24026711379459686,0.0,2048,2048
ETTm2,336,0.34600727935710557,0.0,0.3080357600960941,0.0,2048,2048
ETTm2,720,0.4080426387217376,0.0,0.4151268912819473,0.0,2048,2048
Weather,96,0.21410719997252933,0.0,0.1674764883830991,0.0,2048,2048
Weather,192,0.2552510985103653,0.0,0.2135848813726089,0.0,2048,2048
Weather,336,0.298477145900185,0.0,0.27239158174250644,0.0,2048,2048
Weather,720,0.3498508608637434,0.0,0.3510131664357517,0.0,2048,2048
Electricity,96,0.2504470158050064,0.0,0.155398536110307,0.0,2048,2048
Electricity,192,0.26127450628241405,0.0,0.1681670312892115,0.0,2048,2048
Electricity,336,0.28152332612222486,0.0,0.18843780383783904,0.0,2048,2048
Electricity,720,0.30604294139258575,0.0,0.21710751921437585,0.0,2048,2048
Traffic,96,0.2921953691982355,0.0,0.4312567918068039,0.0,2048,2048
Traffic,192,0.29962644481342643,0.0,0.4515534500757732,0.0,2048,2048
Traffic,336,0.2989559360134544,0.0,0.45954158156682345,0.0,2048,2048
Traffic,720,0.31804934173138644,0.0,0.49145426921709967,0.0,2048,2048
ETTh1,720,0.5621797833563488,16.79346256150706,0.6904619681725109,38.68858642986335,7825,all
ETTh2,720,0.43557585429205903,-0.734090638480946,0.41403185841752504,0.0992394544496047,7825,all
ETTh1,336,0.4771771283386344,5.069025590774282,0.5193859492451665,7.819500392961152,8209,all
ETTh2,336,0.4314052428175481,1.13951006848186,0.43000868406046344,3.2591317815241907,8209,all
ETTh1,192,0.4371759780510622,-0.24156650963366746,0.445102874248395,-0.9053113799035561,8353,all
ETTh2,192,0.3934719406607832,0.825662450957733,0.37660940567133067,1.9630380143848036,8353,all
ETTh1,96,0.4037983370426527,-1.8500280961096307,0.39485066994302365,-2.07661158429024,8449,all
ETTh2,96,0.3421724005561614,-0.1482625930111702,0.28843193665278044,-1.721636958216336,8449,all
Traffic,720,0.2971443081454319,-6.572890065469841,0.4665407902727564,-5.069338187667212,11465,all
Traffic,336,0.28071394673539574,-6.101899002680339,0.4388312393239491,-4.506739558205315,11849,all
Traffic,192,0.2802176867645507,-6.477651884486129,0.4298216508009619,-4.812674838640822,11993,all
Traffic,96,0.2705586990779228,-7.4048641426735475,0.3996044650066713,-7.339554391136943,12089,all
Electricity,720,0.3057338858570877,-0.10098436973966574,0.21261377298403758,-2.0698252398624035,17597,all
Electricity,336,0.26786400598225074,-4.851931926253191,0.17281035931537475,-8.293157850593795,17981,all
Electricity,192,0.25216913182948963,-3.484983890116832,0.15754877169472764,-6.3141149088983575,18125,all
Electricity,96,0.23846289649695027,-4.785091676790729,0.14293426193477238,-8.02084401019522,18221,all
ETTm1,720,0.4650833342172027,-2.3627952577759146,0.4986807821441881,-2.3998608635935885,33745,all
ETTm2,720,0.4197295310867237,2.8641350819603577,0.4397680988602412,5.935825429713733,33745,all
ETTm1,336,0.4317545474451611,2.0446716010223334,0.4394075949764191,2.4690134647873214,34129,all
ETTm2,336,0.3595007830204778,3.899774504294719,0.3373410000755163,9.513583737901145,34129,all
ETTm1,192,0.39991726285705004,0.44125559907488066,0.4013768670243345,5.2235036309406535,34273,all
ETTm2,192,0.3077612023431964,2.635031551416519,0.25041960402513,4.225501388930186,34273,all
ETTm1,96,0.37908943239470205,0.06848275191861197,0.36481148839531014,5.410329155735463,34369,all
ETTm2,96,0.2674146670665147,3.7053174251688263,0.1883530283684754,8.925967184487947,34369,all
Weather,720,0.35023482666638417,0.10975128135823473,0.3596273020843561,2.4540776450279163,36072,all
Weather,336,0.29411270464770584,-1.4622363261067488,0.2657514283594034,-2.437723420314807,36456,all
Weather,192,0.25213044693303516,-1.2225810566701376,0.20941022003048246,-1.9545678117748142,36600,all
Weather,96,0.2064787004097738,-3.562934625147721,0.16217486937262882,-3.165590024996777,36696,all
