clustered_ci95_high,clustered_ci95_low,contrast_plus_minus,dataset,effect,interpretation,metric,paired_dataset_horizon_seed_cells
4.822010002771803e-05,4.822010002771803e-05,4.822010002771803e-05,ETTh1,scale_x_bank_x_continuation,negative contrast favors the +1 level(s),mse,12
0.0002500574320827356,0.0002500574320827356,0.0002500574320827356,ETTh2,scale_x_bank_x_continuation,negative contrast favors the +1 level(s),mse,12
0.0003999518273029602,0.0003999518273029602,0.0003999518273029602,ETTm1,scale_x_bank_x_continuation,negative contrast favors the +1 level(s),mse,12
0.00026592802723089383,0.00026592802723089383,0.00026592802723089383,ETTm2,scale_x_bank_x_continuation,negative contrast favors the +1 level(s),mse,12
-0.0006669627763099418,-0.0006669627763099418,-0.0006669627763099418,Weather,scale_x_bank_x_continuation,negative contrast favors the +1 level(s),mse,12
-0.0022950810676909245,-0.0022950810676909245,-0.0022950810676909245,Electricity,scale_x_bank_x_continuation,negative contrast favors the +1 level(s),mse,12
-0.003159567370965203,-0.003159567370965203,-0.003159567370965203,Traffic,scale_x_bank_x_continuation,negative contrast favors the +1 level(s),mse,12
0.00316626068773457,-0.0013981444527594682,0.0008887434514576565,ALL,scale,negative contrast favors the +1 level(s),mae,84
0.005738489578347847,0.005738489578347847,0.005738489578347847,ETTh1,scale,negative contrast favors the +1 level(s),mae,12
0.004019335648933221,0.004019335648933221,0.004019335648933221,ETTh2,scale,negative contrast favors the +1 level(s),mae,12
0.002612482073417638,0.002612482073417638,0.002612482073417638,ETTm1,scale,negative contrast favors the +1 level(s),mae,12
-0.0006189710261506748,-0.0006189710261506748,-0.0006189710261506748,ETTm2,scale,negative contrast favors the +1 level(s),mae,12
0.0003423629584138425,0.0003423629584138425,0.0003423629584138425,Weather,scale,negative contrast favors the +1 level(s),mae,12
-0.0025245402261633424,-0.0025245402261633424,-0.0025245402261633424,Electricity,scale,negative contrast favors the +1 level(s),mae,12
-0.0033479548465949354,-0.0033479548465949354,-0.0033479548465949354,Traffic,scale,negative contrast favors the +1 level(s),mae,12
