bank,batch_size,best_epoch,best_stage,best_validation_mse,candidate,checkpoint,config_hash,continuation,continuation_unfreeze_blocks,cross_process_exchange,dataset,effective_batch_size,elapsed_seconds,enhancement_protocol,experiment,extension_epochs,final_candidate,gradient_clip,head_learning_rate,horizon,inducing_points,inference_ms_batch,latent_dim,learning_rate,mae,max_train_windows,max_validation_windows,model,mse,nll_weight,num_windows,parameters,patch_lens,primal_dual,reference_epochs,representation_weight,result_path,result_sha256,reused_source,rmse,scale,seed,selected_config,selected_patch_lens,selection_protocol,seq_len,structural_only,trainable_parameters,training_ms_optimizer_step,variant,weight_decay,wide_batch_size
on,16,2,extension,0.9845353054621863,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/ETTm1/h720.pt,203c1432a07b9aff,early,2,False,ETTm1,16,143.5899558905512,latentflow-central-all28-five-seed-no-exchange-v1,central,10,latentflow_process_preserving_unfreeze2,5.0,0.001,720,,8.002349037334367,,0.0007,0.479489364208168,2048,1024,LatentFlow,0.5139667242193918,0.02,10801.0,2026480,,False,2,,physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/ETTm1/h720.json,c08e87318149312734060f8dbeee1d7f19cc6489e588b3dc6d9b40049ca88dfc,,0.7169147259049655,multiscale,42,"{'inducing_points': 32, 'latent_dim': 8, 'patch_lens': [8, 24, 48], 'representation_weight': 0.01}",8-24-48,,96,False,0,103.79029447358334,early_fusion,0.0001,4
on,16,0,reference,0.39560971763871966,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/ETTm1/h96.pt,6dda313d00b7a65c,early,2,False,ETTm1,16,137.57599274301901,latentflow-central-all28-five-seed-no-exchange-v1,central,10,latentflow_process_preserving_unfreeze2,5.0,0.001,96,,7.829151564992202,,0.0007,0.3788299991861661,2048,1024,LatentFlow,0.34608704034718446,0.02,11425.0,1398606,,False,2,,physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/ETTm1/h96.json,434cf1158fd484d6f9989e412277bb88f8cd63b03ea786919076762e0e65cbd9,,0.5882916286563871,multiscale,42,"{'inducing_points': 32, 'latent_dim': 8, 'patch_lens': [8, 24, 48], 'representation_weight': 0.01}",8-24-48,,96,False,0,99.10370050947677,early_fusion,0.0001,4
on,16,2,extension,0.16821035450058325,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/ETTm2/h192.pt,878f636c4034e033,early,2,False,ETTm2,16,135.6735799089074,latentflow-central-all28-five-seed-no-exchange-v1,central,10,latentflow_process_preserving_unfreeze2,5.0,0.001,192,,7.309256592446666,,0.0007,0.3007856170117437,2048,1024,LatentFlow,0.24118935215299755,0.02,11329.0,1468534,,False,2,,physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/ETTm2/h192.json,a86005992576ee15cbd10b5edff03e41ed610e8e53007c5057fbf22adc325f8f,,0.4911103258464411,multiscale,42,"{'inducing_points': 16, 'latent_dim': 8, 'patch_lens': [8, 16, 32], 'representation_weight': 0.001}",8-16-32,,96,False,0,98.09019625627116,early_fusion,0.0001,4
on,16,0,reference,0.21736542302734999,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/ETTm2/h336.pt,829034b0d73c9f33,early,2,False,ETTm2,16,140.89439762104303,latentflow-central-all28-five-seed-no-exchange-v1,central,10,latentflow_process_preserving_unfreeze2,5.0,0.001,336,,8.125579380063357,,0.0007,0.34600727935710557,2048,1024,LatentFlow,0.3080357600960941,0.02,11185.0,1612484,,False,2,,physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/ETTm2/h336.json,576a2c08876c36255cd7037eb36dfa8b65d7f24a65e8280a2f9e14e1d2f9d432,,0.5550096936956094,multiscale,42,"{'inducing_points': 16, 'latent_dim': 8, 'patch_lens': [8, 16, 32], 'representation_weight': 0.001}",8-16-32,,96,False,0,101.66290291481346,early_fusion,0.0001,4
on,16,0,reference,0.3068215714560615,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/ETTm2/h720.pt,4e6422ff64a10024,early,2,False,ETTm2,16,145.4676055959426,latentflow-central-all28-five-seed-no-exchange-v1,central,10,latentflow_process_preserving_unfreeze2,5.0,0.001,720,,7.929727064793824,,0.0007,0.4080426387217376,2048,1024,LatentFlow,0.4151268912819473,0.02,10801.0,2004620,,False,2,,physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/ETTm2/h720.json,f4bcb393b9d6ced7a6ff86bd6097c1e99add9ca17440c38d77fc4262b0a6e340,,0.6443034155442195,multiscale,42,"{'inducing_points': 16, 'latent_dim': 8, 'patch_lens': [8, 16, 32], 'representation_weight': 0.001}",8-16-32,,96,False,0,105.3109262662474,early_fusion,0.0001,4
on,16,3,extension,0.1287894578916686,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/ETTm2/h96.pt,0aaef4c089d5a272,early,2,False,ETTm2,16,144.47042790800333,latentflow-central-all28-five-seed-no-exchange-v1,central,10,latentflow_process_preserving_unfreeze2,5.0,0.001,96,,8.450088557509018,,0.0007,0.25868614344245583,2048,1024,LatentFlow,0.17370339504912508,0.02,11425.0,1373530,,False,2,,physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/ETTm2/h96.json,0e93bcdf9a154fcbdad83bf038144bc94c5d867164a75e4dd898724cabf447f3,,0.41677739267998337,multiscale,42,"{'inducing_points': 16, 'latent_dim': 8, 'patch_lens': [8, 16, 32], 'representation_weight': 0.001}",8-16-32,,96,False,0,103.93230629852042,early_fusion,0.0001,4
on,16,10,extension,0.14375060651285007,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/Electricity/h192.pt,de5c3e6599f502bb,early,2,False,Electricity,16,654.6276087015867,latentflow-central-all28-five-seed-no-exchange-v1,central,10,latentflow_process_preserving_unfreeze2,5.0,0.001,192,,7.9054449071392625,,0.0007,0.26660545980262707,2048,1024,LatentFlow,0.17576380106547018,0.02,5071.0,1482127,,False,2,,physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/Electricity/h192.json,aae1490b3a5a47e6b5a42bc97206dca99b8bf5ccd480ed096875cf5d7d164780,,0.4192419361961184,multiscale,42,"{'inducing_points': 32, 'latent_dim': 16, 'patch_lens': [8, 16, 32], 'representation_weight': 0.001}",8-16-32,,96,False,0,488.5646989030647,early_fusion,0.0001,4
on,16,10,extension,0.16076926052561502,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/Electricity/h336.pt,a221ffca06797e79,early,2,False,Electricity,16,695.0506210206077,latentflow-central-all28-five-seed-no-exchange-v1,central,10,latentflow_process_preserving_unfreeze2,5.0,0.001,336,,8.125539301190434,,0.0007,0.2852614630619167,2048,1024,LatentFlow,0.19472323194298286,0.02,4927.0,1626077,,False,2,,physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/Electricity/h336.json,c29ab4e6f0f6d135539ea804d60c1894114b65a09de0e20c44095028fd4ad16a,,0.4412745539264448,multiscale,42,"{'inducing_points': 32, 'latent_dim': 16, 'patch_lens': [8, 16, 32], 'representation_weight': 0.001}",8-16-32,,96,False,0,519.4003468641313,early_fusion,0.0001,4
on,16,10,extension,0.19375041550358674,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/Electricity/h720.pt,2746d6000bc8214c,early,2,False,Electricity,16,692.3869653567672,latentflow-central-all28-five-seed-no-exchange-v1,central,10,latentflow_process_preserving_unfreeze2,5.0,0.001,720,,7.700059071800801,,0.0007,0.3171761386624937,2048,1024,LatentFlow,0.23362635671988644,0.02,4543.0,2018213,,False,2,,physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/Electricity/h720.json,f3f39abaed30b8c82274244fceae1cbede68a0b7f9f1cf7d371d942bb37708c0,,0.4833491043954529,multiscale,42,"{'inducing_points': 32, 'latent_dim': 16, 'patch_lens': [8, 16, 32], 'representation_weight': 0.001}",8-16-32,,96,False,0,519.0104188695841,early_fusion,0.0001,4
on,16,10,extension,0.13207347550248555,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/Electricity/h96.pt,ecbad6e965f95018,early,2,False,Electricity,16,666.5679191939998,latentflow-central-all28-five-seed-no-exchange-v1,central,10,latentflow_process_preserving_unfreeze2,5.0,0.001,96,,8.202371918849012,,0.0007,0.25528010939529894,2048,1024,LatentFlow,0.1629560981359871,0.02,5167.0,1387123,,False,2,,physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/Electricity/h96.json,434e0bc4afb7eeb5cf636276795065f8824216292ae21aac9d4986e9e925cd30,,0.4036782111236462,multiscale,42,"{'inducing_points': 32, 'latent_dim': 16, 'patch_lens': [8, 16, 32], 'representation_weight': 0.001}",8-16-32,,96,False,0,496.0651515180871,early_fusion,0.0001,4
