clustered_ci95_high_percent,clustered_ci95_low_percent,dataset,latentflow_losses,latentflow_mean_gain_percent,latentflow_wins,metric,paired_cells,ties
3.735019730727967,1.566134976907638,ALL,42,2.644138252278875,98,mse,140,0
3.409114653278138,1.3921207667812032,ALL,35,2.373020305382125,105,mae,140,0
-0.9060570223560763,-1.3627906558920997,ETTh1,16,-1.132618645077449,4,mse,20,0
0.5203115920116462,0.34505119782480076,ETTh1,6,0.43268139491822355,14,mae,20,0
1.0217950128980222,-0.8384872800814922,ETTh2,12,-0.00024062442072572132,8,mse,20,0
0.6351432217294495,-0.36074567724357187,ETTh2,11,0.041363688825669584,9,mae,20,0
0.7030326081933591,-1.2433365341587195,ETTm1,11,-0.18934221828774372,9,mse,20,0
-0.6692180652985376,-1.4263323792643932,ETTm1,15,-1.0010385794166132,5,mae,20,0
4.045823799719648,3.315133367591887,ETTm2,2,3.701778356166721,18,mse,20,0
2.9201639450744916,2.6025503352928,ETTm2,0,2.7709673625199396,20,mae,20,0
2.2601550010058356,1.3753201335600596,Weather,1,1.817737567282947,19,mse,20,0
1.5279044562498523,0.6990004635144217,Weather,3,1.0894444295101993,17,mae,20,0
8.137065542553959,6.902254792368747,Electricity,0,7.5634769809322915,20,mse,20,0
5.105144133966493,4.380789723754578,Electricity,0,4.785430630339278,20,mae,20,0
7.295461733582185,6.2008909651299815,Traffic,0,6.7481763493560845,20,mse,20,0
9.117333608432366,8.016094869846144,Traffic,0,8.492293210978179,20,mae,20,0
