bank_weight_quality_correlation,dataset,field_weight_quality_correlation,horizon,mean_bank_weights,mean_field_weights,mean_outer_weights,mean_process_weights,seed
0.30065445952052944,ETTh1,-0.6447525408875026,720,"[0.49561442367901465, 0.11852492072801797, 0.13289076554270488, 0.252969889798577]","[0.18461006173707997, 0.7172123274280208, 0.06540356128925198, 0.03277405318905363]","[0.9027010372864434, 0.09729895966230086]","[0.7719009706732411, 0.12126914215951207, 0.06036706316021514, 0.046462824722439094]",42
0.27605878196821415,ETTh1,0.22059473900615134,96,"[0.3530961927862527, 0.5204797162401826, 0.08136793600271591, 0.04505615538952595]","[0.43436132178272335, 0.26891495006516763, 0.18210550159804484, 0.11461822648183234]","[0.46157993050409174, 0.5384200739261278]","[0.25, 0.25, 0.25, 0.25]",42
0.2265422661899067,ETTm1,-0.5598039542275581,336,"[0.5022332634785157, 0.14364411062329915, 0.14810263809877472, 0.2060199875769255]","[0.12661038232891486, 0.41421210202565406, 0.40991379716431503, 0.049263717675440855]","[0.9202525667862856, 0.07974743221652897]","[0.8083096924721263, 0.0035723114494445817, 0.003965065308759521, 0.18415293035413413]",42
0.3400264376094766,ETTm1,-0.3383401880582381,720,"[0.463278406442354, 0.1713465209189813, 0.1277397243239992, 0.23763534804564165]","[0.11595929854888075, 0.30288208749998213, 0.49454711452257566, 0.08661149931888251]","[0.964654466160226, 0.03534553312686083]","[0.811915459257399, 0.01734040556538465, 0.02310480050926804, 0.1476393356586803]",42
0.625168609007798,Electricity,-0.7295030668443788,336,"[0.26580194468088847, 0.6510778699657702, 0.04222554825541212, 0.040894637687684844]","[0.09100864615018406, 0.36524408914168466, 0.3555438735796226, 0.18820339050548468]","[0.8430264770367675, 0.156973524711329]","[0.9492097244994355, 0.046895891697164335, 0.002167720452740392, 0.0017266628157210587]",42
0.5609624084873638,Traffic,0.14268652051590172,192,"[0.08988408031827105, 0.8966936637709463, 0.0071749870614021, 0.006247270935666547]","[0.044669193212581566, 0.641907316333165, 0.18822733619264106, 0.1251961535432677]","[0.8925314924378609, 0.10746850916943516]","[0.9084617302122515, 0.012616436986876166, 0.015954892526785627, 0.06296693978808163]",42
0.297183010814591,Weather,-0.3488646258411706,720,"[0.46744282766850415, 0.11174376828281352, 0.14372630920930643, 0.27708709498503437]","[0.21952040034512518, 0.18588261450882199, 0.2946493546742551, 0.2999476295007415]","[0.8349071762345981, 0.16509282436017386]","[0.6068044498755507, 0.02689551089060257, 0.07086365226086841, 0.17174868177777697, 0.10175040590946378, 0.021937298366268714]",42
