base_mse,best_validation_mse,best_validation_nll,between_component_variance,continuation_field_weight,continuation_linear_weight,continuation_process_entropy,continuation_process_information_bits,continuation_process_weight_0,continuation_process_weight_1,continuation_process_weight_2,continuation_process_weight_3,cross_effective_ratio,cross_effective_ratio_max,cross_exact_spectral_norm,cross_gate,cross_spectral_norm,epoch,fenchel_primal,inducing_minimum_gap,latent_reconstruction_mse,latent_reconstruction_ratio,latent_variance_gain,mixture_base_weight,mixture_latent_weight,mixture_nll,mixture_routing_information_bits,mixture_weight_entropy,observation_noise_std,point_mse,point_regret,posterior_future_variance,posterior_past_variance,predictive_mean,predictive_second_moment,predictive_variance,process_axis_size_at_field_exit,process_energy_baseline,process_energy_congestion,process_energy_daily,process_energy_entropy,process_energy_weekly,process_fusion_after_future_decode,process_future_variance_baseline,process_future_variance_congestion,process_future_variance_daily,process_future_variance_weekly,process_signal_reconstruction_ratio,representation_gaussian_nll,representation_objective,representation_trace_correction,sample_dual_norm,selected_reference_only,sensor_group_entropy,sensor_group_prior_kl,soft_miscoverage_90,stage,standardized_error_second_moment,structural_reconstruction_ratio,total,train_nll,validation_mae,validation_mse,validation_nll,within_component_variance
,,0.3869243988301605,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reference,,,,0.3510772865556646,,,0.3869243988301605,
,,0.3604475589624296,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reference,,,,0.2951493509899592,,,0.3604475589624296,
0.2772931911749765,0.3866941968815079,,0.03126954973276952,0.7715007996885106,0.22849920237786137,1.3862943649291992,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,1,0.0,2.8787765502929688,9.99999993922529e-09,9.99999993922529e-09,0.12693033658433706,0.9621881186030805,0.037811879858054454,0.2577832204697188,0.7703025896335021,0.15921410894952714,9.99999993922529e-09,0.27581829408882186,-0.005324317142367363,9.99999993922529e-09,9.99999993922529e-09,-0.007230764076787466,0.8869329070439562,0.14448659858317114,4.0,0.25,0.25,0.25,1.3862943649291992,0.25,1.0,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,0.0009295450657136328,9.99999993922529e-09,0.001859100137184315,9.99999993922529e-09,0.0,0.0,9.99999993922529e-09,9.99999993922529e-09,0.09690223749203142,extension,2.087882172781974,0.0009295450657136328,0.2809739586664364,,0.2770147822695499,0.3866941968815079,0.30979679074759287,0.11321704907459207
0.2772931919025723,0.3866941968815079,,0.029953042778288363,0.7981937021249905,0.20180629834067076,1.3862943649291992,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,2,0.0,2.8787765502929688,9.99999993922529e-09,9.99999993922529e-09,0.12693305232096463,0.921778827207163,0.07822117241448723,0.22536117557319812,0.6045519870240241,0.27410367273841985,9.99999993922529e-09,0.27478514722315595,-0.009110342827625573,9.99999993922529e-09,9.99999993922529e-09,-0.007386847513316752,1.045295196119696,0.3018100233748555,4.0,0.25,0.25,0.25,1.3862943649291992,0.25,1.0,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,0.008372586570203566,9.99999993922529e-09,0.016745183178500156,9.99999993922529e-09,0.0,0.0,9.99999993922529e-09,9.99999993922529e-09,0.05515368055785075,extension,0.9133128793910146,0.008372586570203566,0.2792923706001602,,0.2773474618593325,0.38674386451245496,0.29075583869901794,0.27185698214452714
0.277293191436911,0.38598213045477575,,0.02965772210882278,0.8148558563552797,0.18514414358651266,1.3862943649291992,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,3,0.0,2.8787765502929688,9.99999993922529e-09,9.99999993922529e-09,0.12693487259093672,0.9031369215808809,0.09686308185337111,0.21923098638217198,0.5413567502400838,0.31790727260522544,9.99999993922529e-09,0.27410895729553886,-0.011511037242598832,9.99999993922529e-09,9.99999993922529e-09,-0.006800930359585067,1.0667229314567521,0.32182011188706383,4.0,0.25,0.25,0.25,1.3862943649291992,0.25,1.0,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,0.027606894826021744,9.99999993922529e-09,0.055213799569173716,9.99999993922529e-09,0.0,0.0,9.99999993922529e-09,9.99999993922529e-09,0.05191517110506538,extension,0.82369000534527,0.027606894826021744,0.2784935767413117,,0.2749717693295842,0.38598213045477575,0.28805285684453946,0.292162389610894
0.2772931922809221,0.3853034692166572,,0.028152759145086748,0.834921381319873,0.16507861847640015,1.3862943649291992,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,4,0.0,2.8787765502929688,9.99999993922529e-09,9.99999993922529e-09,0.1269366912310943,0.8743194338167086,0.12568056369491387,0.21266651119367452,0.4548519004601985,0.37786786566721275,9.99999993922529e-09,0.27325070061488077,-0.014572754153050482,9.99999993922529e-09,9.99999993922529e-09,-0.0072866194359448855,1.0434324169764295,0.2978052290272899,4.0,0.25,0.25,0.25,1.3862943649291992,0.25,1.0,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,0.05840219150559278,9.99999993922529e-09,0.11680439239717089,9.99999993922529e-09,0.0,0.0,9.99999993922529e-09,9.99999993922529e-09,0.0550874877590104,extension,0.8789928274927661,0.05840219150559278,0.27750403064419515,,0.27542478615981336,0.3853034692166572,0.2794342387157182,0.26965247216867283
0.2772931905055884,0.3848998684016125,,0.02702014276292175,0.8415768048726022,0.15842319455987308,1.3862943649291992,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,5,0.0,2.8787765502929688,9.99999993922529e-09,9.99999993922529e-09,0.12693850882351398,0.8490710074547678,0.15092899350565858,0.20757208597206045,0.38916056195739657,0.42340163269545883,9.99999993922529e-09,0.27236800210084766,-0.01782875892240554,9.99999993922529e-09,9.99999993922529e-09,-0.00695739337480461,1.0275837006047368,0.28171570753329434,4.0,0.25,0.25,0.25,1.3862943649291992,0.25,1.0,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,0.10131086196633987,9.99999993922529e-09,0.20262173120863736,9.99999993922529e-09,0.0,0.0,9.99999993922529e-09,9.99999993922529e-09,0.05776341313321609,extension,0.9277548763202503,0.10131086196633987,0.2765194438106846,,0.2739917595110005,0.3848998684016125,0.2757270874377961,0.25469556424650364
0.2772931904764846,0.3825484194931341,,0.025893107576848706,0.8441863376647234,0.15581366275728215,1.3862943649291992,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,6,0.0,2.8787765502929688,9.99999993922529e-09,9.99999993922529e-09,0.12694032932631671,0.8150009270757437,0.18499907082878053,0.20170231568044983,0.31020859273849055,0.4781269679078832,9.99999993922529e-09,0.27106321198516525,-0.022432958823628724,9.99999993922529e-09,9.99999993922529e-09,-0.007082763010454407,1.0179314953275025,0.27073357949848287,4.0,0.25,0.25,0.25,1.3862943649291992,0.25,1.0,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,0.14629020358552225,9.99999993922529e-09,0.292580422188621,9.99999993922529e-09,0.0,0.0,9.99999993922529e-09,9.99999993922529e-09,0.05999831025110325,extension,0.9742677788017318,0.14629020358552225,0.2750972580979578,,0.2716256831709344,0.3825484194931341,0.27161705870336544,0.2448404715396464
0.27729319263016805,0.3824703854513191,,0.025802495576499496,0.849662036052905,0.1503379651112482,1.3862943649291992,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,7,0.0,2.8787765502929688,9.99999993922529e-09,9.99999993922529e-09,0.1269421586766839,0.781446315580979,0.21855368415708654,0.1973499835949042,0.24369423097232357,0.5242312106420286,9.99999993922529e-09,0.26990119187394157,-0.02652166911866516,9.99999993922529e-09,9.99999993922529e-09,-0.006679846706155956,1.0136066128034145,0.2652996617835015,4.0,0.25,0.25,0.25,1.3862943649291992,0.25,1.0,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,0.20110177103197202,9.99999993922529e-09,0.4022035571979359,9.99999993922529e-09,0.0,0.0,9.99999993922529e-09,9.99999993922529e-09,0.061468165382393636,extension,1.01323023554869,0.20110177103197202,0.2738481914566364,,0.27172882722955694,0.3824703854513191,0.26761515031103045,0.23949716601055115
0.2772931908839382,0.3807779782139671,,0.024395539045144687,0.8463287584017962,0.15367124549811706,1.3862943649291992,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,8,0.0,2.8787765502929688,9.99999993922529e-09,9.99999993922529e-09,0.12694482796359807,0.7359374989755452,0.26406250181025825,0.19085529225048958,0.1677671520737931,0.5768598525319248,9.99999993922529e-09,0.2683061078132596,-0.032377212890423834,9.99999993922529e-09,9.99999993922529e-09,-0.006786743355661429,1.0037443441106007,0.25289831109694205,4.0,0.25,0.25,0.25,1.3862943649291992,0.25,1.0,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,0.24904319280176423,9.99999993922529e-09,0.498086393577978,9.99999993922529e-09,0.0,0.0,9.99999993922529e-09,9.99999993922529e-09,0.064014407886134,extension,1.0812960108742118,0.24904319280176423,0.27212321327533573,,0.2698407685765903,0.3807779782139671,0.2632838742574677,0.22850277298130095
0.2772931907675229,0.37908674124981584,,0.02367892413167283,0.8478736762190238,0.15212632501788903,1.3862943649291992,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,9,0.0,2.8787765502929688,9.99999993922529e-09,9.99999993922529e-09,0.12694857153110206,0.7024282698985189,0.2975717287918087,0.1858455743004015,0.12251678424945567,0.608225017786026,9.99999993922529e-09,0.2668048701598309,-0.03765622025821358,9.99999993922529e-09,9.99999993922529e-09,-0.0060475169704687914,1.003752868855372,0.25174240188789554,4.0,0.25,0.25,0.25,1.3862943649291992,0.25,1.0,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,0.28007926637656055,9.99999993922529e-09,0.5601585328113288,9.99999993922529e-09,0.0,0.0,9.99999993922529e-09,9.99999993922529e-09,0.0644365518601262,extension,1.1093130995286629,0.28007926637656055,0.2705217817274388,,0.26686160626676786,0.37908674124981584,0.252765065136676,0.22806347810546868
0.27729319082573056,0.37908674124981584,,0.0225776521001535,0.8439418694470078,0.1560581288067624,1.3862943649291992,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,10,0.0,2.8787765502929688,9.99999993922529e-09,9.99999993922529e-09,0.1269535202300176,0.6587021147133783,0.34129788575228304,0.17995225092329292,0.0753660954796942,0.6409073851536959,9.99999993922529e-09,0.26540958636906,-0.04247394111007452,9.99999993922529e-09,9.99999993922529e-09,-0.006690239393762454,0.9931059284135699,0.24085607414599508,4.0,0.25,0.25,0.25,1.3862943649291992,0.25,1.0,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,0.31472195993410423,9.99999993922529e-09,0.6294439198682085,9.99999993922529e-09,0.0,0.0,9.99999993922529e-09,9.99999993922529e-09,0.06645190068229567,extension,1.1775179693941027,0.31472195993410423,0.2690086309739854,,0.27053848278964593,0.3812661570475009,0.2575502342078835,0.21827842053608038
