best_validation_mse,epoch,learning_rate,stage,train_loss,validation_mae,validation_mse
0.2359145613598056,1,0.0001,model,0.3816923288977705,0.33422845620603947,0.2359145613598056
0.2078570479977787,2,0.0001,model,0.24095763309742324,0.30421706343984556,0.2078570479977787
0.1958292805950466,3,0.0001,model,0.22200671990867704,0.28907604158110334,0.1958292805950466
0.18885290266816365,4,0.0001,model,0.21236621393472888,0.2808105644159723,0.18885290266816365
0.18461484215217464,5,0.0001,model,0.206493958219653,0.27631017525495644,0.18461484215217464
0.18180688120123012,6,0.0001,model,0.20267665272695012,0.2719532948292923,0.18180688120123012
0.17981439262535714,7,0.0001,model,0.20007673505460843,0.27003537222108615,0.17981439262535714
0.17816540533879835,8,0.0001,model,0.19825049681821838,0.2647991481847357,0.17816540533879835
0.17792960063690708,9,0.0001,model,0.1969172503449954,0.26821091495694155,0.17792960063690708
0.17684478663209813,10,0.0001,model,0.19586104739573784,0.26614724580867766,0.17684478663209813
