best_validation_mse,epoch,learning_rate,stage,train_loss,validation_mae,validation_mse
0.2124491056230899,1,0.001,model,0.33772143768146634,0.29964384398144195,0.2124491056230899
0.19809472806693149,2,0.001,model,0.2436975706659723,0.2863547955824101,0.19809472806693149
0.1894597949197925,3,0.001,model,0.23044869847944938,0.27747429352700753,0.1894597949197925
0.1877959400941526,4,0.001,model,0.2237833831750322,0.2748882827481501,0.1877959400941526
0.18346814715956,5,0.001,model,0.21809072291944176,0.27255797778758994,0.18346814715956
0.1822032859852045,6,0.001,model,0.21470997357391752,0.2715877758043666,0.1822032859852045
0.1802864818858775,7,0.001,model,0.21120845910627395,0.2693219624151375,0.1802864818858775
0.1758343523713358,8,0.001,model,0.2087204793060664,0.26520098000212217,0.1758343523713358
0.17559021489412596,9,0.001,model,0.20620514388429,0.2652358756965849,0.17559021489412596
0.17559021489412596,10,0.001,model,0.204157657106407,0.2666237128981672,0.17671504425305745
