base_mse,best_validation_mse,best_validation_nll,between_component_variance,continuation_field_weight,continuation_linear_weight,continuation_process_entropy,continuation_process_information_bits,continuation_process_weight_0,continuation_process_weight_1,continuation_process_weight_2,continuation_process_weight_3,cross_effective_ratio,cross_effective_ratio_max,cross_exact_spectral_norm,cross_gate,cross_spectral_norm,epoch,fenchel_primal,inducing_minimum_gap,latent_reconstruction_mse,latent_reconstruction_ratio,latent_variance_gain,mixture_base_weight,mixture_latent_weight,mixture_nll,mixture_routing_information_bits,mixture_weight_entropy,observation_noise_std,point_mse,point_regret,posterior_future_variance,posterior_past_variance,predictive_mean,predictive_second_moment,predictive_variance,process_axis_size_at_field_exit,process_energy_entropy,process_energy_innovation,process_energy_load_daily,process_energy_load_weekly,process_energy_thermal,process_fusion_after_future_decode,process_future_variance_innovation,process_future_variance_load_daily,process_future_variance_load_weekly,process_future_variance_thermal,process_signal_reconstruction_ratio,representation_gaussian_nll,representation_objective,representation_trace_correction,sample_dual_norm,selected_reference_only,sensor_group_entropy,sensor_group_prior_kl,soft_miscoverage_90,stage,standardized_error_second_moment,structural_reconstruction_ratio,total,train_nll,validation_mae,validation_mse,validation_nll,within_component_variance
,,0.5880911337832609,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reference,,,,0.6706189098767936,,,0.5880911337832609,
,,0.5609290488064289,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reference,,,,0.614498618291691,,,0.5609290488064289,
0.372888361569494,0.2349353905708071,,0.012177528447068653,0.6221010163426399,0.3778989799320698,1.3862943649291992,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,1,0.0,2.8787765502929688,9.99999993922529e-09,9.99999993922529e-09,0.1269290141062811,0.9769215192645788,0.023078474594512954,0.5769135928712785,0.8435560772195458,0.10843866068171337,9.99999993922529e-09,0.37091049016453326,-0.003936322405934334,9.99999993922529e-09,9.99999993922529e-09,-0.006773218361104227,1.0092317445669323,0.19513166463002563,4.0,1.3862943649291992,0.25,0.25,0.25,0.25,1.0,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,0.0008868224270290881,9.99999993922529e-09,0.0017736548698267726,9.99999993922529e-09,0.0,0.0,9.99999993922529e-09,9.99999993922529e-09,0.11414090183097869,extension,1.7168763112276793,0.0008868224270290881,0.38244876253884286,,0.3409739264420101,0.23716429207060072,0.5512282283355793,0.1829541343031451
0.3728883609874174,0.2349353905708071,,0.24584977846825495,0.747658216394484,0.25234178628306836,1.3862943649291992,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,2,0.0,2.8787765502929688,9.99999993922529e-09,9.99999993922529e-09,0.1269317865371704,0.9234656160697341,0.07653438596753404,0.5542695405893028,0.6135735847055912,0.2678503746865317,9.99999993922529e-09,0.3510896662482992,-0.041949763894081116,9.99999993922529e-09,9.99999993922529e-09,-0.002448989987101413,1.2496355606708676,0.4313625191571191,4.0,1.3862943649291992,0.25,0.25,0.25,0.25,1.0,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,0.032548748818953754,9.99999993922529e-09,0.06509750829718541,9.99999993922529e-09,0.0,0.0,9.99999993922529e-09,9.99999993922529e-09,0.0820891255280003,extension,1.3027627784758806,0.032548748818953754,0.3621750551974401,,0.34247535277926733,0.24030357291774143,0.5452029431859652,0.18551274377387017
0.3728883599396795,0.2349353905708071,,0.3444423697073944,0.7592263701371849,0.24077363137621433,1.3862943649291992,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,3,0.0,2.8787765502929688,9.99999993922529e-09,9.99999993922529e-09,0.12693372066132724,0.8798582311719656,0.12014176743105054,0.5279338497202843,0.47492445330135524,0.3639546330086887,9.99999993922529e-09,0.3249086412251927,-0.09685266297310591,9.99999993922529e-09,9.99999993922529e-09,-0.0017988759173022117,1.414215139579028,0.5919705720152706,4.0,1.3862943649291992,0.25,0.25,0.25,0.25,1.0,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,0.07917788714985363,9.99999993922529e-09,0.1583557821577415,9.99999993922529e-09,0.0,0.0,9.99999993922529e-09,9.99999993922529e-09,0.05835301858314779,extension,0.9605452793184668,0.07917788714985363,0.33546731644310057,,0.34493581264738055,0.24271971413067409,0.5454570638636748,0.2475281982915476
0.37288836122024804,0.2349353905708071,,0.3877960681566037,0.7315683769993484,0.26843162381555885,1.3862943649291992,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,4,0.0,2.8787765502929688,9.99999993922529e-09,9.99999993922529e-09,0.12693554034922272,0.8439643471501768,0.15603565517812967,0.5126930313417688,0.38168948143720627,0.4285801905207336,9.99999993922529e-09,0.3063991346862167,-0.13751368690282106,9.99999993922529e-09,9.99999993922529e-09,-0.0050872187021013815,1.4579969528131187,0.6291264988249168,4.0,1.3862943649291992,0.25,0.25,0.25,0.25,1.0,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,0.13049270428018644,9.99999993922529e-09,0.2609854203183204,9.99999993922529e-09,0.0,0.0,9.99999993922529e-09,9.99999993922529e-09,0.05535518569377018,extension,0.9415219179354608,0.13049270428018644,0.3166529956506565,,0.3470542445069268,0.24635200036896598,0.534660796324412,0.24133043363690376
0.37288836168590933,0.2349353905708071,,0.3482080319954548,0.6957186060026288,0.3042813939973712,1.3862943649291992,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,5,0.0,2.8787765502929688,9.99999993922529e-09,9.99999993922529e-09,0.12693747493904084,0.7980225514620543,0.2019774524960667,0.49659567046910524,0.28472026449162513,0.4957941316533834,9.99999993922529e-09,0.2878820493351668,-0.18682066490873694,9.99999993922529e-09,9.99999993922529e-09,-0.0036963608145015314,1.4134108959697187,0.5790186119265854,4.0,1.3862943649291992,0.25,0.25,0.25,0.25,1.0,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,0.18914213520474732,9.99999993922529e-09,0.3782842829823494,9.99999993922529e-09,0.0,0.0,9.99999993922529e-09,9.99999993922529e-09,0.055852209065051284,extension,0.9756106261629611,0.18914213520474732,0.29781396221369505,,0.3517724966245984,0.25093874335289,0.5357285086065531,0.23081058159004897
0.372888358484488,0.2349353905708071,,0.3220538027380826,0.6723331506364048,0.3276668512262404,1.3862943649291992,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,6,0.0,2.8787765502929688,9.99999993922529e-09,9.99999993922529e-09,0.12694037554319948,0.7509725717827678,0.2490274296142161,0.47904965188354254,0.2024438338703476,0.5528238073457032,9.99999993922529e-09,0.2751759353559464,-0.20810241578146815,9.99999993922529e-09,9.99999993922529e-09,0.0008251444805864594,1.376125895883888,0.540193141088821,4.0,1.3862943649291992,0.25,0.25,0.25,0.25,1.0,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,0.23868787370156497,9.99999993922529e-09,0.4773757578805089,9.99999993922529e-09,0.0,0.0,9.99999993922529e-09,9.99999993922529e-09,0.0579289308807347,extension,1.052838294999674,0.23868787370156497,0.28475692874053493,,0.36201893337189206,0.2625803143259079,0.5469317821164926,0.21813934424426407
0.37288835644721985,0.2349353905708071,,0.2921197558316635,0.6697500227019191,0.3302499728742987,1.3862943649291992,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,7,0.0,2.8787765502929688,9.99999993922529e-09,9.99999993922529e-09,0.12694414297584444,0.7077909582294524,0.2922090401407331,0.4625178057467565,0.1414222503080964,0.5951207471080124,9.99999993922529e-09,0.2625536664854735,-0.24146881978958845,9.99999993922529e-09,9.99999993922529e-09,-0.001225812807206239,1.3492444059811532,0.5032070296583697,4.0,1.3862943649291992,0.25,0.25,0.25,0.25,1.0,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,0.27447528357151896,9.99999993922529e-09,0.5489505673758686,9.99999993922529e-09,0.0,0.0,9.99999993922529e-09,9.99999993922529e-09,0.058851614434388466,extension,1.1258665956556797,0.27447528357151896,0.27180402248632163,,0.3668794759682247,0.27295435586619,0.5544434944167733,0.21108727098908275
0.37288836122024804,0.2349353905708071,,0.2624037113127997,0.6612663641571999,0.338733637239784,1.3862943649291992,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,8,0.0,2.8787765502929688,9.99999993922529e-09,9.99999993922529e-09,0.12694889807607979,0.6535177393816411,0.34648226015269756,0.4445077229756862,0.0846276635711547,0.6344877551309764,9.99999993922529e-09,0.25156804302241653,-0.27171358559280634,9.99999993922529e-09,9.99999993922529e-09,0.0019685209254021174,1.323201266117394,0.46959692996460944,4.0,1.3862943649291992,0.25,0.25,0.25,0.25,1.0,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,0.302720493869856,9.99999993922529e-09,0.605440987739712,9.99999993922529e-09,0.0,0.0,9.99999993922529e-09,9.99999993922529e-09,0.05909542909648735,extension,1.2309990501962602,0.302720493869856,0.2604581970954314,,0.3661136920489962,0.26951680628080216,0.5496230727682511,0.20719322166405618
