best_validation_mse,epoch,learning_rate,stage,train_loss,validation_mae,validation_mse
0.6303077717141385,1,0.0001,model,0.650000445486512,0.44006383944553457,0.6303077717141385
0.5736713101752963,2,0.0001,model,0.46471160714281723,0.401779015700918,0.5736713101752963
0.544917199561878,3,0.0001,model,0.43003403482725844,0.37913268248082105,0.544917199561878
0.5323515174375978,4,0.0001,model,0.4135044867871329,0.37167511970453426,0.5323515174375978
0.5199961043262914,5,0.0001,model,0.40437667426886037,0.3610566901760251,0.5199961043262914
0.5144299792790331,6,0.0001,model,0.39738188113551587,0.359315054546521,0.5144299792790331
0.506735823296958,7,0.0001,model,0.39204860519384965,0.3517266188046113,0.506735823296958
0.5058031235988754,8,0.0001,model,0.3868333277059719,0.35091565635478006,0.5058031235988754
0.4968670580666601,9,0.0001,model,0.38173121999716386,0.34546151633763655,0.4968670580666601
0.4911605338472883,10,0.0001,model,0.37637522449949756,0.34121339532660194,0.4911605338472883
