ablation_mode,audit_config_hash,audit_protocol,bank,batch_size,best_epoch,best_stage,best_validation_mse,candidate,checkpoint,config_hash,continuation,continuation_unfreeze_blocks,cross_process_exchange,dataset,effective_batch_size,elapsed_seconds,enhancement_protocol,experiment,extension_epochs,final_candidate,gradient_clip,head_learning_rate,horizon,inference_ms_batch,learning_rate,mae,max_train_windows,max_validation_windows,model,mse,nll,nll_weight,num_windows,parameters,primal_dual,reference_epochs,rmse,scale,seed,selected_config,selected_patch_lens,selector_state_repaired,seq_len,source_metric_mse_difference,source_reported_mae,source_reported_mse,structural_only,train_windows,trainable_parameters,training_ms_optimizer_step,validation_selected_stage,validation_windows,variant,weight_decay,wide_batch_size
neutral_process_scales,ad2290ac1956bdee,latentflow-prior-controls-all28-three-seed-no-exchange-v1,on,16,2,extension,0.9842173008691697,latentflow_process_preserving_unfreeze2,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/prior_controls/checkpoints/neutral_process_scales/seed42/ETTm1/h720.pt,37dff979d0aea310,preserved,2,False,ETTm1,16,150.00591658009216,latentflow-prior-controls-all28-three-seed-no-exchange-v1,prior_controls,10,latentflow_process_preserving_unfreeze2,5.0,0.001,720,8.43554678185116,0.0007,0.4745295849762433,2048,1024,LatentFlow,0.5082176210413356,0.9505617906457682,0.02,10801.0,2026480,False,2,0.7169147259049655,multiscale,42,"{'inducing_points': 32, 'latent_dim': 8, 'patch_lens': [8, 24, 48], 'representation_weight': 0.01}",8-24-48,True,96,-0.005749103178056214,0.479489364208168,0.5139667242193918,False,2048,0,106.91991565072385,extension,1024,neutral_process_scales,0.0001,4
neutral_process_scales,2b3b2433a944add6,latentflow-prior-controls-all28-three-seed-no-exchange-v1,on,16,0,reference,0.39560971763871966,latentflow_process_preserving_unfreeze2,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/prior_controls/checkpoints/neutral_process_scales/seed42/ETTm1/h96.pt,a8a55d4faf63c302,preserved,2,False,ETTm1,16,136.64812968671322,latentflow-prior-controls-all28-three-seed-no-exchange-v1,prior_controls,10,latentflow_process_preserving_unfreeze2,5.0,0.001,96,7.711144242576764,0.0007,0.3788299991861661,2048,1024,LatentFlow,0.34608704034718446,0.6920303287730436,0.02,11425.0,1398606,False,2,0.5882916286563871,multiscale,42,"{'inducing_points': 32, 'latent_dim': 8, 'patch_lens': [8, 24, 48], 'representation_weight': 0.01}",8-24-48,True,96,0.0,0.3788299991861661,0.34608704034718446,False,2048,0,97.01899056817638,reference,1024,neutral_process_scales,0.0001,4
neutral_process_scales,08b579633802cf01,latentflow-prior-controls-all28-three-seed-no-exchange-v1,on,16,2,extension,0.16763624850483166,latentflow_process_preserving_unfreeze2,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/prior_controls/checkpoints/neutral_process_scales/seed42/ETTm2/h192.pt,8ff3106123f26180,preserved,2,False,ETTm2,16,143.67915474111214,latentflow-prior-controls-all28-three-seed-no-exchange-v1,prior_controls,10,latentflow_process_preserving_unfreeze2,5.0,0.001,192,8.060654930907395,0.0007,0.29976832247996393,2048,1024,LatentFlow,0.23998617953597226,0.41885748574901027,0.02,11329.0,1468534,False,2,0.4911103258464411,multiscale,42,"{'inducing_points': 16, 'latent_dim': 8, 'patch_lens': [8, 16, 32], 'representation_weight': 0.001}",8-16-32,True,96,-0.0012031726170252943,0.3007856170117437,0.24118935215299755,False,2048,0,102.07797013354138,extension,1024,neutral_process_scales,0.0001,4
neutral_process_scales,0f66a38d0249ae72,latentflow-prior-controls-all28-three-seed-no-exchange-v1,on,16,0,reference,0.21736542302734999,latentflow_process_preserving_unfreeze2,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/prior_controls/checkpoints/neutral_process_scales/seed42/ETTm2/h336.pt,0ac17f03fca2a324,preserved,2,False,ETTm2,16,150.85865345969796,latentflow-prior-controls-all28-three-seed-no-exchange-v1,prior_controls,10,latentflow_process_preserving_unfreeze2,5.0,0.001,336,8.188211876781589,0.0007,0.34600727935710557,2048,1024,LatentFlow,0.3080357600960941,0.6205653729399347,0.02,11185.0,1612484,False,2,0.5550096936956094,multiscale,42,"{'inducing_points': 16, 'latent_dim': 8, 'patch_lens': [8, 16, 32], 'representation_weight': 0.001}",8-16-32,True,96,0.0,0.34600727935710557,0.3080357600960941,False,2048,0,107.36127501731971,reference,1024,neutral_process_scales,0.0001,4
neutral_process_scales,ceafc0d4425776fe,latentflow-prior-controls-all28-three-seed-no-exchange-v1,on,16,5,extension,0.305223811713476,latentflow_process_preserving_unfreeze2,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/prior_controls/checkpoints/neutral_process_scales/seed42/ETTm2/h720.pt,6fc46d8cd8bc8768,preserved,2,False,ETTm2,16,136.94184308033437,latentflow-prior-controls-all28-three-seed-no-exchange-v1,prior_controls,10,latentflow_process_preserving_unfreeze2,5.0,0.001,720,7.691867865113547,0.0007,0.4085291219513778,2048,1024,LatentFlow,0.4162423367768785,0.7304651860108741,0.02,10801.0,2004620,False,2,0.6443034155442195,multiscale,42,"{'inducing_points': 16, 'latent_dim': 8, 'patch_lens': [8, 16, 32], 'representation_weight': 0.001}",8-16-32,True,96,0.0011154454949311998,0.4080426387217376,0.4151268912819473,False,2048,0,97.35473275504773,extension,1024,neutral_process_scales,0.0001,4
neutral_process_scales,487ab64ae8d775f5,latentflow-prior-controls-all28-three-seed-no-exchange-v1,on,16,4,extension,0.12841733935333433,latentflow_process_preserving_unfreeze2,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/prior_controls/checkpoints/neutral_process_scales/seed42/ETTm2/h96.pt,bdfd5ae84d59d835,preserved,2,False,ETTm2,16,140.99286277825013,latentflow-prior-controls-all28-three-seed-no-exchange-v1,prior_controls,10,latentflow_process_preserving_unfreeze2,5.0,0.001,96,7.919499886367173,0.0007,0.2578973131834672,2048,1024,LatentFlow,0.17369521831241364,-0.0730999090313031,0.02,11425.0,1373530,False,2,0.41677739267998337,multiscale,42,"{'inducing_points': 16, 'latent_dim': 8, 'patch_lens': [8, 16, 32], 'representation_weight': 0.001}",8-16-32,True,96,-8.17673671144048e-06,0.25868614344245583,0.17370339504912508,False,2048,0,100.17583821245353,extension,1024,neutral_process_scales,0.0001,4
neutral_process_scales,f0949274743f859b,latentflow-prior-controls-all28-three-seed-no-exchange-v1,on,16,10,extension,0.1426188002803739,latentflow_process_preserving_unfreeze2,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/prior_controls/checkpoints/neutral_process_scales/seed42/Electricity/h192.pt,d9e65c6b05488b99,preserved,2,False,Electricity,16,664.0513416938484,latentflow-prior-controls-all28-three-seed-no-exchange-v1,prior_controls,10,latentflow_process_preserving_unfreeze2,5.0,0.001,192,7.7224411776563,0.0007,0.2612070281782526,2048,1024,LatentFlow,0.16693209471682463,0.3038331777580248,0.02,5071.0,1482127,False,2,0.4192419361961184,multiscale,42,"{'inducing_points': 32, 'latent_dim': 16, 'patch_lens': [8, 16, 32], 'representation_weight': 0.001}",8-16-32,True,96,-0.008831706348645552,0.26660545980262707,0.17576380106547018,False,2048,0,494.47584849694977,extension,1024,neutral_process_scales,0.0001,4
neutral_process_scales,f3b7fb783bb2af5a,latentflow-prior-controls-all28-three-seed-no-exchange-v1,on,16,10,extension,0.16216628513638937,latentflow_process_preserving_unfreeze2,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/prior_controls/checkpoints/neutral_process_scales/seed42/Electricity/h336.pt,8be8a7305c0e0b8d,preserved,2,False,Electricity,16,666.4369754358195,latentflow-prior-controls-all28-three-seed-no-exchange-v1,prior_controls,10,latentflow_process_preserving_unfreeze2,5.0,0.001,336,7.947286905160522,0.0007,0.2824431023667762,2048,1024,LatentFlow,0.18818766146631263,0.3800296198288616,0.02,4927.0,1626077,False,2,0.4412745539264448,multiscale,42,"{'inducing_points': 32, 'latent_dim': 16, 'patch_lens': [8, 16, 32], 'representation_weight': 0.001}",8-16-32,True,96,-0.006535570476670222,0.2852614630619167,0.19472323194298286,False,2048,0,496.3218840312038,extension,1024,neutral_process_scales,0.0001,4
neutral_process_scales,617c57163af6ba3b,latentflow-prior-controls-all28-three-seed-no-exchange-v1,on,16,8,extension,0.1963987669345622,latentflow_process_preserving_unfreeze2,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/prior_controls/checkpoints/neutral_process_scales/seed42/Electricity/h720.pt,806fd0caf5617696,preserved,2,False,Electricity,16,692.609485372901,latentflow-prior-controls-all28-three-seed-no-exchange-v1,prior_controls,10,latentflow_process_preserving_unfreeze2,5.0,0.001,720,7.6813733129642205,0.0007,0.30737657578396677,2048,1024,LatentFlow,0.21610858742468986,0.5119766241885375,0.02,4543.0,2018213,False,2,0.4833491043954529,multiscale,42,"{'inducing_points': 32, 'latent_dim': 16, 'patch_lens': [8, 16, 32], 'representation_weight': 0.001}",8-16-32,True,96,-0.017517769295196578,0.3171761386624937,0.23362635671988644,False,2048,0,517.3975233876263,extension,1024,neutral_process_scales,0.0001,4
neutral_process_scales,7081ede1f043e55b,latentflow-prior-controls-all28-three-seed-no-exchange-v1,on,16,10,extension,0.13244154900776633,latentflow_process_preserving_unfreeze2,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/prior_controls/checkpoints/neutral_process_scales/seed42/Electricity/h96.pt,ce54269b586296dd,preserved,2,False,Electricity,16,640.9746858337894,latentflow-prior-controls-all28-three-seed-no-exchange-v1,prior_controls,10,latentflow_process_preserving_unfreeze2,5.0,0.001,96,7.526554100489778,0.0007,0.2495280384279761,2048,1024,LatentFlow,0.15406388881613473,0.23007617100339187,0.02,5167.0,1387123,False,2,0.4036782111236462,multiscale,42,"{'inducing_points': 32, 'latent_dim': 16, 'patch_lens': [8, 16, 32], 'representation_weight': 0.001}",8-16-32,True,96,-0.008892209319852379,0.25528010939529894,0.1629560981359871,False,2048,0,476.2078237148671,extension,1024,neutral_process_scales,0.0001,4
