dataset,early_reference_selections,extension_allclose,extension_bitwise_identical,fits,maximum_extension_absolute_difference,maximum_selected_absolute_difference,mean_extension_absolute_difference,mean_selected_absolute_difference,selected_allclose,selected_bitwise_identical,x_to_z_reference_selections
ETTh1,8,0,0,20,3.2438840866088867,4.592921733856201,0.08214219208788329,0.06447099355065275,0,0,10
ETTh2,16,0,0,20,4.046159744262695,4.118933200836182,0.127562216136683,0.05453692501727962,0,0,13
ETTm1,5,0,0,20,5.29099702835083,8.031604766845703,0.0878421833592704,0.07412968494502555,0,0,7
ETTm2,5,0,0,20,2.6263625621795654,3.7197885513305664,0.055540363821212045,0.060730091411653586,0,0,8
Electricity,0,0,0,20,5.216065406799316,5.216065406799316,0.056629915024530464,0.056629915024530464,0,0,0
Traffic,0,0,0,20,19.261659622192383,19.261659622192383,0.059445985115022304,0.059445985115022304,0,0,0
Weather,0,0,0,20,3.139604091644287,3.139604091644287,0.022939630444120087,0.022939630444120087,0,0,0
Overall,34,0,0,140,19.261659622192383,19.261659622192383,0.07030035514124594,0.05612617507261205,0,0,38
