audit_config_hash,audit_protocol,candidate,cross_process_exchange,dataset,early_best_raw_extension_epoch,early_best_raw_extension_validation_mse,early_elapsed_seconds,early_extension_mae,early_extension_mse,early_extension_nll,early_extension_replay_from_seed,early_extension_retrained,early_reference_mae,early_reference_mse,early_reference_nll,early_selected_mae,early_selected_mse,early_selected_nll,early_source_metric_matches_selected_checkpoint,early_source_metric_mse_difference,early_source_reported_mae,early_source_reported_mse,early_validation_selected_stage,extension_allclose_rtol1e_6_atol1e_7,extension_bitwise_identical,extension_epochs,extension_left_prediction_sha256,extension_maximum_absolute_difference,extension_mean_absolute_difference,extension_right_prediction_sha256,extension_root_mean_square_difference,horizon,primal_dual,seed,selected_allclose_rtol1e_6_atol1e_7,selected_bitwise_identical,selected_left_prediction_sha256,selected_maximum_absolute_difference,selected_mean_absolute_difference,selected_right_prediction_sha256,selected_root_mean_square_difference,train_windows,validation_windows,variant,x_to_z_best_raw_extension_epoch,x_to_z_best_raw_extension_validation_mse,x_to_z_elapsed_seconds,x_to_z_extension_mae,x_to_z_extension_mse,x_to_z_extension_nll,x_to_z_extension_replay_from_seed,x_to_z_extension_retrained,x_to_z_reference_mae,x_to_z_reference_mse,x_to_z_reference_nll,x_to_z_selected_mae,x_to_z_selected_mse,x_to_z_selected_nll,x_to_z_source_metric_matches_selected_checkpoint,x_to_z_source_metric_mse_difference,x_to_z_source_reported_mae,x_to_z_source_reported_mse,x_to_z_validation_selected_stage
dcf26dfeb7c4b1e8,latentflow-fusion-identity-audit-all28-five-seed-v1,latentflow_process_preserving_unfreeze2,False,ETTh1,2,1.01528117309014,nan,0.43983612416217793,0.4515331023225249,0.8340886029314046,False,False,0.4359484592005332,0.4454155189162745,0.8634899504878966,0.43983612416217793,0.4515331023225249,0.8340886029314046,False,0.006117583406250404,0.4359484592005332,0.4454155189162745,extension,False,False,10,64043ad35803d41dd2e0253fde398dc53f0cb37fb005d726ce65276eb5fd8aeb,0.5891232490539551,0.030922083328164925,09d0532ead97ba152f3e7a5e538c696455fa0c680987b12e9027cf97a060ef7f,0.046730922461001426,192,False,42,False,False,64043ad35803d41dd2e0253fde398dc53f0cb37fb005d726ce65276eb5fd8aeb,0.5891232490539551,0.030922083328164925,09d0532ead97ba152f3e7a5e538c696455fa0c680987b12e9027cf97a060ef7f,0.046730922461001426,2048,1024,early_fusion_vs_x_to_z,2,1.0174125855167706,nan,0.4409708833615927,0.45282190249546295,0.8378455186253722,False,False,0.4359484592005332,0.4454155189162745,0.8634899504878966,0.4409708833615927,0.45282190249546295,0.8378455186253722,False,0.007406383579188436,0.4359484592005332,0.4454155189162745,extension
57d6d79fb4f16196,latentflow-fusion-identity-audit-all28-five-seed-v1,latentflow_process_preserving_unfreeze2,False,ETTh1,2,1.3275982461819031,136.99623471312225,0.4619690226298974,0.48341271191026447,0.9175248673950525,True,True,0.45415585197978037,0.4817180077371921,0.9034206312625488,0.45415585197978037,0.4817180077371921,0.9034206312625488,nan,nan,nan,nan,reference,False,False,10,3d353b0198ac55ac4967c92f027568cae753a7d4ad9e230e67e20e927fb07ee0,1.2806949615478516,0.08695772547096305,7675c76966350fd30c6070b6b853105ff6c4a1d2352a95fa9b9f8d6f39d63d57,0.1245925368212179,336,False,42,False,False,4b795c1b99f548bcf4714b11f30f60583c834e7a4add978a949adae3e972d1e1,0.4097662568092346,0.02710666394345992,dd7dc0d6bf61bbbb4c269f59dda294d4677603902605c6980c0b875cf511b402,0.04089016077732504,2048,1024,early_fusion_vs_x_to_z,2,1.329678364756967,82.24747200869024,0.46459475832691716,0.485694982325443,0.9466327779185327,True,True,0.45415585197978037,0.4817180077371921,0.9034206312625488,0.45415585197978037,0.4817180077371921,0.9034206312625488,nan,nan,nan,nan,reference
056c2a66f2627f72,latentflow-fusion-identity-audit-all28-five-seed-v1,latentflow_process_preserving_unfreeze2,False,ETTh1,1,1.5587898814488972,nan,0.48038052570197903,0.491702496795577,0.963275383601085,False,False,0.4786009474572534,0.49215886750318655,0.9803334076279901,0.48038052570197903,0.491702496795577,0.963275383601085,False,-0.0004563707076095658,0.4786009474572534,0.49215886750318655,extension,False,False,10,5d87ef797753134ac3d98f78fdeee898ee7a62dd1b2b36a3b6837424c8278717,0.471554160118103,0.02389166846644977,1eec3b49eece977cf5348a01abff7374f8f454a0c227254391f705762bcd65e1,0.03651611860935146,720,False,42,False,False,5d87ef797753134ac3d98f78fdeee898ee7a62dd1b2b36a3b6837424c8278717,0.471554160118103,0.02389166846644977,1eec3b49eece977cf5348a01abff7374f8f454a0c227254391f705762bcd65e1,0.03651611860935146,2048,1024,early_fusion_vs_x_to_z,1,1.5585196941617936,nan,0.4801300120110452,0.4937058296146733,0.9666328803084063,False,False,0.4786009474572534,0.49215886750318655,0.9803334076279901,0.4801300120110452,0.4937058296146733,0.9666328803084063,False,0.0015469621114867493,0.4786009474572534,0.49215886750318655,extension
7e0254de71753f1f,latentflow-fusion-identity-audit-all28-five-seed-v1,latentflow_process_preserving_unfreeze2,False,ETTh1,4,0.7886557586136318,132.68185788579285,0.4294089979765466,0.4260850029745051,0.7814442510236743,True,True,0.4114095289177025,0.4032240676423306,0.8014270490975097,0.4114095289177025,0.4032240676423306,0.8014270490975097,nan,nan,nan,nan,reference,False,False,10,442add83309509ff140c3d75ddefbaa9cc58a5a01da24fd521c743dae5ed6cae,2.2590081691741943,0.14093019964378906,52e330607f81e1c40f9b20714ef52cd92a7e71a2772c1f763a4f5d0541100422,0.20441471227495844,96,False,42,False,False,6c617ab8e4bc2ca29d5c96db93d1eb007b7d83adade7fa725f924337e138a2d3,0.2892104387283325,0.022415354949972346,9ab7fe8839c0c8174bf9d5bfd789c91a7ab0110a7cb11cf87e0c44083297da21,0.034048728980619974,2048,1024,early_fusion_vs_x_to_z,4,0.7932415831656683,80.5715563185513,0.429083305372584,0.419060089654002,0.8017020473360373,True,True,0.4114095289177025,0.4032240676423306,0.8014270490975097,0.4114095289177025,0.4032240676423306,0.8014270490975097,nan,nan,nan,nan,reference
46cf56d667fa27cd,latentflow-fusion-identity-audit-all28-five-seed-v1,latentflow_process_preserving_unfreeze2,False,ETTh2,4,0.29107278780568213,128.46582308597863,0.4099718524797956,0.3999451894631273,0.64171203959549,True,True,0.3902497946414888,0.36935875294162884,0.7447876191662341,0.3902497946414888,0.36935875294162884,0.7447876191662341,nan,nan,nan,nan,reference,False,False,10,be655e5e0a9bf8c4147056c63584f21b041c6e873e9f00076bef24baf32d1498,3.237156867980957,0.14982758819005382,4171814a3844fd25988315d5b5edb37772723e7ad25fb5fe926902a2992a8ba3,0.23151767234453782,192,False,42,False,False,47eb943676087ffa2560b40d03d917764407add9476a70a2695fd688435237f9,0.2712712287902832,0.016415479315992486,be33b0c3c194f650b09e5dbd970fe428fa97abc9caa871ff67dbdb8cdb26cefd,0.024520550420541246,2048,1024,early_fusion_vs_x_to_z,6,0.2871463804372719,77.40724993124604,0.41111460550976975,0.39218456884604147,0.688660143874932,True,True,0.3902497946414888,0.36935875294162884,0.7447876191662341,0.3902497946414888,0.36935875294162884,0.7447876191662341,nan,nan,nan,nan,reference
01c20efb1c295b45,latentflow-fusion-identity-audit-all28-five-seed-v1,latentflow_process_preserving_unfreeze2,False,ETTh2,1,0.35862930717111446,132.2970233479864,0.44219040547753247,0.4398158398530819,0.8585542156560482,True,True,0.42654472275517485,0.41643647069421075,0.8393445930218649,0.42654472275517485,0.41643647069421075,0.8393445930218649,True,0.0,0.42654472275517485,0.41643647069421075,reference,False,False,10,3ceea03a92d87715fdc008a3c4c3a3154fbc1004cbc267020c13eb510b4fd332,4.046159744262695,0.1810875963174025,3cbe6d4bfeb3a1021acbd00f5f8152aa36f61259904005ba42c5036a09676426,0.3113731307914256,336,False,42,False,False,bb04ba04c0879fdfcb9f865b3260e8ac83cb6686e3e74979b43272bf08e6654b,0.2630465030670166,0.01600796106190957,8659919e9ff2d492b6a674b2f4e2a5cac72540fd37575f4da9a8f966a76750ee,0.023705699314928864,2048,1024,early_fusion_vs_x_to_z,6,0.3661665454202769,79.64822859200649,0.43850202860586923,0.4301699505135505,0.8423578916223672,True,True,0.42654472275517485,0.41643647069421075,0.8393445930218649,0.42654472275517485,0.41643647069421075,0.8393445930218649,True,0.0,0.42654472275517485,0.41643647069421075,reference
6ec219f9357569de,latentflow-fusion-identity-audit-all28-five-seed-v1,latentflow_process_preserving_unfreeze2,False,ETTh2,3,0.6184925679176573,139.69084491860121,0.4688615657408263,0.4609416197822628,0.9843153045553678,True,True,0.43879702215362193,0.4136213828137338,0.8620367518512809,0.43879702215362193,0.4136213828137338,0.8620367518512809,True,0.0,0.43879702215362193,0.4136213828137338,reference,False,False,10,f9c8e43b71a3f268663c5dab9f78764d179e8e1c77e634b95b182a1e3531d46f,2.4040465354919434,0.09544633041473945,b20ac28fad493528354632587f3ce6e7e10e886c3ced2873aae19dacb1ac7e2b,0.15320987806425254,720,False,42,False,False,9e1aeed2f9c8e2cb04e0934f2fd9829eea5e1111aea021b6119932be19e76e57,0.3261106014251709,0.016282763999429177,3666e4a91011cd3d4d0d62c8f316acf7cb753b9d0cb35e0849bad1ec93724212,0.024355618430941684,2048,1024,early_fusion_vs_x_to_z,3,0.6248436642071558,83.86934803240001,0.465734355293799,0.45552138222518385,0.9774357105283371,True,True,0.43879702215362193,0.4136213828137338,0.8620367518512809,0.43879702215362193,0.4136213828137338,0.8620367518512809,True,0.0,0.43879702215362193,0.4136213828137338,reference
88087cba533023b4,latentflow-fusion-identity-audit-all28-five-seed-v1,latentflow_process_preserving_unfreeze2,False,ETTh2,3,0.22745125953640258,123.24426661711186,0.35294501294924213,0.30320382923348965,0.517873776782993,True,True,0.34268046750302417,0.2934846773242975,0.5993597335832551,0.34268046750302417,0.2934846773242975,0.5993597335832551,True,0.0,0.34268046750302417,0.2934846773242975,reference,False,False,10,71feacecdf456a8e3461f6a4743a1db917fd25ede899671084e0e6d5e12ed11f,2.466280937194824,0.1088452128482254,21d1b7814101e8ad1423bd5ef5689c27e5c61cdc8f6144cb580320499e202893,0.1698551265925966,96,False,42,False,False,9b863a23a0d9af73a7e857a67ca86ec59c87785fa4020f1f8aaf46ab0197a033,0.2356109619140625,0.01534195470945462,987ad3f3e08621db66787586b6184282de80e025976d67ccd12213d81c01b7f6,0.022895947447533097,2048,1024,early_fusion_vs_x_to_z,3,0.23381410716545015,75.03649432794191,0.36358189973768396,0.31687269093410025,0.5857718240998057,True,True,0.34268046750302417,0.2934846773242975,0.5993597335832551,0.34268046750302417,0.2934846773242975,0.5993597335832551,True,0.0,0.34268046750302417,0.2934846773242975,reference
4af91976d557776a,latentflow-fusion-identity-audit-all28-five-seed-v1,latentflow_process_preserving_unfreeze2,False,ETTm1,1,0.5081209504001197,nan,0.3979612943014343,0.38073329260836425,0.7375220950551167,False,False,0.399763873331066,0.38498163545956293,0.7524897284021191,0.3979612943014343,0.38073329260836425,0.7375220950551167,False,-0.004248342851198683,0.399763873331066,0.38498163545956293,extension,False,False,10,335da42aed1ef19ece4579e0f4c1445d4998667db34219d1bd10cd8b6ab06c5d,0.3008791208267212,0.010392840029603447,b503fd39a44d437dd5a7027637fc545ac0a2bf4f7056fc10d1bcd78009aab35e,0.01715541948933647,192,False,42,False,False,335da42aed1ef19ece4579e0f4c1445d4998667db34219d1bd10cd8b6ab06c5d,0.3008791208267212,0.010392840029603447,b503fd39a44d437dd5a7027637fc545ac0a2bf4f7056fc10d1bcd78009aab35e,0.01715541948933647,2048,1024,early_fusion_vs_x_to_z,1,0.5082811280375436,nan,0.39896935183470317,0.3825774299658429,0.7378209095176315,False,False,0.399763873331066,0.38498163545956293,0.7524897284021191,0.39896935183470317,0.3825774299658429,0.7378209095176315,False,-0.0024042054937200574,0.399763873331066,0.38498163545956293,extension
9aa7f62d71e89f87,latentflow-fusion-identity-audit-all28-five-seed-v1,latentflow_process_preserving_unfreeze2,False,ETTm1,4,0.6516235282226485,nan,0.42687042968458966,0.4371709093119028,0.7876966436899395,False,False,0.4212892901389582,0.4229558263398904,0.8044646800177194,0.42687042968458966,0.4371709093119028,0.7876966436899395,False,0.014215082972012405,0.4212892901389582,0.4229558263398904,extension,False,False,10,88a630fd888f2fb1d36aaf348eeb31645351df9751e170f93fad52f17102f3ab,1.6422579288482666,0.05951994013176588,df121a851829423ae00027446bb6e37ed2586c627ea058ecd962e64a15e59422,0.09710670197506596,336,False,42,False,False,88a630fd888f2fb1d36aaf348eeb31645351df9751e170f93fad52f17102f3ab,1.6422579288482666,0.05951994013176588,df121a851829423ae00027446bb6e37ed2586c627ea058ecd962e64a15e59422,0.09710670197506596,2048,1024,early_fusion_vs_x_to_z,4,0.6543823973256715,nan,0.4286655663012033,0.4416791407553785,0.7918485303728721,False,False,0.4212892901389582,0.4229558263398904,0.8044646800177194,0.4286655663012033,0.4416791407553785,0.7918485303728721,False,0.018723314415488135,0.4212892901389582,0.4229558263398904,extension
