audit_config_hash,audit_protocol,best_raw_extension_epoch,best_raw_extension_validation_mse,candidate,cross_process_exchange,dataset,elapsed_seconds,extension_epochs,extension_mae,extension_mse,extension_nll,extension_replay_from_seed,extension_retrained,horizon,primal_dual,reference_mae,reference_mse,reference_nll,seed,selected_mae,selected_mse,selected_nll,source_metric_matches_selected_checkpoint,source_metric_mse_difference,source_reported_mae,source_reported_mse,train_windows,validation_selected_stage,validation_windows,variant
6a01a082d45ef20d,latentflow-reference-extension-audit-all28-five-seed-v1,2,1.0223425460003672,latentflow_process_preserving_unfreeze2,False,ETTh1,nan,10,0.4382346060930079,0.4491692546255481,0.8387848381306345,False,False,192,False,0.4359484592005332,0.4454155189162745,0.8634899504878966,42,0.4382346060930079,0.4491692546255481,0.8387848381306345,nan,nan,nan,nan,2048,extension,1024,final_no_exchange
5c2c00f2bffc8b23,latentflow-reference-extension-audit-all28-five-seed-v1,2,1.3520393071531438,latentflow_process_preserving_unfreeze2,False,ETTh1,128.97537049278617,10,0.4748044640723201,0.5022185665870021,0.897160328488453,True,True,336,False,0.45415585197978037,0.4817180077371921,0.9034206312625488,42,0.45415585197978037,0.4817180077371921,0.9034206312625488,nan,nan,nan,nan,2048,reference,1024,final_no_exchange
3dd941337100e35c,latentflow-reference-extension-audit-all28-five-seed-v1,1,1.5582507549770295,latentflow_process_preserving_unfreeze2,False,ETTh1,nan,10,0.4813452491489303,0.4978506061287795,0.9699111500033512,False,False,720,False,0.4786009474572534,0.49215886750318655,0.9803334076279901,42,0.4813452491489303,0.4978506061287795,0.9699111500033512,nan,nan,nan,nan,2048,extension,1024,final_no_exchange
6c28738a9ba380da,latentflow-reference-extension-audit-all28-five-seed-v1,4,0.8010333081086477,latentflow_process_preserving_unfreeze2,False,ETTh1,129.27375687658787,10,0.427385658152625,0.4170918815164696,0.8071071407953327,True,True,96,False,0.4114095289177025,0.4032240676423306,0.8014270490975097,42,0.4114095289177025,0.4032240676423306,0.8014270490975097,nan,nan,nan,nan,2048,reference,1024,final_no_exchange
2e01114ab263cabf,latentflow-reference-extension-audit-all28-five-seed-v1,4,0.2899782178657396,latentflow_process_preserving_unfreeze2,False,ETTh2,134.68418392632157,10,0.42232864565790956,0.4146869120817136,0.7049678200990925,True,True,192,False,0.3902497946414888,0.36935875294162884,0.7447876191662341,42,0.3902497946414888,0.36935875294162884,0.7447876191662341,nan,nan,nan,nan,2048,reference,1024,final_no_exchange
de67923bb196db37,latentflow-reference-extension-audit-all28-five-seed-v1,1,0.3718521963982355,latentflow_process_preserving_unfreeze2,False,ETTh2,129.9550483399653,10,0.45622932072408984,0.46421806598827137,0.8647759295634062,True,True,336,False,0.42654472275517485,0.41643647069421075,0.8393445930218649,42,0.42654472275517485,0.41643647069421075,0.8393445930218649,True,0.0,0.42654472275517485,0.41643647069421075,2048,reference,1024,final_no_exchange
5eea262d6d35da50,latentflow-reference-extension-audit-all28-five-seed-v1,4,0.6259606847687373,latentflow_process_preserving_unfreeze2,False,ETTh2,129.6708132722415,10,0.4713791695480866,0.46871942508219183,0.9581707534498773,True,True,720,False,0.43879702215362193,0.4136213828137338,0.8620367518512809,42,0.43879702215362193,0.4136213828137338,0.8620367518512809,True,0.0,0.43879702215362193,0.4136213828137338,2048,reference,1024,final_no_exchange
24719ad74338ac43,latentflow-reference-extension-audit-all28-five-seed-v1,2,0.24261766015773728,latentflow_process_preserving_unfreeze2,False,ETTh2,127.10922169405967,10,0.372164625957235,0.32759843210567824,0.6240440774702298,True,True,96,False,0.34268046750302417,0.2934846773242975,0.5993597335832551,42,0.34268046750302417,0.2934846773242975,0.5993597335832551,True,0.0,0.34268046750302417,0.2934846773242975,2048,reference,1024,final_no_exchange
5a359463a5b3f392,latentflow-reference-extension-audit-all28-five-seed-v1,1,0.5075973019536052,latentflow_process_preserving_unfreeze2,False,ETTm1,nan,10,0.3981603579841484,0.3814517224517801,0.7383713886011561,False,False,192,False,0.399763873331066,0.38498163545956293,0.7524897284021191,42,0.3981603579841484,0.3814517224517801,0.7383713886011561,nan,nan,nan,nan,2048,extension,1024,final_no_exchange
543e905d1d4dc846,latentflow-reference-extension-audit-all28-five-seed-v1,4,0.6491966586129195,latentflow_process_preserving_unfreeze2,False,ETTm1,nan,10,0.4231034709367134,0.4288199721249567,0.7859593819815184,False,False,336,False,0.4212892901389582,0.4229558263398904,0.8044646800177194,42,0.4231034709367134,0.4288199721249567,0.7859593819815184,True,0.0,0.42310347093207323,0.4288199721249567,2048,extension,1024,final_no_exchange
abf4053b9e4abbe0,latentflow-reference-extension-audit-all28-five-seed-v1,2,0.9847933825992402,latentflow_process_preserving_unfreeze2,False,ETTm1,nan,10,0.4763382313587202,0.5109426959394284,0.9498112311728321,False,False,720,False,0.479489364208168,0.5139667242193918,0.9600440554017988,42,0.4763382313587202,0.5109426959394284,0.9498112311728321,True,0.0,0.4763382313587202,0.5109426959394284,2048,extension,1024,final_no_exchange
d6c45ca60025e44d,latentflow-reference-extension-audit-all28-five-seed-v1,7,0.414486220904759,latentflow_process_preserving_unfreeze2,False,ETTm1,124.88682282203808,10,0.39646333990388205,0.37207132243086577,0.8201130156887438,True,True,96,False,0.3788299991861661,0.34608704034718446,0.6920303287730436,42,0.3788299991861661,0.34608704034718446,0.6920303287730436,True,0.0,0.3788299991861661,0.34608704034718446,2048,reference,1024,final_no_exchange
4f67868d0389fc51,latentflow-reference-extension-audit-all28-five-seed-v1,2,0.16771258333964006,latentflow_process_preserving_unfreeze2,False,ETTm2,nan,10,0.29985980195175266,0.240267113795599,0.4232505226810469,False,False,192,False,0.3007856170117437,0.24118935215299755,0.4750112531629745,42,0.29985980195175266,0.240267113795599,0.4232505226810469,True,1.0021428131778976e-12,0.29985980195175266,0.24026711379459686,2048,extension,1024,final_no_exchange
5ef09437585eeeaa,latentflow-reference-extension-audit-all28-five-seed-v1,2,0.22269347026234582,latentflow_process_preserving_unfreeze2,False,ETTm2,126.93444143002853,10,0.3550780093522819,0.31942692144091256,0.6435542796571498,True,True,336,False,0.34600727935710557,0.3080357600960941,0.6205653729399347,42,0.34600727935710557,0.3080357600960941,0.6205653729399347,True,0.0,0.34600727935710557,0.3080357600960941,2048,reference,1024,final_no_exchange
5bb6a0c4b5ca0e18,latentflow-reference-extension-audit-all28-five-seed-v1,3,0.3111776712394896,latentflow_process_preserving_unfreeze2,False,ETTm2,133.65857178904116,10,0.413736346743484,0.42179549243503794,0.8661915476747535,True,True,720,False,0.4080426387217376,0.4151268912819473,0.7939398848075644,42,0.4080426387217376,0.4151268912819473,0.7939398848075644,True,0.0,0.4080426387217376,0.4151268912819473,2048,reference,1024,final_no_exchange
b6144fa727979ab5,latentflow-reference-extension-audit-all28-five-seed-v1,5,0.12927979000267528,latentflow_process_preserving_unfreeze2,False,ETTm2,nan,10,0.257860130710727,0.17291838965217707,-0.06199190348136102,False,False,96,False,0.25868614344245583,0.17370339504912508,0.33479018825198026,42,0.257860130710727,0.17291838965217707,-0.06199190348136102,True,0.0,0.257860130710727,0.17291838965217707,2048,extension,1024,final_no_exchange
5f68166aab0eeaba,latentflow-reference-extension-audit-all28-five-seed-v1,10,0.14455623493016323,latentflow_process_preserving_unfreeze2,False,Electricity,nan,10,0.26127450628241405,0.1681670312892115,0.30362129948696803,False,False,192,False,0.26660545980262707,0.17576380106547018,0.3233452785052719,42,0.26127450628241405,0.1681670312892115,0.30362129948696803,True,0.0,0.26127450628241405,0.1681670312892115,2048,extension,1024,final_no_exchange
2367cdca83e6e3ca,latentflow-reference-extension-audit-all28-five-seed-v1,10,0.16378484368589544,latentflow_process_preserving_unfreeze2,False,Electricity,nan,10,0.28152332612222486,0.18843780383783904,0.37546916390399265,False,False,336,False,0.2852614630619167,0.19472323194298286,0.395848911348598,42,0.28152332612222486,0.18843780383783904,0.37546916390399265,True,0.0,0.28152332612222486,0.18843780383783904,2048,extension,1024,final_no_exchange
ed062823f165b0ae,latentflow-reference-extension-audit-all28-five-seed-v1,8,0.19849747442877305,latentflow_process_preserving_unfreeze2,False,Electricity,nan,10,0.30604294139258575,0.21710751921437585,0.5090071792883835,False,False,720,False,0.3171761386624937,0.23362635671988644,0.5025557669647565,42,0.30604294139258575,0.21710751921437585,0.5090071792883835,True,0.0,0.30604294139258575,0.21710751921437585,2048,extension,1024,final_no_exchange
58020b36b43e0546,latentflow-reference-extension-audit-all28-five-seed-v1,10,0.13439970472024856,latentflow_process_preserving_unfreeze2,False,Electricity,nan,10,0.2504470158050064,0.155398536110307,0.23540854914537815,False,False,96,False,0.25528010939529894,0.1629560981359871,0.27267695480616244,42,0.2504470158050064,0.155398536110307,0.23540854914537815,True,0.0,0.2504470158050064,0.155398536110307,2048,extension,1024,final_no_exchange
92b22207d8de1e8e,latentflow-reference-extension-audit-all28-five-seed-v1,10,0.38689874459493095,latentflow_process_preserving_unfreeze2,False,Traffic,nan,10,0.29962644481342643,0.4515534500757732,0.37171892565429554,False,False,192,False,0.30903464282904125,0.46258079488073733,0.47329449786519245,42,0.29962644481342643,0.4515534500757732,0.37171892565429554,True,0.0,0.29962644481342643,0.4515534500757732,2048,extension,1024,final_no_exchange
4c1be366a11b03bb,latentflow-reference-extension-audit-all28-five-seed-v1,9,0.397188441633006,latentflow_process_preserving_unfreeze2,False,Traffic,nan,10,0.2989559360134544,0.45954158156682345,0.3590691180116548,False,False,336,False,0.31004021560593426,0.46936524077227076,0.4720759223014351,42,0.2989559360134544,0.45954158156682345,0.3590691180116548,True,0.0,0.2989559360134544,0.45954158156682345,2048,extension,1024,final_no_exchange
07320f66d1b242bc,latentflow-reference-extension-audit-all28-five-seed-v1,10,0.4442139204890189,latentflow_process_preserving_unfreeze2,False,Traffic,nan,10,0.31804934173138644,0.49145426921709967,0.43259285110079315,False,False,720,False,0.32889101650072566,0.5047611731701186,0.5379543296328073,42,0.31804934173138644,0.49145426921709967,0.43259285110079315,True,0.0,0.31804934173138644,0.49145426921709967,2048,extension,1024,final_no_exchange
1f6e02d1d6f12f9f,latentflow-reference-extension-audit-all28-five-seed-v1,10,0.3879883384298928,latentflow_process_preserving_unfreeze2,False,Traffic,nan,10,0.2921953691982355,0.4312567918068039,0.360589387683446,False,False,96,False,0.30567942414674226,0.4450950661287888,0.4628155537745963,42,0.2921953691982355,0.4312567918068039,0.360589387683446,True,0.0,0.2921953691982355,0.4312567918068039,2048,extension,1024,final_no_exchange
