dataset,fallback_regret_vs_test_oracle_percent,fits,raw_extension_mse,reference_mse,selected_mse,test_extension_better,test_reference_better,test_ties,validation_selected_extension,validation_selected_reference
ETTh1,0.4560158095870581,20,0.4790184789075127,0.4597375590301711,0.46109726870069334,8,12,0,12,8
ETTh2,0.025214922532771352,20,0.40499321029697183,0.3830011359066471,0.3813876373973065,6,14,0,7,13
ETTm1,0.9021373177174696,20,0.4155718693169427,0.41207933187222884,0.41285687395405607,11,9,0,14,6
ETTm2,0.0,20,0.28646192103798157,0.28559759422915915,0.28460718656602957,15,5,0,15,5
Electricity,0.0,20,0.18429601724911213,0.19266114618611502,0.18429601724911213,20,0,0,20,0
Traffic,0.0,20,0.4599022007676756,0.47246656842601664,0.4599022007676756,20,0,0,20,0
Weather,0.007659040237425473,20,0.25158458304284514,0.2541380257621316,0.25158458304284514,18,2,0,20,0
Overall,0.19871815572496065,140,0.3545468972312917,0.35138305163035277,0.3479616810968169,98,42,0,108,32
