base_mse,best_validation_mse,best_validation_nll,between_component_variance,continuation_field_weight,continuation_linear_weight,continuation_process_entropy,continuation_process_information_bits,continuation_process_weight_0,continuation_process_weight_1,continuation_process_weight_2,continuation_process_weight_3,cross_effective_ratio,cross_effective_ratio_max,cross_exact_spectral_norm,cross_gate,cross_spectral_norm,epoch,fenchel_primal,inducing_minimum_gap,latent_reconstruction_mse,latent_reconstruction_ratio,latent_variance_gain,mixture_base_weight,mixture_latent_weight,mixture_nll,mixture_routing_information_bits,mixture_weight_entropy,observation_noise_std,point_mse,point_regret,posterior_future_variance,posterior_past_variance,predictive_mean,predictive_second_moment,predictive_variance,process_axis_size_at_field_exit,process_energy_entropy,process_energy_innovation,process_energy_load_daily,process_energy_load_weekly,process_energy_thermal,process_fusion_after_future_decode,process_future_variance_innovation,process_future_variance_load_daily,process_future_variance_load_weekly,process_future_variance_thermal,process_signal_reconstruction_ratio,representation_gaussian_nll,representation_objective,representation_trace_correction,sample_dual_norm,selected_reference_only,sensor_group_electrical_load_process_0,sensor_group_electrical_load_process_1,sensor_group_electrical_load_process_2,sensor_group_electrical_load_process_3,sensor_group_entropy,sensor_group_mass_electrical_load,sensor_group_mass_oil_temperature,sensor_group_oil_temperature_process_0,sensor_group_oil_temperature_process_1,sensor_group_oil_temperature_process_2,sensor_group_oil_temperature_process_3,sensor_group_prior_kl,soft_miscoverage_90,stage,standardized_error_second_moment,structural_reconstruction_ratio,total,train_nll,validation_mae,validation_mse,validation_nll,within_component_variance
,,1.040335938334465,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reference,,,,0.706554695032537,,,1.040335938334465,
,,1.0340270983676116,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reference,,,,0.6883988582994789,,,1.0340270983676116,
0.29627659264951944,0.5470793195187099,,0.028694301586256188,0.7066156757064164,0.2933843224309385,1.3399890791624784,0.06680440535019727,0.33996120654046535,0.20425959100248292,0.21241667994763702,0.2433625243138522,0.0014516016241241658,0.0036935511875837435,0.62446338198788,0.018161143685574643,0.6923518157690838,1,0.0,2.7863448467105627,0.007427363030728884,0.0654124415887054,0.1309456875314936,0.9765559029765427,0.0234440996136982,0.6808193903416395,0.8406609874218702,0.11044538457645103,0.1039501370396465,0.2952074190834537,-0.003852217923849821,0.6954397209919989,0.11823315534275025,0.0064736547610664275,1.0739716845564544,0.2712418183218688,4.0,0.7202706863172352,0.16835846938192844,0.7536181667819619,0.05206395329150837,0.025959406601032242,1.0,0.16446564916986972,0.3554663909599185,0.18440135940909386,0.09040421532699838,0.07812736011692323,-0.4289959620218724,0.2287144575966522,0.5766291939653456,0.0,0.0,0.4895376660861075,0.27570641320198774,0.05103722962667234,0.18371869041584432,0.0,0.8571429252624512,0.1428571492433548,0.16877090418711305,0.0717028311919421,0.6671805162914097,0.09234574373112991,0.0,0.09821686122450046,extension,1.0811538584530354,0.002953865915351628,0.31111095123924315,,0.49023485656768556,0.5470793195187099,1.0091878504802783,0.24254751531407237
0.29627659160178155,0.5470793195187099,,0.10482118584332056,0.8037819527089596,0.19621804752387106,0.85641137836501,0.7644595457240939,0.7296205325983465,0.057988188666058704,0.08110589886200614,0.13128537975717336,0.0026898483047261834,0.0066402694646967575,0.9918607426807284,0.01831653920817189,1.1021724846214056,2,0.0,2.6161621678620577,0.0051405610429355875,0.05434282508213073,0.13771675108000636,0.9663334116339684,0.03366658995219041,0.6774202012456954,0.7877451796084642,0.14712382340803742,0.11026999558089301,0.2924185316078365,-0.013053850270807743,0.6473294124007225,0.11005519016180187,7.910794556664769e-05,1.160971310455352,0.35882918909192085,4.0,0.6309730736538768,0.131772106688004,0.8019572454504669,0.04109483098727651,0.025175817107083276,1.0,0.1335584515472874,0.34437165735289454,0.18064007197972387,0.09022777853533626,0.08144323676242493,-0.5514720499049872,-0.04177134847850539,0.4178051317576319,0.0,0.0,0.5052429363131523,0.28544805594719946,0.05278236392769031,0.15652664913795888,0.0,0.8571429252624512,0.1428571492433548,0.15451812068931758,0.07319307088619098,0.6926217353902757,0.07966707641026005,0.0,0.07975405457546003,extension,0.9055400639772415,0.010452332797285635,0.30554922157898545,,0.5020400877036746,0.5651669783724679,1.0139104531457026,0.25400800607167184
0.2962765934644267,0.5470793195187099,,0.1342434665421024,0.8361002039164305,0.16389979526866227,0.5668079969473183,1.1822688914835453,0.8518484174273908,0.027337180043105036,0.04260025586700067,0.07821414654608816,0.0026532991523708915,0.0062956931615190115,0.9985353415831923,0.018311068386537954,1.1219404125586152,3,0.0,2.4749560691416264,0.004113413515369757,0.05043241908424534,0.140256809303537,0.9634842770174146,0.036515723244519904,0.6752894651144743,0.7741580898873508,0.1565416812663898,0.1143849694635719,0.2904748151777312,-0.019758067093789577,0.6082946714013815,0.10252928925910965,0.002073135561659001,1.2069872836582363,0.4055160495918244,4.0,0.5532061571720988,0.10263044509338215,0.8388255061581731,0.03368650490301661,0.024857542710378766,1.0,0.11054120922926813,0.335356586612761,0.1745996434474364,0.0892787491902709,0.08383370714727789,-0.6029094280675054,-0.17683240096084774,0.33103041839785874,0.0,0.0,0.5185814122669399,0.292079865001142,0.05411874392302707,0.1352199778193608,0.0,0.8571429252624512,0.1428571492433548,0.14895811094902456,0.07337797124637291,0.7068076306022704,0.07085629022913054,0.0,0.07091400254284963,extension,0.8191804210655391,0.011212901874387171,0.3022122801048681,,0.4988117780950334,0.5560642369682827,0.9963532158484062,0.2712725840974599
0.2962765914853662,0.5470793195187099,,0.17007628845749423,0.8753654537722468,0.12463454820681363,0.3798229128587991,1.4520313516259193,0.9129320811480284,0.013851629293640144,0.024497133257682435,0.04871915502008051,0.0031462442293559434,0.0060972667452006135,1.0000029583461583,0.01833967285347171,1.2186998454853892,4,0.0,2.350799571722746,0.0034930005604110193,0.04769492259947583,0.1425656438805163,0.9529573312029243,0.047042666643392295,0.6752438703551888,0.7265759999863803,0.189523066743277,0.11639124230714515,0.2872763144550845,-0.03052512789145112,0.5770887285470963,0.09600415371824056,0.0013880873848393094,1.2592822117730975,0.45754298265092075,4.0,0.4866287149488926,0.07959942065645009,0.8671351000666618,0.028615750059543643,0.024649732193211094,1.0,0.09279283042997122,0.32812172872945666,0.16869506728835404,0.08799015177646652,0.08558264540624805,-0.6357132820412517,-0.2624829380074516,0.27833267487585545,0.0,0.0,0.5293551101349294,0.2970951469615102,0.05518655909691006,0.11836318171117455,0.0,0.8571429252624512,0.1428571492433548,0.14731583709362894,0.07297924486920238,0.7162620835006237,0.06344283785438165,0.0,0.06272928150428925,extension,0.7406928236596286,0.0093150233005872,0.29815636202692986,,0.49493860488846186,0.5500850045964831,1.0007971227169037,0.28746669623069465
0.2962765918346122,0.5470793195187099,,0.17887435323791578,0.8992765871807933,0.10072341345949098,0.28835015883669257,1.583998640999198,0.9384633800946176,0.008893504189472878,0.016438741171441507,0.03620437337667681,0.0036865180009044707,0.0055223183808266185,1.0000026263296604,0.01836625288706273,1.1872801538556814,5,0.0,2.266193090006709,0.0030690877392771654,0.04504904890200123,0.14461509336251765,0.9377574510872364,0.06224254803964868,0.6747551616281271,0.664276032242924,0.23270611849147826,0.11665722145698965,0.2832607595482841,-0.04415078414604068,0.5508805019780993,0.09020186815178022,0.0005422041172096215,1.2696530292741954,0.4643518552184105,4.0,0.4325663766358048,0.06242416036548093,0.8879691860638559,0.025230231985915452,0.024376421548367944,1.0,0.07903925888240337,0.32173013035207987,0.16261108114849776,0.08640758012188599,0.08607338083675131,-0.6622681613080204,-0.322568173520267,0.2461354078259319,0.0,0.0,0.5379328415729105,0.3011039271950722,0.056064691016217694,0.10489854245679453,0.0,0.8571429252624512,0.1428571492433548,0.1479600101010874,0.07206026470521465,0.7216764781624079,0.05830324423732236,0.0,0.06248976799543016,extension,0.7327699528541416,0.0074911997362505645,0.2935301798861474,,0.5002841244614313,0.5578440399396987,1.0011311390747626,0.2854775011073798
0.2962765941629186,0.5470793195187099,,0.18815996928606182,0.9143532593734562,0.08564674254739657,0.1683561655227095,1.7571133840829134,0.9687810498289764,0.004390584610518999,0.008653716187836835,0.018174649827415124,0.004156362592766527,0.004889550309599144,1.0000048880465329,0.018420064836391248,1.1947435140609741,6,0.0,2.1942553408443928,0.002718033220844518,0.04209776839707047,0.14358481962699443,0.9178428896702826,0.08215710730291903,0.6734440722502768,0.5907742502167821,0.2836536719696596,0.11564856668701395,0.2782980425981805,-0.06007349956780672,0.5291298325173557,0.08508397958939895,-2.3730259272269905e-05,1.2796337213367224,0.4726993434596807,4.0,0.3862831813748926,0.04923178508761339,0.9042621836997569,0.022473300101410132,0.024032736699155066,1.0,0.06807424261933193,0.3173501119017601,0.15599128394387662,0.08466519101057202,0.08779068529838696,-0.6890444839373231,-0.3678101885598153,0.2259819193277508,0.0,0.0,0.546246194280684,0.3032589880749583,0.056512469047447667,0.09398234175750986,0.0,0.8571429252624512,0.1428571492433548,0.14975867047905922,0.07075601432006806,0.725279662758112,0.054205653752433136,0.0,0.061761206219671294,extension,0.7270132426638156,0.007461689485353418,0.2880888204090297,,0.5069363311169639,0.5698454261772217,0.9937314384927353,0.28453937359154224
0.29627659323159605,0.5470793195187099,,0.19200407376047224,0.9224917064420879,0.07750829122960567,0.11171736806863919,1.8388258954510093,0.9809363363310695,0.0026321536852265126,0.005287824593324331,0.011143689076561714,0.004056429092088365,0.004709791857749224,1.000005719717592,0.018407238749205135,1.183788082562387,7,0.0,2.1431448571383953,0.0024504311904820497,0.03951951161434408,0.14027898118365556,0.8933289763517678,0.10667102655861527,0.6722278320230544,0.510875899810344,0.33903498901054263,0.11408550676424056,0.27216050249990076,-0.08142304280772805,0.5102605535648763,0.08036637277109548,0.00014839630915730595,1.2806233246810734,0.4710566811263561,4.0,0.34601803682744503,0.03899109366466291,0.9174181371927261,0.020113745180424303,0.023477025653846795,1.0,0.05901637810165994,0.3151975490618497,0.14866144361440092,0.08222861372632906,0.08780991478124633,-0.712947057094425,-0.40634168894030154,0.21233067370485514,0.0,0.0,0.5553991235792637,0.3032026013825089,0.056545996107161045,0.08485228521749377,0.0,0.8571429252624512,0.1428571492433548,0.152780523407273,0.0694353676517494,0.7267509754747152,0.05103313352447003,0.0,0.06125040007464122,extension,0.7227354005444795,0.006464778703957563,0.28154164110310376,,0.5024678111076355,0.5632875857372133,0.9969611391425133,0.2790526053868234
0.2962765923002735,0.5470793195187099,,0.19838809786597267,0.9269042331725359,0.0730957665364258,0.058499420614680275,1.9156031599268317,0.9912451021373272,0.0012462603735912126,0.0025256698336306727,0.004982964470400475,0.003939240803447319,0.004563627713650931,1.000006238464266,0.018404295697109774,1.0646278848871589,8,0.0,2.0743296146392822,0.0022693311257171445,0.03760649466130417,0.13344575557857752,0.8676582151092589,0.13234178244601935,0.6690787840634584,0.43668207386508584,0.39046222995966673,0.11202353611588478,0.26521622866857797,-0.10350507218390703,0.4933672551997006,0.07655056531075388,0.0015481753903259232,1.2915675179101527,0.4772901579272002,4.0,0.31766379007603973,0.032309350892319344,0.9261564556509256,0.018846827908419073,0.022687365701131057,1.0,0.05243952837190591,0.310362032847479,0.14365876687224954,0.07949431292945519,0.08687430943246,-0.7353035854175687,-0.43939269543625414,0.20416059566196054,0.0,0.0,0.5586944581009448,0.30596545268781483,0.05702788202324882,0.07831220584921539,0.0,0.8571429252624512,0.1428571492433548,0.16000748600345105,0.06798973894910887,0.7231554570607841,0.04884731658967212,0.0,0.06084553332766518,extension,0.7197271625045687,0.004875984370301012,0.2742038789438084,,0.499038790426557,0.5563072004015484,0.9883732261757056,0.27890206268057227
