base_mse,best_validation_mse,best_validation_nll,between_component_variance,continuation_field_weight,continuation_linear_weight,continuation_process_entropy,continuation_process_information_bits,continuation_process_weight_0,continuation_process_weight_1,continuation_process_weight_2,continuation_process_weight_3,cross_effective_ratio,cross_effective_ratio_max,cross_exact_spectral_norm,cross_gate,cross_spectral_norm,epoch,fenchel_primal,inducing_minimum_gap,latent_reconstruction_mse,latent_reconstruction_ratio,latent_variance_gain,mixture_base_weight,mixture_latent_weight,mixture_nll,mixture_routing_information_bits,mixture_weight_entropy,observation_noise_std,point_mse,point_regret,posterior_future_variance,posterior_past_variance,predictive_mean,predictive_second_moment,predictive_variance,process_axis_size_at_field_exit,process_energy_baseline,process_energy_daily,process_energy_entropy,process_energy_irregular,process_energy_weekly,process_fusion_after_future_decode,process_future_variance_baseline,process_future_variance_daily,process_future_variance_irregular,process_future_variance_weekly,process_signal_reconstruction_ratio,representation_gaussian_nll,representation_objective,representation_trace_correction,sample_dual_norm,selected_reference_only,sensor_group_entropy,sensor_group_prior_kl,soft_miscoverage_90,stage,standardized_error_second_moment,structural_reconstruction_ratio,total,train_nll,validation_mae,validation_mse,validation_nll,within_component_variance
,,0.27008205706564087,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reference,,,,0.4278431604616344,,,0.27008205706564087,
,,0.25880684657022357,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reference,,,,0.3900459253345616,,,0.25880684657022357,
0.1969270714907907,0.1675461918264458,,0.037258751551860314,0.6658731624484062,0.3341268390067853,1.3862943649291992,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,1,0.0,2.8787765502929688,9.99999993922529e-09,9.99999993922529e-09,0.1269290477503091,0.9726594736566767,0.02734052836240153,0.38270054376334883,0.8197136197704822,0.12496499264671002,9.99999993922529e-09,0.19548563548596576,-0.007189841358922422,9.99999993922529e-09,9.99999993922529e-09,-0.01732004695776368,1.0582412073854357,0.20414231170434505,4.0,0.25,0.25,1.3862943649291992,0.25,0.25,1.0,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,0.0018657966046635721,9.99999993922529e-09,0.0037316032017686226,9.99999993922529e-09,0.0,0.0,9.99999993922529e-09,9.99999993922529e-09,0.08133568249468226,extension,0.9899849698413163,0.0018657966046635721,0.20313964609522372,,0.2542751999629485,0.1675461918264458,0.25479624098322046,0.16688356068334542
0.19692707134527154,0.1670103145743291,,0.048585177999484586,0.7157210467848927,0.2842789532151073,1.3862943649291992,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,2,0.0,2.8787765502929688,9.99999993922529e-09,9.99999993922529e-09,0.12693090725224465,0.9585054820636287,0.041494516779494006,0.38002888340270147,0.751248904154636,0.17242111524683423,9.99999993922529e-09,0.19455855648266152,-0.011933552916161716,9.99999993922529e-09,9.99999993922529e-09,-0.012205782380135588,1.08720514876768,0.23200525823631324,4.0,0.25,0.25,1.3862943649291992,0.25,0.25,1.0,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,0.01597281276008289,9.99999993922529e-09,0.03194563533179462,9.99999993922529e-09,0.0,0.0,9.99999993922529e-09,9.99999993922529e-09,0.07255680001981091,extension,0.8928641531383619,0.01597281276008289,0.2021591336815618,,0.25392288513968303,0.1670103145743291,0.2534650445062046,0.1834200794401113
0.1969270710251294,0.16644156538567145,,0.04434374214542913,0.7310050912201405,0.2689949104387779,1.3862943649291992,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,3,0.0,2.8787765502929688,9.99999993922529e-09,9.99999993922529e-09,0.1269327257759869,0.9399543134495616,0.060045688805985264,0.37592782982392237,0.6729711710941046,0.2266791065048892,9.99999993922529e-09,0.19378665524709504,-0.015944983228109777,9.99999993922529e-09,9.99999993922529e-09,-0.01092403407534448,1.0847092135809362,0.22870860242983326,4.0,0.25,0.25,1.3862943649291992,0.25,0.25,1.0,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,0.07575697876745835,9.99999993922529e-09,0.15151396609144285,9.99999993922529e-09,0.0,0.0,9.99999993922529e-09,9.99999993922529e-09,0.07393766171298921,extension,0.9046751889400184,0.07575697876745835,0.2013052113034064,,0.2541064134262108,0.16644156538567145,0.24571138872609785,0.18436486102291383
0.1969270714034792,0.16566807713357937,,0.03735316266465816,0.731114060152322,0.26888594013871625,1.3862943649291992,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,4,0.0,2.8787765502929688,9.99999993922529e-09,9.99999993922529e-09,0.12693457689601928,0.9038306429283693,0.09616935547091998,0.36952453275443986,0.5447454365203157,0.31555841339286417,9.99999993922529e-09,0.1926846131827915,-0.021605002810247242,9.99999993922529e-09,9.99999993922529e-09,-0.01066169910291137,1.0755341324256733,0.2191806782502681,4.0,0.25,0.25,1.3862943649291992,0.25,0.25,1.0,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,0.1517746929457644,9.99999993922529e-09,0.3035493993666023,9.99999993922529e-09,0.0,0.0,9.99999993922529e-09,9.99999993922529e-09,0.07692461117403582,extension,0.9249517635907978,0.1517746929457644,0.20007510334835388,,0.2528770007077036,0.16566807713357937,0.23804906872101128,0.1818275153345894
0.1969270704430528,0.16566807713357937,,0.031563205215206835,0.7159731964347884,0.2840268046129495,1.3862943649291992,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,5,0.0,2.8787765502929688,9.99999993922529e-09,9.99999993922529e-09,0.12693696189671755,0.8475575012853369,0.15244249705574475,0.3612116339209024,0.3850875122589059,0.42622485547326505,9.99999993922529e-09,0.19104392018925864,-0.029979555401951075,9.99999993922529e-09,9.99999993922529e-09,-0.01041521150463609,1.0679104964947328,0.21022697104490362,4.0,0.25,0.25,1.3862943649291992,0.25,0.25,1.0,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,0.1978635909035802,9.99999993922529e-09,0.3957271951949224,9.99999993922529e-09,0.0,0.0,9.99999993922529e-09,9.99999993922529e-09,0.07990752473415341,extension,0.9387463725870475,0.1978635909035802,0.19826815291889943,,0.25413703588351694,0.16675775263209622,0.23732976138126105,0.17866376534220763
0.19692707099602558,0.1653449286729818,,0.029297592176590115,0.7079048475716263,0.2920951512642205,1.3862943649291992,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,6,0.0,2.8787765502929688,9.99999993922529e-09,9.99999993922529e-09,0.12693999207112938,0.8029883850831538,0.1970116148586385,0.35525164150749333,0.28463197030941956,0.495855332352221,9.99999993922529e-09,0.18958002192084678,-0.03785610117483884,9.99999993922529e-09,9.99999993922529e-09,-0.010116686939674935,1.0688563144067302,0.21024821902392432,4.0,0.25,0.25,1.3862943649291992,0.25,0.25,1.0,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,0.19120631739497185,9.99999993922529e-09,0.3824126502731815,9.99999993922529e-09,0.0,0.0,9.99999993922529e-09,9.99999993922529e-09,0.07995345359086059,extension,0.9274804105516523,0.19120631739497185,0.19668505431036465,,0.2534404940063555,0.1653449286729818,0.23612010071519762,0.18095062754582614
0.19692707118520048,0.1653449286729818,,0.028322751517407596,0.7176072401925921,0.28239275902160443,1.3862943649291992,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,7,0.0,2.8787765502929688,9.99999993922529e-09,9.99999993922529e-09,0.12694364413619041,0.7594540260033682,0.24054597300710157,0.34966477181296796,0.20452646334888414,0.5513802389614284,9.99999993922529e-09,0.18779671702941414,-0.0468404475832358,9.99999993922529e-09,9.99999993922529e-09,-0.009953022201724337,1.0718130553141236,0.21185167989460751,4.0,0.25,0.25,1.3862943649291992,0.25,0.25,1.0,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,0.18716936142300256,9.99999993922529e-09,0.37433873780537397,9.99999993922529e-09,0.0,0.0,9.99999993922529e-09,9.99999993922529e-09,0.07945661530538928,extension,0.9150816585170105,0.18716936142300256,0.1947900121449493,,0.25471863781775705,0.16562652488859025,0.22977382443302,0.18352892776601948
0.19692707184003666,0.16217453128558346,,0.027723078015696956,0.7196321707451716,0.28036782890558243,1.3862943649291992,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,8,0.0,2.8787765502929688,9.99999993922529e-09,9.99999993922529e-09,0.1269478063331917,0.7177407952258363,0.28225920343538746,0.3442414927703794,0.14195907782413997,0.5947486467193812,9.99999993922529e-09,0.18593510599748697,-0.05610069911926985,9.99999993922529e-09,9.99999993922529e-09,-0.009605471864347237,1.0707265378441662,0.20994214434176683,4.0,0.25,0.25,1.3862943649291992,0.25,0.25,1.0,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,0.1822019470273517,9.99999993922529e-09,0.3644039088394493,9.99999993922529e-09,0.0,0.0,9.99999993922529e-09,9.99999993922529e-09,0.08033964731293963,extension,0.9214419486233965,0.1822019470273517,0.19281993570621125,,0.2507941993909933,0.16217453128558346,0.21819590237767747,0.18221906563849188
