best_validation_mse,epoch,learning_rate,stage,train_loss,validation_mae,validation_mse
1.3702960561732858,1,0.001,model,0.5987172273453325,0.8011358076212357,1.3702960561732858
1.335452919914609,2,0.001,model,0.5048017532099038,0.7876474605936582,1.335452919914609
1.335452919914609,3,0.001,model,0.46616789582185447,0.7851160407877292,1.3357684640657335
1.335452919914609,4,0.001,model,0.4310750931035727,0.7900950142315456,1.3567881722028563
1.335452919914609,5,0.001,model,0.39822820690460503,0.7971425457876555,1.3612287016141982
