source_table,dataset,horizon,mae,mse,seed,variant,mae_mean,mae_sd,mse_mean,mse_sd,seeds,batch_size,channels,dense_covariance_reference_mb,implementation_dense_channel_covariance,input_length,latency_ms,latency_sd_ms,parameters,peak_gpu_memory_mb,checkpoint,corruption,irregular_time_claim,missing_rate,model,num_windows,rmse,correlation,nrmse,predicted_process,setting,true_process,family,inducing_chamfer_error_samples,inducing_times,learned_length_samples,learned_period_samples,length_relative_error,name,oracle_inducing_times,period_relative_error,component_correlation,component_nrmse,identity_accuracy,inducing_chamfer_error,component_correlation_mean,component_correlation_sd,component_nrmse_mean,identity_accuracy_mean,inducing_chamfer_error_mean,mean,metric,sd_across_seeds,tasks,bootstrap_repetitions,dataset_seed_cluster_bootstrap_lower_95,dataset_seed_cluster_bootstrap_upper_95,latentflow_mean,losses,paired_task_wilcoxon_one_sided_p,paired_task_wilcoxon_statistic,relative_improvement_percent,ties,timepro_mean,wins,best_epoch,best_validation_mse,control_scope,inference_ms_batch,latentflow_gain_over_separator_control_percent,latentflow_mse,separator_gain_over_vpnet_percent,training_ms_optimizer_step,vpnet_mse,forecast_step,matern_approximate_variance,matern_leave_out_effect,ou_approximate_variance,ou_leave_out_effect,periodic_approximate_variance,periodic_leave_out_effect,prediction,predictive_variance,target
summary/central_ablation_runs.csv,Weather,720,0.35067685489849154,0.35225412389049454,42,x_to_z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary/central_ablation_runs.csv,Weather,720,0.34896578123303795,0.3516883182138394,43,x_to_z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary/central_ablation_runs.csv,Weather,720,0.3492225410429526,0.35091061398093754,44,x_to_z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary/central_ablation_runs.csv,Weather,720,0.3494502229583823,0.35223371339600373,45,x_to_z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary/central_ablation_runs.csv,Weather,720,0.348449497524791,0.3505679847490146,46,x_to_z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary/central_ablation_runs.csv,Weather,720,0.34967532176972266,0.3511769740361608,42,early_fusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary/central_ablation_runs.csv,Weather,720,0.3491153538635895,0.3520624298801473,43,early_fusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary/central_ablation_runs.csv,Weather,720,0.35004540660048666,0.3522019104773057,44,early_fusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary/central_ablation_runs.csv,Weather,720,0.349000053009468,0.35180013198924015,45,early_fusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary/central_ablation_runs.csv,Weather,720,0.3486128574783516,0.35070473537645785,46,early_fusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary/central_ablation_runs.csv,Weather,720,0.3521357410021579,0.3539100077528846,42,process_preserving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary/central_ablation_runs.csv,Weather,720,0.3479597131578536,0.350385464184523,43,process_preserving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary/central_ablation_runs.csv,Weather,720,0.3491677514835748,0.35070419508036443,44,process_preserving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary/central_ablation_runs.csv,Weather,720,0.3489643085519826,0.35170108421176816,45,process_preserving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary/central_ablation_runs.csv,Weather,720,0.3480540900402169,0.3497267275798045,46,process_preserving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary/central_ablation_runs.csv,Weather,720,0.3532897798650574,0.35555996850853744,42,full,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary/central_ablation_runs.csv,Weather,720,0.3480680971487005,0.35034044455641483,43,full,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary/central_ablation_runs.csv,Weather,720,0.3492251244364064,0.35101765657013184,44,full,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary/central_ablation_runs.csv,Weather,720,0.3494161614447048,0.3522480572984346,45,full,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary/central_ablation_runs.csv,Weather,720,0.3494759547998711,0.35224466667015586,46,full,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary/central_ablation_runs.csv,Traffic,720,0.31711205654414454,0.491300669579911,42,x_to_z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary/central_ablation_runs.csv,Traffic,720,0.31616841429055237,0.4941987281419215,43,x_to_z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary/central_ablation_runs.csv,Traffic,720,0.31172447929035285,0.4835852219666984,44,x_to_z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary/central_ablation_runs.csv,Traffic,720,0.31260694490108754,0.48944914781048243,45,x_to_z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary/central_ablation_runs.csv,Traffic,720,0.3098903149734064,0.48480845358229396,46,x_to_z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary/central_ablation_runs.csv,Traffic,720,0.3190641741222454,0.4976920690243559,42,early_fusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary/central_ablation_runs.csv,Traffic,720,0.31781083657220865,0.4971260179229582,43,early_fusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary/central_ablation_runs.csv,Traffic,720,0.31557105932432156,0.49133499686503845,44,early_fusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary/central_ablation_runs.csv,Traffic,720,0.3165014478154749,0.4939475158137059,45,early_fusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary/central_ablation_runs.csv,Traffic,720,0.313287723031179,0.4889450222162922,46,early_fusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary/central_ablation_runs.csv,Traffic,720,0.318071645296694,0.4915771626737703,42,process_preserving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary/central_ablation_runs.csv,Traffic,720,0.31766755520693657,0.49587181850239725,43,process_preserving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary/central_ablation_runs.csv,Traffic,720,0.3155346982888712,0.48848492176370406,44,process_preserving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary/central_ablation_runs.csv,Traffic,720,0.31596762508631765,0.4937158891296339,45,process_preserving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary/central_ablation_runs.csv,Traffic,720,0.3144478690943868,0.48899382872417085,46,process_preserving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary/central_ablation_runs.csv,Traffic,720,0.31807813636845,0.49146881208700643,42,full,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary/central_ablation_runs.csv,Traffic,720,0.3176904925377131,0.49584779061874296,43,full,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary/central_ablation_runs.csv,Traffic,720,0.3156007152185296,0.4885315060333116,44,full,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary/central_ablation_runs.csv,Traffic,720,0.3159814805019984,0.4937812131207309,45,full,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary/central_ablation_runs.csv,Traffic,720,0.31439001826797486,0.48891071282741716,46,full,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
