best_validation_mse,epoch,learning_rate,stage,train_loss,validation_mae,validation_mse
0.2431441401006418,1,0.0001,backbone,0.3967052072985098,0.34344816554496344,0.2431441401006418
0.21613109509680714,2,0.0001,backbone,0.25934691133443266,0.3153552081672998,0.21613109509680714
0.20482967543930916,3,0.0001,backbone,0.24144536987296306,0.3026692649763215,0.20482967543930916
0.1979962729007125,4,0.0001,backbone,0.23228579602437094,0.2948726694514217,0.1979962729007125
0.19393656784694815,5,0.0001,backbone,0.22672245829016902,0.2894860321965067,0.19393656784694815
0.1911135119158195,6,0.0001,backbone,0.22310331961489283,0.28596066622188687,0.1911135119158195
0.18889001890311802,7,0.0001,backbone,0.22067431604955345,0.2823846375194188,0.18889001890311802
0.1876316619474657,8,0.0001,backbone,0.2189748480450362,0.2810874565332761,0.1876316619474657
0.1868301350079027,9,0.0001,backbone,0.217748560506152,0.2796088435002276,0.1868301350079027
0.1862462320272584,10,0.0001,backbone,0.21679794136434793,0.28090309817330134,0.1862462320272584
0.18484795448989086,1,0.0001,model,0.215447734342888,0.2767430828084862,0.18484795448989086
0.18484795448989086,2,0.0001,model,0.21462602520477958,0.27727307956414304,0.1852159539027342
0.18438643904118523,3,0.0001,model,0.2141831339977216,0.27536627228050303,0.18438643904118523
0.1838878319076359,4,0.0001,model,0.21371974813519046,0.275133144535415,0.1838878319076359
0.1838878319076359,5,0.0001,model,0.21301096116076224,0.27876386209546483,0.18658958477359236
0.1838878319076359,6,0.0001,model,0.2123885720211547,0.2778301529742157,0.18491249571849605
0.1820885511202233,7,0.0001,model,0.21159543038811535,0.2715730996040646,0.1820885511202233
0.18198643617045718,8,0.0001,model,0.2108157765760552,0.2725608422766452,0.18198643617045718
0.18190601975181092,9,0.0001,model,0.21002246704301797,0.2736990639619101,0.18190601975181092
0.18016676406905624,10,0.0001,model,0.20913948814268224,0.2708971827554696,0.18016676406905624
0.18016676406905624,11,0.0001,model,0.20827747849398293,0.2785224391098034,0.18429898105129575
0.17957216097151663,12,0.0001,model,0.20746405917452648,0.2706132100643876,0.17957216097151663
0.1795101367371529,13,0.0001,model,0.2067025471769739,0.27140487236008237,0.1795101367371529
0.17909629552552864,14,0.0001,model,0.20595957001205534,0.2711608280079458,0.17909629552552864
0.1780466834261976,15,0.0001,model,0.20523114426760003,0.2692635159449343,0.1780466834261976
