base_mse,best_validation_mse,best_validation_nll,between_component_variance,continuation_field_weight,continuation_linear_weight,continuation_process_entropy,continuation_process_information_bits,continuation_process_weight_0,continuation_process_weight_1,continuation_process_weight_2,continuation_process_weight_3,cross_effective_ratio,cross_effective_ratio_max,cross_exact_spectral_norm,cross_gate,cross_spectral_norm,epoch,fenchel_primal,inducing_minimum_gap,latent_reconstruction_mse,latent_reconstruction_ratio,latent_variance_gain,mixture_base_weight,mixture_latent_weight,mixture_nll,mixture_routing_information_bits,mixture_weight_entropy,observation_noise_std,point_mse,point_regret,posterior_future_variance,posterior_past_variance,predictive_mean,predictive_second_moment,predictive_variance,process_axis_size_at_field_exit,process_energy_baseline,process_energy_daily,process_energy_entropy,process_energy_irregular,process_energy_weekly,process_fusion_after_future_decode,process_future_variance_baseline,process_future_variance_daily,process_future_variance_irregular,process_future_variance_weekly,process_signal_reconstruction_ratio,representation_gaussian_nll,representation_objective,representation_trace_correction,sample_dual_norm,selected_reference_only,sensor_group_entropy,sensor_group_irregular_high_variability_process_0,sensor_group_irregular_high_variability_process_1,sensor_group_irregular_high_variability_process_2,sensor_group_irregular_high_variability_process_3,sensor_group_low_activity_process_0,sensor_group_low_activity_process_1,sensor_group_low_activity_process_2,sensor_group_low_activity_process_3,sensor_group_mass_irregular_high_variability,sensor_group_mass_low_activity,sensor_group_mass_strongly_periodic,sensor_group_prior_kl,sensor_group_strongly_periodic_process_0,sensor_group_strongly_periodic_process_1,sensor_group_strongly_periodic_process_2,sensor_group_strongly_periodic_process_3,soft_miscoverage_90,stage,standardized_error_second_moment,structural_reconstruction_ratio,total,train_nll,validation_mae,validation_mse,validation_nll,within_component_variance
,,0.1604903486489396,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reference,,,,0.3046166712156264,,,0.1604903486489396,
,,0.1496186528935747,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reference,,,,0.2576457016693894,,,0.1496186528935747,
0.15483946468157228,0.1414813659066517,,0.019279198702861322,0.5188921626540832,0.4811078369966708,1.3360949305351824,0.07242247425299553,0.3716749890591018,0.2137394197343383,0.19753475551260635,0.2170508362178225,0.0006971103758324215,0.0019866924688134446,0.5396855745202629,0.018116091028787196,0.6200501850307178,1,0.0,2.8144375681877136,0.0025613217105728836,0.042974289681296796,0.13114384864456952,0.9688056886661798,0.031194311788567575,0.2478909529017983,0.8012546801473945,0.1377597529499326,0.10389688197756186,0.15396295553364325,-0.005437454325146973,0.7155105012934655,0.11618157931661699,-0.004384435952829335,1.0183915459783748,0.1481464461539872,4.0,0.04886910871209693,0.8485921008978039,0.5826706073130481,0.05242693084801431,0.05011186171032023,1.0,0.12359529400418978,0.3389468124951236,0.1636160025227582,0.19867039276869036,0.05094076615932863,-0.4659998097922653,1.9662032395135611,2.378550599562004,0.0,0.0,0.6003784689237364,0.17965884448494762,0.10583607427543029,0.13754282367881387,0.5769622600637376,0.13894433237146586,0.10308699414599687,0.619249789044261,0.13871888746507466,0.22185949102276936,0.02226723427156685,0.755873246002011,0.07176795575438774,0.4546098087448627,0.31795673724263906,0.1800451931776479,0.04738826569519006,0.08659321562299738,extension,1.027012900216505,0.001994004582183795,0.16088697775558103,,0.22901257118497104,0.1414813659066517,0.13614563261095705,0.12886724731652066
0.1548394637356978,0.14092344885344488,,0.03113644327459042,0.5598063359502703,0.4401936653885059,1.1628399747423828,0.3223765357688535,0.5574787034420297,0.17315083355060779,0.12215463470784016,0.14721582760103047,0.0012585995987137721,0.0044435060613068345,0.9976092712022364,0.018222728147520684,1.1244702246040106,2,0.0,2.7242070138454437,0.002182139846354403,0.03916919730545487,0.139765341184102,0.9596531403949484,0.040346860587305855,0.24695882118976442,0.7561586897354573,0.16901791223790497,0.10974661319050938,0.15341823447670322,-0.008746409206651151,0.6342871827073395,0.11244774743681774,-0.0030818212557051083,1.034982391167432,0.16443094925489277,4.0,0.036612949159462005,0.8946918215369806,0.43926309677772224,0.017817275613197125,0.05087795214058133,1.0,0.14177833119174466,0.3238309462903999,0.0671784093574388,0.23353956922073849,0.05495523200806929,-0.507874648377765,0.72060657129623,1.1647447951836511,0.0,0.0,0.2848440053057857,0.1903726764721796,0.11213797726668417,0.1459879461908713,0.5515014049597085,0.12369484384544194,0.10666532174218446,0.6508911899290979,0.11874864436686039,0.053706855011114385,0.02182203533811844,0.9244710799539462,0.29037862110999413,0.4055272452533245,0.3520497439894825,0.20018119376618415,0.042241819377522916,0.07868613432947313,extension,0.9453551073092967,0.005877404845705314,0.15907801761932205,,0.22857955930636556,0.14092344885344488,0.13538069849892054,0.13329450560559053
0.1548394632700365,0.1402488230998725,,0.03712026381981559,0.592342259013094,0.4076577400555834,0.9920606639934704,0.5687589974841103,0.6618234268389642,0.1633987031527795,0.07801491935970262,0.09676295204553753,0.0013483614245615172,0.004638466698452248,0.9989985772408545,0.018281711672898382,1.1314862631261349,3,0.0,2.6804813742637634,0.0020804884720746486,0.03909009358903859,0.1457408022833988,0.9555366027634591,0.04446339592686854,0.24605005390912993,0.7376723322086036,0.18183167872484773,0.1139057683176361,0.15293041319819167,-0.012120263767428696,0.5841714446432889,0.11056919432303403,-0.003662058878830976,1.046278235851787,0.17702157367602922,4.0,0.031135546014411375,0.9081384654855356,0.38909350853646174,0.01035800806403131,0.050367981912131654,1.0,0.15145980994566344,0.28598060162039474,0.04401364665682195,0.24658750038361177,0.05778547223599162,-0.5263633453287184,0.34220375705626793,0.8002076568081975,0.0,0.0,0.14811113508767448,0.1942981134634465,0.11417856853222474,0.14882833184674382,0.5426949840039015,0.11583206412615255,0.10791858774609864,0.6704014837741852,0.10584786586696282,0.018100102453900035,0.013591427345090779,0.9683084357529879,0.37801669619511813,0.3639969618525356,0.3812385513447225,0.2170787954237312,0.03768569396925159,0.07355811836896464,extension,0.8929862055229023,0.006793806504902022,0.15819361778267194,,0.22832576829943949,0.1402488230998725,0.13855658839869042,0.1399013095360715
0.1548394638521131,0.13910927765094602,,0.045550247396022314,0.6298372721066698,0.3701627278351225,0.8103303738171235,0.8309403818566352,0.7465059291571379,0.1475190477212891,0.050565781122713815,0.05540924306114903,0.0018302565722478903,0.00450590084255964,0.9973778463900089,0.018430296986480244,1.1686949096620083,4,0.0,2.6523386240005493,0.002123129558412984,0.04080981371953385,0.14945255196653306,0.9493904070695862,0.05060959255206399,0.24559534430591157,0.7110768123529851,0.20026628841878846,0.11733248975360766,0.1521990914188791,-0.016894193715415895,0.5427240692079067,0.10820533652440645,-0.002449525789245399,1.0597121152095497,0.18966959268436767,4.0,0.026816719357157126,0.9169811594765633,0.35693272651406005,0.007951329590468958,0.048250790543534094,1.0,0.15697802259819582,0.25250524102011696,0.03491896638297476,0.24909272463992238,0.05848567411885597,-0.5351483799749985,0.15275516886322293,0.620262193842791,0.0,0.0,0.08700326448160922,0.19627713062800467,0.1150380889303051,0.15006593381986022,0.5386188481934369,0.11265393748180941,0.10743207472842187,0.681068338919431,0.0988456507329829,0.008306135867314879,0.007910602323136118,0.9837832287885249,0.41362199652940035,0.3309164270758629,0.4041112093254924,0.23107092990539968,0.033901435002917424,0.06938424675172428,extension,0.8499838606221601,0.005019461023493932,0.1572637532808585,,0.22744094331027645,0.13910927765094602,0.13430884479877628,0.14411934561212547
0.15483946343010757,0.13842797601210613,,0.054663965696818195,0.6627233239123598,0.33727667544735596,0.6889693437842652,1.0060273368144408,0.790579829714261,0.14295512363605667,0.03428691492808866,0.03217813129595015,0.0029124323477844882,0.004577931914354849,1.000004361383617,0.018700602580793202,1.2790456023067236,5,0.0,2.6236731708049774,0.0021365688414789474,0.041960313414165284,0.15152067015878856,0.9413854463491589,0.058614552959625144,0.24538828938966617,0.6781879495829344,0.22306311040301807,0.12014361872570589,0.1512591465289006,-0.02308497647754848,0.5077883431804366,0.10568051859445404,-0.002589352453009397,1.0723631699802354,0.20147956028813496,4.0,0.024160870776540833,0.9227997647831216,0.3359076616470702,0.006835583651991328,0.04620378412073478,1.0,0.16092073894105852,0.2258943508786615,0.029729012112511555,0.24624307730118744,0.058807254368730355,-0.5436114058829844,0.03089709352570935,0.5079889255575836,0.0,0.0,0.05647352959931595,0.19741534744389355,0.11550835228990763,0.1507376169320196,0.5363386855460703,0.11131349066272378,0.10657450003782287,0.6872948976233602,0.09481710672844201,0.00464651508264069,0.0049344018816555035,0.990419055102393,0.4316253397264518,0.30517969746142626,0.4206807855516672,0.2433492299169302,0.030790282733505592,0.06612445327482419,extension,0.8164576964336447,0.003396066202185466,0.1561978092213394,,0.2270698227161105,0.13842797601210613,0.13149061518682478,0.1468155962356832
0.1548394640267361,0.13813293479478414,,0.06424195219005924,0.6906598481582478,0.30934015224920586,0.5613593268208206,1.1901296775322407,0.8349173497408628,0.12780460648355074,0.020142126948485384,0.017135916470579104,0.003634387295733177,0.005087656067189528,1.000007807277143,0.01897611128515564,1.1595845920965075,6,0.0,2.6007796227931976,0.0021360715609262115,0.04284951143199578,0.15187640849035233,0.9327222218271345,0.06727777749620145,0.24465806998341577,0.6445351226720959,0.2463894740503747,0.12240792706143111,0.1499190499598626,-0.03189599874895066,0.47868997749174014,0.10310882775229402,-0.0032833060559944727,1.0832571607315913,0.2120898671564646,4.0,0.02233748650905909,0.9274557920871302,0.31929600294097327,0.0061514370236182,0.04405528510324075,1.0,0.1629761919612065,0.2065072108816821,0.026213964378257515,0.2401227432419546,0.05929279145493638,-0.551012534997426,-0.051310814276803285,0.43370467954082415,0.0,0.0,0.03956552719682804,0.19818893214687705,0.11580705578671768,0.15115617215633392,0.5348478411324322,0.11102771136211231,0.10569720185594633,0.6910110972821712,0.09226399497129023,0.0029795517270940763,0.0033056451929951436,0.9937147707678378,0.44186857930617407,0.28694080538116395,0.4312223168089986,0.25355581112671643,0.028281067381612957,0.06461469353962457,extension,0.8040656201774254,0.00228556418755943,0.15476090041920543,,0.2271686279472491,0.13813293479478414,0.1372293627973704,0.1478479151846841
0.1548394637502497,0.13716133332409303,,0.0707635238795774,0.7172879431163892,0.2827120568254031,0.4836653774837032,1.3022183466237038,0.8600313962670043,0.11663356701319572,0.012707649902949925,0.01062739086773945,0.0037542174495683867,0.005182703893297003,1.0000086245127022,0.01918458398722578,1.1214284040033817,7,0.0,2.578170597553253,0.002146740897160271,0.04393995260761585,0.14973962341900915,0.9188567188102752,0.08114328101510182,0.24329523261985742,0.5939334079157561,0.2814639101270586,0.12409045628737658,0.14830071426695213,-0.04227302095387131,0.45474144973559305,0.1006298082502326,-0.002715561267876865,1.0918149197241291,0.21862494095694274,4.0,0.021159532598176156,0.9314431600505486,0.3052389939548448,0.005624029689897725,0.0417732786409033,1.0,0.16373349868808873,0.19341393886134028,0.02358933810319286,0.2317340065492317,0.05983305392146576,-0.5571789880050346,-0.10766871113446541,0.383451423374936,0.0,0.0,0.02980600698356284,0.19873503339476883,0.11601729702670127,0.15145179559476674,0.5337958708405495,0.11083941668039188,0.10496049880748615,0.6935993600636721,0.09060072293505073,0.002099513171287981,0.0024211335617110308,0.9954793236684054,0.4480230419430882,0.275277535431087,0.4363646537531167,0.2621300728060305,0.026227737980661914,0.06360361931001535,extension,0.795118356239982,0.0017455694819545897,0.15305894997436553,,0.22648954003605723,0.13716133332409303,0.13342320886537587,0.14786141621880233
0.15483946439053398,0.13547688254273527,,0.07713891336607048,0.731707728235051,0.26829227252164856,0.44066513306461275,1.3642545877955854,0.8728427649475634,0.11050349126162473,0.009346330372864031,0.007307412600312091,0.0037931727060822595,0.0054542716816285974,1.0000071018002927,0.019387323802220635,1.1209778562188148,8,0.0,2.571107029914856,0.0021647602814027778,0.044815740213380195,0.1467220459599048,0.9052726154914126,0.0947273860219866,0.24176909920061007,0.548157186480239,0.3131935692508705,0.12537135399179533,0.14642461652692873,-0.054354513762518764,0.4347458251286298,0.09837127814535052,-0.0023079053861891907,1.1001014923676848,0.22519963639206253,4.0,0.020311846825279645,0.9347793887136504,0.293449025019072,0.005211054324718134,0.03969771105766995,1.0,0.16410298176924698,0.18338587984908372,0.021586389382719062,0.2234251458721701,0.06026087692589499,-0.5621338973287493,-0.14884343162702862,0.34685192548204213,0.0,0.0,0.024560155397921335,0.19914917228743434,0.11617834807839245,0.15167468378785998,0.5329977995716035,0.11037659127032384,0.10428401129320264,0.6959004332311451,0.08943896141136065,0.0015970283131991891,0.0020320077239830425,0.9963709304574877,0.45161750505212694,0.26679923036135733,0.438580613816157,0.27003713068552315,0.024583033300586976,0.062470047545502894,extension,0.7843158484902233,0.0016614885976196092,0.15111115500621963,,0.22552196374604677,0.13547688254273527,0.13188194649683282,0.14806072201463394
